internal_row_id,canonical_name,_cluster,_city,website,normalized_domain,categories,rating,reviews_count,address,phone,google_maps_url
uae-pilot-0306,Modern Home Engineering consultant,g1_engineering_architecture_design,Abu Dhabi,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,instagram.com,Architecture firm;Engineering consultant;Carpet store,4.8,215,"MBZ- Mazyad mall, Tower 3, floor 3 of(304 - Abu Dhabi - United Arab Emirates",+971 2 585 8440,https://www.google.com/maps/search/?api=1&query=Modern%20Home%20Engineering%20consultant&query_place_id=ChIJgf0lEycxXj4R8LTF3EFGAI0
uae-pilot-0035,Al Bakht Curtains & Decor البخت للستائر والديكور,g1_engineering_architecture_design,Abu Dhabi,http://www.albakhtcurtains.ae/,albakhtcurtains.ae,Interior designer,4.9,148,Mohammad Bin Zayed City - beside Creative British School - Musaffah - ME10 - Abu Dhabi - United Arab Emirates,+971 52 302 0717,https://www.google.com/maps/search/?api=1&query=Al%20Bakht%20Curtains%20%26%20Decor%20%D8%A7%D9%84%D8%A8%D8%AE%D8%AA%20%D9%84%D9%84%D8%B3%D8%AA%D8%A7%D8%A6%D8%B1%20%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%83%D9%88%D8%B1&query_place_id=ChIJhxcPX305Xj4RTPeNm69rH58
uae-pilot-0111,Bella Tenda,g1_engineering_architecture_design,Abu Dhabi,https://www.bella-tenda.com/,bella-tenda.com,Interior designer,5.0,94,Ji'dan St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,+971 50 800 2138,https://www.google.com/maps/search/?api=1&query=Bella%20Tenda&query_place_id=ChIJVZ1usVY5Xj4RmUsRkt3zpq8
uae-pilot-0301,MF Architect | LEED | Estidama | Acoustics | Training,g1_engineering_architecture_design,Abu Dhabi,https://www.archmfrancis.com/,archmfrancis.com,Architecture firm,5.0,89,Incubator Building Fr. Floor - Masdar City - SE45 05 - Abu Dhabi - United Arab Emirates,+971 50 642 8767,https://www.google.com/maps/search/?api=1&query=MF%20Architect%20%7C%20LEED%20%7C%20Estidama%20%7C%20Acoustics%20%7C%20Training&query_place_id=ChIJT46o429nXj4RtWH_Y8jsfX0
uae-pilot-0129,Capital Engineering Consultancy LLC,g1_engineering_architecture_design,Abu Dhabi,http://www.capitalengg.com/,capitalengg.com,Engineering consultant;Consultant,4.7,85,"Unit M 1,2, 3 & 4,Building No.: C402 - Building no 9 Al Du St - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates",+971 2 553 7568,https://www.google.com/maps/search/?api=1&query=Capital%20Engineering%20Consultancy%20LLC&query_place_id=ChIJ77dln-VAXj4RGXeALFWrLwE
uae-pilot-0463,ديكور هوم للمقاولات والديكور,g1_engineering_architecture_design,Abu Dhabi,https://www.decorshomes.com/,decorshomes.com,Interior Decorator,4.8,78,villa 78 Al musalim street - Al Shamkhah - SH1 - Abu Dhabi - United Arab Emirates,+971 54 497 7109,https://www.google.com/maps/search/?api=1&query=%D8%AF%D9%8A%D9%83%D9%88%D8%B1%20%D9%87%D9%88%D9%85%20%D9%84%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%84%D8%A7%D8%AA%20%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%83%D9%88%D8%B1&query_place_id=ChIJpfPB5PNLXj4RaIMbqmvDbRk
uae-pilot-0009,AAMER Logistics L.L.C. Tasheel - Taw-jeeh / تسهيل - توجيه,g3_construction_accounting_logistics,Abu Dhabi,https://aamergroup.ae/,aamergroup.ae,Logistics service,5.0,720,HSBC Building - Sheikh Rashid Bin Saeed - 3rd Floor - Abu Dhabi - United Arab Emirates,+971 2 651 9000,https://www.google.com/maps/search/?api=1&query=AAMER%20Logistics%20L.L.C.%20Tasheel%20-%20Taw-jeeh%20%2F%20%D8%AA%D8%B3%D9%87%D9%8A%D9%84%20-%20%D8%AA%D9%88%D8%AC%D9%8A%D9%87&query_place_id=ChIJj6wSaBPm1qcR3EMzIryXRjk
uae-pilot-0278,Logical Accounting & Tax Solutions (LATS),g3_construction_accounting_logistics,Abu Dhabi,http://lats.ae/,lats.ae,Accounting firm,4.9,269,near Indian Model School - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,+971 55 326 6530,https://www.google.com/maps/search/?api=1&query=Logical%20Accounting%20%26%20Tax%20Solutions%20(LATS)&query_place_id=ChIJ36ClD8s5Xj4RIt9cJYWRCS8
uae-pilot-0079,AMA Global Audit Tax Advisory,g3_construction_accounting_logistics,Abu Dhabi,https://www.amaaudit.com/,amaaudit.com,Accounting firm,4.8,260,"F9P7+FPQ Office 204, Al Otaiba Tower - Electra St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates",+971 58 574 3224,https://www.google.com/maps/search/?api=1&query=AMA%20Global%20Audit%20Tax%20Advisory&query_place_id=ChIJVzhMJDNnXj4RhGgVuwuhG7I
uae-pilot-0007,"A Super Fast Cargo & Logistics - -UK,US,NZ,AUS,GER,CANADA,GCC & ALL OTHER COUNTRIES",g3_construction_accounting_logistics,Abu Dhabi,https://superfastcargo.ae/,superfastcargo.ae,Logistics service,4.9,248,639 Al Ain Rd - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,+971 50 416 4433,https://www.google.com/maps/search/?api=1&query=A%20Super%20Fast%20Cargo%20%26%20Logistics%20-%20-UK%2CUS%2CNZ%2CAUS%2CGER%2CCANADA%2CGCC%20%26%20ALL%20OTHER%20COUNTRIES&query_place_id=ChIJuYtlf_hnXj4Rv0hzyxS-za8
