candidate_name,official_domain,category,outcome,evidence_urls,notes
Kuwait Civil Service Commission (Recruitment Portal),https://portal2.csc.gov.kw/,official_government_job_portal,manual_review_only,https://www.csc.gov.kw/;https://portal2.csc.gov.kw/,"Parent site (csc.gov.kw) confirmed real -- official Kuwait government body overseeing civil-service employment, with an explicit ""Government Employment"" (التوظيف في الجهات الحكومية) navigation link to a dedicated recruitment portal at portal2.csc.gov.kw. Direct fetch of the portal itself failed with ECONNRESET this pass (technical block, not identity doubt). Genuinely new to this registry -- not among the 15 existing Kuwait source-catalog rows."
Akhtaboot,https://www.akhtaboot.com,job_board,discovery_only,https://www.akhtaboot.com/en/jobs/kuwait,"Confirmed real, accessible MENA-regional job board, but explicitly Jordan-centric in practice -- the Kuwait-filtered URL showed 0 visible Kuwait postings (46 Jordan, 4 Saudi, 1 UAE, 1 Egypt). Weak Kuwait coverage; kept at discovery_only rather than a stronger status."
Kuwait Investment Authority (KIA) — potential portfolio directory,https://www.kia.gov.kw,government_investment_directory,already_present,,"KIA independently confirmed as a real, major sovereign wealth fund (founded 1953, ~$1.07T AUM) via a reliable independent source, but the specific URL path tested (kia.gov.kw/en/) returned HTTP 404 this pass and the root domain was not independently re-tested. A genuine portfolio-company directory analogous to PIF (Saudi) or KDIPA (already in the Kuwait catalog) may exist on this domain -- flagged as a promising lead for a follow-up pass, not confirmed. CORRECTION (pass 3, 2026-09-13): KIA is already a verified row in the production kuwait.csv baseline (cc-kuwait-investment-authority) with a confirmed careers page (kia.gov.kw/careers/). This independent-discovery row is obsolete -- superseded by the existing baseline row. Not staged."
GulfTalent Kuwait (re-verification of existing source),https://www.gulftalent.com/kuwait/jobs,job_board,already_present,https://www.gulftalent.com/kuwait/jobs,"Re-confirmed this pass: 813 live Kuwait job listings, employer names disclosed (e.g. Leaman Consulting, Michael Page, RTC-1 Employment Services). Matches the existing src-kw-gulftalent-kuwait row -- no new row needed, logged here only to document the re-verification."
The St. Regis Kuwait,https://careers.marriott.com,employer_hospitality,hold_manual_review,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,Found incidentally while resolving Marriott hotel-group holds. Official Marriott ATS shows 1 live open position (AsstMgr-Housekeeping) at 'The St. Regis Kuwait'. Held rather than staged given thinner evidence (single role) than the other Marriott properties.
Egypt Kuwait Holding Company,https://careers.ekholding.com/,boursa_kuwait_listed_company,discovery_only,https://careers.ekholding.com/;https://www.boursakuwait.com.kw/en/participants/participants/listed-companies/,Found while researching Boursa Kuwait's listed-companies directory as a discovery channel (Phase 4). Egypt Kuwait Holding (EKHK.KW) is a real MENA investment holding company with its own dedicated careers portal. Not independently deep-researched for Kuwait-specific job postings this pass -- logged as a promising lead.
Boursa Kuwait (the exchange itself),https://www.boursakuwait.com.kw,employer_financial_services,already_present,https://career.boursakuwait.com.kw/,"Boursa Kuwait (the Kuwait Stock Exchange operator) has its own official careers portal (career.boursakuwait.com.kw). Not independently deep-researched for a specific live Kuwait job posting this pass. CORRECTION (pass 3, 2026-09-13): Boursa Kuwait is already a verified row in the production kuwait.csv baseline (cc-boursa-kuwait) -- this is a duplicate, not a new discovery. Not staged."
Boursa Kuwait Listed Companies Directory,https://www.boursakuwait.com.kw/en/participants/participants/listed-companies/,discovery_channel,discovery_only,https://www.boursakuwait.com.kw/en/participants/participants/listed-companies/,"A systematic directory of all Boursa Kuwait-listed companies -- a high-value discovery channel for a future pass to identify additional verified Kuwait employers (Boursa-listed = real, KSE-registered entities). Not systematically walked this pass due to time constraints; logged as a channel, not a specific employer."
Public Authority for Manpower (Kuwait),https://www.manpower.gov.kw,official_government_employment_body,manual_review_only,https://www.manpower.gov.kw/EmploymentServiceEnglish.aspx,"Real Kuwait government body (Ministry of Social Affairs and Labor) with an Employment Service page and digital platforms (As-hal, Meta Kuwait, Sahel Business App) for private-sector employment services. This is a regulator/administrative body, not itself a public job-listing board in the conventional sense -- access-policy and structure not evaluated this pass; needs manual review before any ingestion consideration."
Wathif,https://wathif.com,job_board,manual_review_only,https://wathif.com/;https://wathif.com/robots.txt;https://wathif.com/sitemap.xml,"A Kuwait-focused recruitment platform ('Wathif helps employers registered with them hire...across every industry and sector in Kuwait'). Real, but robots.txt/ToS/access-policy not evaluated this pass -- logged as a promising Kuwait-specific job source for a future pass, not approved for any ingestion. UPDATE (pass 3, 2026-09-13): robots.txt confirmed permissive with published XML+RSS sitemaps -- see access-policy-audit.csv. Upgraded from discovery_only to manual_review_only."
Airswift (Kuwait office),https://www.airswift.com/about/locations/kuwait,recruitment_staffing_agency,discovery_only,https://www.airswift.com/about/locations/kuwait,"Global energy-sector workforce-solutions/staffing firm with a confirmed Kuwait office (entered the market in 2014). Relevant as both a potential employer (recruiter's own staff) and a source of Kuwait job postings, but not independently deep-researched this pass."
NES Fircroft (Kuwait office),https://www.nesfircroft.com/regions/recruitment-in-middle-east/kuwait-jobs/,recruitment_staffing_agency,discovery_only,https://www.nesfircroft.com/regions/recruitment-in-middle-east/kuwait-jobs/,"Global engineering/energy staffing firm with a confirmed Kuwait office established 2016, based in Ahmadi (a verified Kuwait area). Not independently deep-researched this pass."
Kuwait Digital Startup Campus (KDSC),unknown,startup_accelerator_hub,discovery_only,,Named as a key Kuwait startup-ecosystem hub alongside Bedaya and KFAS-supported programs. No official domain independently confirmed this pass -- logged as a named entity for a future pass to research directly.
SOS HR Solutions,https://soshr.net,recruitment_staffing_agency,discovery_only,https://soshr.net/,"Real Kuwait HR/recruitment firm since 1975, found while investigating supplied lead #44 ('SSC HR Solutions') -- likely the entity actually meant by that lead (probable OCR/transcription mix-up between 'SSC' and 'SOS'), but NOT auto-substituted per the no-guessing rule. Flagged for human confirmation."
Al Oula Steel Manufacturing Company,http://www.oulasteel.com,manufacturing,discovery_only,http://www.oulasteel.com/career,"Real Kuwait-based steel manufacturing company, found while investigating supplied lead #119 ('Aloula') as the most plausible Kuwait-relevant match among several same-named entities across different countries -- NOT auto-matched per the no-guessing rule. Flagged for human confirmation. AUDIT CORRECTION (pass 3, 2026-09-13): domain corrected from al-oula.net (wrong/unconfirmed guess) to oulasteel.com (confirmed real, with a dedicated /career page)."
Anton-OSS,unknown,employer_oil_gas,discovery_only,,"A specifically-branded 'Anton-OSS' entity found actively recruiting in Kuwait (6 Oil, Gas, HSE, Engineering, Administration roles per aggregator), found while investigating supplied lead #3 ('Anton'). Likely Anton Oilfield Services Group's (#4) Kuwait-specific operating subsidiary/branch, but the exact corporate relationship and an official domain were not confirmed this pass."
Holiday Inn Kuwait Salmiya,https://www.ihg.com/holidayinn/hotels/us/en/kuwait/kwime/hoteldetail,employer_hospitality,hold_manual_review,https://www.ihg.com/holidayinn/hotels/us/en/kuwait/kwime/hoteldetail,Found while resolving the IHG Hotels & Resorts brand-level hold (#11). Official IHG hotel-detail page (tier-1) confirms this named Salmiya property (hotel code kwime). careers.ihg.com area=kuwait filter remains 403-blocked to direct fetch; no specific job/ATS confirmation obtained this pass.
Holiday Inn Kuwait Al Thuraya City,https://www.ihg.com/holidayinn/hotels/us/en/kuwait/kwikw/hoteldetail,employer_hospitality,hold_manual_review,https://www.ihg.com/holidayinn/hotels/us/en/kuwait/kwikw/hoteldetail,Found while resolving the IHG Hotels & Resorts brand-level hold (#11). Official IHG hotel-detail page (tier-1) confirms this named property (hotel code kwikw). Same careers/ATS access gap as the Salmiya property.
Central Bank of Kuwait (CBK),https://www.cbk.gov.kw,employer_government_regulator,hold_manual_review,https://www.cbk.gov.kw/en/careers,"Confirmed NOT in the kuwait.csv baseline (distinct from the already-present commercial banks NBK/Gulf Bank/Boubyan/Burgan/Warba/KFH). Official careers page (cbk.gov.kw/en/careers) confirmed real and reachable, but explicitly states 'There are no vacancies currently' -- honest negative signal, held rather than approved for lack of any current opening evidence."
Kuwait University,https://www.ku.edu.kw,employer_education,hold_manual_review,https://www.ku.edu.kw/careers;https://vpaa.ku.edu.kw/faculty-position,"Confirmed NOT in the kuwait.csv baseline (distinct from the already-present AUK/AUM/GUST private universities -- this is the flagship PUBLIC university, 1,565 faculty). Official careers portal (ku.edu.kw/careers) and a separate academic-recruitment portal (vpaa.ku.edu.kw) both confirmed real, with an active administrative/technical vacancy announcement found. Held rather than staged pending a specific current-job confirmation on the general careers portal (only the academic recruitment cycle timing was confirmed)."
Behbehani Motors Company,https://www.behbehanimotors.com,employer_automotive,hold_manual_review,https://www.behbehanimotors.com/index.php/Home/careers,"Real automotive dealership (Volkswagen, Porsche, Skoda) established 1957. Official domain and careers page confirmed. No specific current job posting independently verified this pass."
