internal_row_id,canonical_name,proposed_canonical_company_id,proposed_source_record_id,source_evidence_used,website_verification_status,careers_source_status,linkedin_status,automation_eligibility,source_confidence,defaulted_unknown_fields,dedup_result_against_39_existing,mapping_correction_applied
uae-pilot-0270,Killa Design,cc-killa-design,sr-ae-killa-design,"Direct WebFetch of official domain (https://www.killadesign.com) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0163,Design Infinity,cc-design-infinity,sr-ae-design-infinity,"Direct WebFetch of official domain (https://design-infinity.com) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0079,AMA Global Audit Tax Advisory,cc-ama-global-audit-tax-advisory,sr-ae-ama-global-audit-tax-advisory,"Direct WebFetch of official domain (https://www.amaaudit.com) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,"Round-4 audit correction: target_city corrected from ""Abu Dhabi"" to ""Dubai; Abu Dhabi"" per this row's own documented evidence of a Dubai office."
uae-pilot-0413,Sundus Recruitment and Outsourcing Services,cc-sundus,sr-ae-sundus,"Direct WebFetch of official domain (https://www.sundusglobal.com) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0327,NMC Specialty Hospital Abu Dhabi,cc-nmc-specialty-hospital-abu-dhabi,sr-ae-nmc-specialty-hospital-abu-dhabi,"Direct WebFetch of official domain (https://nmc.ae/en/locations/abu-dhabi/nmc-specialty-hospital-abu-dhabi) and its careers page, 2026-09-07",confirmed_official,confirmed_ats_Oracle Cloud HCM,not_researched_not_applicable,suitable_public_ats,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0299,Medeor 24x7 Hospital,cc-medeor-hospital,sr-ae-medeor-hospital,"Direct WebFetch of official domain (https://medeor.ae) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0236,Healthpoint,cc-healthpoint,sr-ae-healthpoint,"Direct WebFetch of official domain (https://healthpoint.ae) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0232,Harley Street Medical Centre,cc-harley-street-medical-centre,sr-ae-harley-street-medical-centre,"Direct WebFetch of official domain (https://www.hsmc.ae) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0221,Global Care Hospital,cc-global-care-hospital,sr-ae-global-care-hospital,"Direct WebFetch of official domain (https://gch.ae) and its careers page, 2026-09-07",confirmed_official,dedicated_careers_page_confirmed,not_researched_not_applicable,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected, company_size_category (estimated) - not assessed this pass, defaulted per the Lebanon promotion precedent (docs/job-source-discovery/pilots/apify-lebanon/reconciliation/lebanon-promotion-reconciliation-report.md §0 policy decision 4)",No match against uae.csv (39 rows) or master-company-registry.csv (288 rows) by normalized domain or normalized name - confirmed net-new.,none
uae-pilot-0100,Assist Plus,cc-assist-plus,sr-ae-assist-plus,"Direct WebFetch of official domain (https://www.assistplus.ae) and its careers page/portal, 2026-09-07 (deep-verification pass 2, selected via deterministic triage scoring)",confirmed_official,dedicated_careers_page_confirmed,company_page_self_referenced_used_as_supporting_evidence,suitable_public_html_subject_to_review,high,"early_career_relevance, internship_or_graduate_program_detected, current_open_jobs_detected - not assessed this pass, defaulted per the round-1 precedent","No match against uae.csv (39 rows), master-company-registry.csv (288 rows), or the 10 round-1-staged rows by normalized domain or canonical ID - confirmed net-new.",none
