internal_row_id,canonical_name,proposed_canonical_company_id,proposed_source_record_id,source_evidence_used,website_verification_status,careers_source_status,linkedin_status,automation_eligibility,source_confidence,defaulted_unknown_fields,dedup_result_against_65_existing,mapping_correction_applied
pilot-0018,ISS - Software Hive,cc-iss-software-hive,sr-lb-iss-software-hive,https://www.iss-mea.com/ | https://iss-mea.com/contact/ | https://www.linkedin.com/company/iss-lebanon,verified_official,careers_landing_page_no_current_listings,verified_official_company_page,manual_only,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)","[2026-09-06 final human-review audit] canonical_company_id/source_record_id: cc-iss -> cc-iss-software-hive (bare 'ISS' acronym is a high global-collision-risk ID; renamed to include the company's own brand name)."
pilot-0034,247studios,cc-247studios,sr-lb-247studios,https://247studios.me/join-the-team/ | https://247studios.me/join-the-team/ | https://www.linkedin.com/company/247studios,verified_official,careers_landing_page_no_current_listings,verified_official_company_page,manual_only,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)",
pilot-0039,Fusion Second,cc-fusion-second,sr-lb-fusion-second,http://www.fusionsecond.com/ | http://www.fusionsecond.com/ | https://www.linkedin.com/company/fusion-second,verified_official,email_or_application_form,verified_official_company_page,manual_only,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)",
pilot-0045,Creasoft LB,cc-creasoft-lb,sr-lb-creasoft-lb,https://creasoft.uk/ | https://creasoft.uk/ | https://www.linkedin.com/company/creasoft-lebanon,verified_official,careers_landing_page_no_current_listings,verified_official_company_page,manual_only,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)",
pilot-0052,Networked Energy Services (NES) MENAI - Smart Grid & Smart Meter Solutions,cc-networked-energy-services,sr-lb-networked-energy-services,https://www.networkedenergy.com/en/about/nes-system | https://www.networkedenergy.com/en/careers | https://www.linkedin.com/company/networked-energy-services-nes,verified_official,public_company_careers_page,verified_official_company_page,suitable_public_html_subject_to_review,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)",
pilot-0066,CME,cc-cme-offshore,sr-lb-cme-offshore,https://www.gotocme.com/ | https://www.gotocme.com/careers/ | https://www.linkedin.com/company/cmeoffshore-sal,verified_official,public_company_careers_page,verified_official_company_page,suitable_public_html_subject_to_review,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)","[2026-09-06 final human-review audit] canonical_company_id/source_record_id: cc-cme -> cc-cme-offshore (bare 'CME' is a high-collision-risk generic acronym; renamed to match the confirmed LinkedIn/legal identity 'CME Offshore')."
pilot-0067,Creyasoft sarl,cc-creyasoft,sr-lb-creyasoft,http://creyasoft.com/ | https://creyasoft.com/careers/,verified_official,public_company_careers_page,no_company_page_found,suitable_public_html_subject_to_review,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_company_url; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)","[2026-09-06 final human-review audit] canonical_company_id/source_record_id: cc-creyasoft-sarl -> cc-creyasoft (dropped unnecessary legal-suffix token; identity independently confirmed distinct from cc-creasoft-lb via different domain, Google Place ID, address, and employee count)."
pilot-0068,Azkatech,cc-azkatech,sr-lb-azkatech,https://azka.tech/ | https://azka.tech/working-in-azkatech/ | https://www.linkedin.com/company/azkatech,verified_official,public_company_careers_page,verified_official_company_page,suitable_public_html_subject_to_review,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)",
pilot-0072,Easysoft SARL,cc-easysoft,sr-lb-easysoft,https://www.easysoft.com.lb/ | https://www.easysoft.com.lb/,verified_official,email_or_application_form,likely_match_needs_review,manual_only,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_company_url; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)","[2026-09-06 final human-review audit] canonical_company_id/source_record_id: cc-easysoft-sarl -> cc-easysoft (dropped unnecessary legal-suffix token)."
pilot-0075,Software Design Consulting Group,cc-software-design-consulting-group,sr-lb-software-design-consulting-group,https://sd-lb.com/ | https://sd-lb.com/careers/ | https://lb.linkedin.com/company/software-design-consulting-group,verified_official,public_company_careers_page,verified_official_company_page,suitable_public_html_subject_to_review,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)",
pilot-0087,maxiphy | UX driven software company,cc-maxiphy,sr-lb-maxiphy,https://www.maxiphy.com/ | https://www.maxiphy.com/careers | https://lb.linkedin.com/company/maxiphy,verified_official,careers_landing_page_no_current_listings,verified_official_company_page,manual_only,medium,legal_or_official_name; company_size_category; early_career_relevance; internship_or_graduate_program_detected; ats_tenant_or_board_identifier; public_jobs_endpoint_or_feed; linkedin_jobs_url,"no match found (independently checked: normalized name, website domain, careers-URL domain, LinkedIn slug)",
