canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-killa-design,sr-ae-killa-design,Killa Design,Killa Design,private,Architecture,small,United Arab Emirates,United Arab Emirates,AE,Dubai,single_country,https://www.killadesign.com,https://www.killadesign.com/careers/,active_with_open_jobs,unknown,unknown,https://www.killadesign.com/careers/,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.killadesign.com;https://www.killadesign.com/careers/,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. Award-winning Dubai architecture studio; designed the Museum of the Future and Jumeirah Marsa Al Arab Hotel."
cc-design-infinity,sr-ae-design-infinity,Design Infinity,Design Infinity,private,Interior Design/Fit-out,mid_size,United Arab Emirates,United Arab Emirates,AE,Dubai; Abu Dhabi,single_country,https://design-infinity.com,https://design-infinity.com/careers/,careers_page_found,unknown,unknown,https://design-infinity.com/careers/,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://design-infinity.com;https://design-infinity.com/careers/,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. Founded 2012; 1500+ staff and 1400+ completed projects claimed on official site; confirmed offices in both Dubai (DIP) and Abu Dhabi - a genuine dual-city employer, not duplicated as two rows."
cc-ama-global-audit-tax-advisory,sr-ae-ama-global-audit-tax-advisory,AMA Global Audit Tax Advisory,AMA Global Audit Tax Advisory,professional_services_firm,Consulting/Professional Services,mid_size,United Arab Emirates,United Arab Emirates,AE,Dubai; Abu Dhabi,global_multinational_with_local_office,https://www.amaaudit.com,https://amaaudit.com/careers/,careers_page_found,unknown,unknown,https://amaaudit.com/careers/,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.amaaudit.com;https://amaaudit.com/careers/,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. Audit/tax/advisory firm established 1999; member of the PrimeGlobal international accounting network; offices in Abu Dhabi, Dubai, India, Singapore, and the USA. [Round-4 audit correction: target_city corrected from ""Abu Dhabi"" to ""Dubai; Abu Dhabi"" - this row's own website_notes already documented a Dubai office alongside Abu Dhabi, which had not been reflected in target_city.]"
cc-sundus,sr-ae-sundus,Sundus Recruitment and Outsourcing Services,Sundus Recruitment and Outsourcing Services,staffing_or_recruitment_agency,HR and Recruitment,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,gcc_regional,https://www.sundusglobal.com,https://www.sundusglobal.com/sundus-job-search,active_with_open_jobs,unknown,unknown,https://www.sundusglobal.com/sundus-job-search,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.sundusglobal.com;https://www.sundusglobal.com/sundus-job-search,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. 27-year-established HR/recruitment and outsourcing agency headquartered in Abu Dhabi (Mohamed Bin Zayed City); claims 10,000+ outsourced staff and 500+ international clients; a secondary recruitment portal at ruyacareers.ae is also referenced on-site. Directly closes the HR/recruitment sector gap flagged in the pre-pilot UAE baseline."
cc-nmc-specialty-hospital-abu-dhabi,sr-ae-nmc-specialty-hospital-abu-dhabi,NMC Specialty Hospital Abu Dhabi,NMC Specialty Hospital Abu Dhabi (NMC Healthcare),private,Healthcare,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,single_country,https://nmc.ae/en/locations/abu-dhabi/nmc-specialty-hospital-abu-dhabi,https://eiby.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,active_with_open_jobs,Oracle Cloud HCM,eiby (Oracle Fusion instance),https://eiby.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,suitable_public_ats,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://nmc.ae/en/locations/abu-dhabi/nmc-specialty-hospital-abu-dhabi;https://eiby.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,high,suitable_public_ats,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. Part of NMC Healthcare, one of the largest private hospital groups in the UAE. Two distinct Oracle Cloud recruiting portals confirmed: a main careers site and a separate UAE-Nationals-specific site (CX_1001)."
cc-medeor-hospital,sr-ae-medeor-hospital,Medeor 24x7 Hospital,Medeor 24x7 Hospital,private,Healthcare,mid_size,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,single_country,https://medeor.ae,https://medeor.ae/careers/,careers_page_found,unknown,unknown,https://medeor.ae/careers/,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://medeor.ae;https://medeor.ae/careers/,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. JCI-accredited multi-specialty hospital with a confirmed Abu Dhabi location."
cc-healthpoint,sr-ae-healthpoint,Healthpoint,Healthpoint,private,Healthcare,mid_size,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,single_country,https://healthpoint.ae,https://healthpoint.ae/careers/,careers_page_found,unknown,unknown,https://healthpoint.ae/careers/,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://healthpoint.ae;https://healthpoint.ae/careers/,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. Multispecialty hospital, part of the M42 group (major Abu Dhabi health-technology conglomerate); MOHAP-licensed (JZWJK2KF-200525)."
cc-harley-street-medical-centre,sr-ae-harley-street-medical-centre,Harley Street Medical Centre,Harley Street Medical Centre,private,Healthcare,small,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,single_country,https://www.hsmc.ae,https://www.hsmc.ae/careers/,careers_page_found,unknown,unknown,https://www.hsmc.ae/careers/,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.hsmc.ae;https://www.hsmc.ae/careers/,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. JCI-certified medical centre in Marina Village, Abu Dhabi; MOH-licensed (JY9VD33B-180825)."
cc-global-care-hospital,sr-ae-global-care-hospital,Global Care Hospital,Global Care Hospital,private,Healthcare,small,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,single_country,https://gch.ae,https://gch.ae/careers/,careers_page_found,unknown,unknown,https://gch.ae/careers/,suitable_public_html_subject_to_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://gch.ae;https://gch.ae/careers/,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"Apify UAE discovery pilot (2026-09-07), directly WebFetch-confirmed. Licensed hospital (advertisement licence JE68DXIH-111224) in the Al Manhal area of Abu Dhabi."
cc-assist-plus,sr-ae-assist-plus,Assist Plus,Assist Plus Accounting and Auditing Services (An Assist Plus Group Company),professional_services_firm,Consulting/Professional Services,mid_size,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,single_country,https://www.assistplus.ae,https://www.assistplus.ae/careers,active_with_open_jobs,unknown,unknown,https://www.assistplus.ae/careers,suitable_public_html_subject_to_review,unknown,unknown,unknown,https://www.linkedin.com/company/assist-plus-accounting-and-auditing-services/,not_verified,verified_official,discovery_and_verification_only,https://www.assistplus.ae;https://www.assistplus.ae/careers,high,suitable_public_html_subject_to_review,verified,,,2026-09-07,"UAE deterministic-triage deep-verification pass 2 (2026-09-07), directly WebFetch-confirmed. Accounting/audit firm regulated by UAE Ministry of Economy, DIFC, and Federal Tax Authority. Part of ""Assist Plus Group"" with a separate subsidiaries structure - noted for a human reviewer, not treated as disqualifying since Assist Plus itself is the entity with the confirmed careers page. HQ Abu Dhabi, additional offices in Dubai and Sharjah."
