canonical_company_id,company_name,lead_number,city,source_confidence,review_status,production_status,production_promoted_date,production_files
cc-halliburton,Halliburton,2,Al Ahmadi,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-international-turnkey-systems-its,International Turnkey Systems,43,Kuwait City,medium,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-foodics,Foodics,61,unknown,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-american-international-university-kuwait,American International University | Kuwait,67,unknown,medium,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-apparel-group,Apparel Group,104,unknown,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-iron-mountain,Iron Mountain,6,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-courtyard-by-marriott-kuwait-property,Courtyard by Marriott (Kuwait property),13,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-egis,Egis,15,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-hrinvest,HRInvest,29,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-united-real-estate-company-urc,United Real Estate Company (URC),32,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-procapita-group,Procapita Group,33,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-siemens-ag,Siemens AG,35,Kuwait City,medium,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-millennium-hotel-convention-centre-kuwait,Millennium Hotel & Convention Centre Kuwait,37,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-palms-agro-production-company,Palms Agro Production Company,38,Al Rai,medium,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-bfl-group,BFL Group,39,Salmiya,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-millennium-central-kuwait-downtown-hotel,Millennium Central Kuwait Downtown Hotel,41,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
cc-jw-marriott-kuwait-city,JW Marriott Kuwait City,50,Kuwait City,high,needs_manual_review,promoted_to_production,2026-09-14,kuwait.csv;master-company-registry.csv
