canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-wahed,sr-intl-wahed,Wahed,Wahed Inc. (Wahed Invest LLC),private_company,fintech_investment,unknown,United States,Lebanon,LB,Remote,remote_specific_countries_lebanon_included,https://www.wahed.com,https://jobs.lever.co/wahed.com,active_with_open_jobs,Lever,wahed.com,https://jobs.lever.co/wahed.com,suitable_public_ats,yes,high,yes_current,https://www.linkedin.com/company/wahedinvest,not_found,verified_official,discovery_and_verification_only,https://jobs.lever.co/wahed.com; https://jobs.lever.co/wahed.com/e2d49e0a-9535-4efa-96d1-72d2433cdaca; https://jobs.lever.co/wahed.com/a1149827-11ed-4c93-939b-f08905067640; https://www.linkedin.com/company/wahedinvest,high,suitable_public_ats,verified,,"Public Lever board; direct WebFetch returned HTTP 403 (bot protection), content confirmed via indexed search-result snippets. Re-open board manually to reconfirm live postings before ingestion.",2026-09-03,"Explicit ""Remote — Full Time"" Customer Support Agent posting located in Lebanon, plus a listed Internship Program, found on Wahed's public Lever board via search indexing. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). Re-fetch of jobs.lever.co/wahed.com returned HTTP 403 again (bot protection unchanged); classification retained on the strength of the specific Lebanon-located Lever posting URLs already captured as evidence in the prior pass, which remain the primary evidence for this row.]"
cc-welo-data,sr-intl-welo-data,Welo Data,"Welocalize, Inc. (Welo Data / Welo Global brand)",private_company,ai_data_language_services,unknown,unknown,Lebanon,LB,Remote,remote_middle_east_with_lebanon_supported,https://welodata.ai,https://www.weloglobal.com/company/,careers_page_found,Lever,weloglobal,https://jobs.lever.co/weloglobal,suitable_public_ats,yes,medium,no,https://www.linkedin.com/company/welo-data-ai,https://www.linkedin.com/jobs/welo-data-jobs-worldwide,verified_official,discovery_and_verification_only,https://jobs.lever.co/weloglobal/a905b7ef-1a1f-4470-ac7a-26de46b06d08; https://www.weloglobal.com/company/; https://welodata.ai/company/; https://www.linkedin.com/company/welo-data-ai,high,suitable_public_ats,verified,,"""Arabic Talent Hub"" posting explicitly lists Lebanon among eligible contributor countries (with Egypt, Saudi Arabia, UAE, Jordan, Morocco, Sudan, Iraq, Somalia, Tunisia, Libya, Mauritania, Kuwait, Oman, Bahrain, Qatar). Work is freelance/project-based (annotation, evaluation, prompt creation), not salaried employment.",2026-09-03,"Strongest Lebanon-eligibility evidence found in this pass — an explicit country list. Confirm current project availability manually since crowd/freelance work volume fluctuates. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). Re-fetch of weloglobal.com/company/ succeeded but that page no longer surfaces the Arabic Talent Hub posting; the specific Lever posting URL (jobs.lever.co/weloglobal/a905b7ef-...) returned HTTP 403 this pass. Classification retained on the strength of the explicit Lebanon-inclusive country list already captured as evidence in the prior pass.]"
cc-outlier-ai,sr-intl-outlier-ai,Outlier,Outlier (a Scale AI product),private_company,ai_data_training,unknown,unknown,Lebanon,LB,Remote,location_unclear,https://outlier.ai,https://outlier.ai/languages/ar-apc,active_with_open_jobs,unknown,unknown,https://outlier.ai/languages/ar-apc,suitable_public_html_subject_to_review,yes,medium,no,https://www.linkedin.com/company/outlier-ai,not_found,verified_official,discovery_and_verification_only,https://outlier.ai/languages/ar-apc; https://outlier.ai/languages/ar-eg; https://www.linkedin.com/company/outlier-ai,medium,suitable_public_html_subject_to_review,needs_manual_review,"Role targets ""Levantine Arabic"" (regional dialect spanning Lebanon/Syria/Jordan/Palestine) and pays via PayPal or Airtm (Airtm is commonly used where PayPal is unavailable, e.g. Lebanon) — a strong circumstantial signal, but no explicit ""Lebanon"" country statement was found on the page.","Only formal eligibility statement found: ""You must be authorized to work in your country of residence."" No explicit included/excluded country list. Gig/freelance work, not salaried employment.",2026-09-03,"Two Arabic-dialect-specific listings found (Levantine ar-apc, Egyptian ar-eg); the Levantine listing is the Lebanon-relevant one. Recommend manual confirmation of Lebanon eligibility before treating as a trusted source. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). No new evidence found this pass; circumstantial Levantine-Arabic/Airtm signal remains the only basis, which is not sufficient for verified status under the stricter bar. Downgraded scope from remote_middle_east to location_unclear.]"
cc-invisible-technologies,sr-intl-invisible-technologies,Invisible Technologies,Invisible Technologies Inc.,private_company,ai_data_training,unknown,unknown,Lebanon,LB,Remote,location_unclear,https://invisibletech.ai,https://invisibletech.ai/ai-training,active_with_open_jobs,unknown,unknown,unknown,manual_only,yes,medium,no,https://www.linkedin.com/company/invisible-technologies-inc-,https://www.linkedin.com/jobs/invisible-technologies-jobs-worldwide,verified_official,discovery_and_verification_only,https://www.remoterocketship.com/us/company/invisible-technologies-co/jobs/arabic-language-expert-freelance-ai-trainer-worldwide-remote/; https://himalayas.app/companies/inv/jobs/language-alignment-resource-partner-arabic-freelance-ai-trainer-project; https://www.linkedin.com/company/invisible-technologies-inc-,low,manual_only,needs_manual_review,"Evidence gathered only from third-party job-aggregator mirrors (RemoteRocketship, Himalayas), not the official invisibletech.ai domain directly; ""Arabic Language Expert"" and ""Language Alignment & Resource Partner (Arabic)"" roles are described as ""Worldwide Remote"" with no explicit Lebanon statement found.",Freelance/contractor AI-trainer work; native-level Levantine Arabic implied by role description. Confirm directly on invisibletech.ai before treating as verified.,2026-09-03,"Plausible Lebanon relevance via the Levantine Arabic language requirement, but a weaker evidence chain than Welo Data or Outlier — direct official-domain confirmation recommended. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). Official invisibletech.ai domain still not directly reached; evidence remains third-party aggregator mirrors only. Downgraded scope from remote_middle_east to location_unclear.]"
cc-crossover,sr-intl-crossover,Crossover,"Crossover for Work, Inc.",private_company,remote_staffing_recruiting_platform,unknown,unknown,Lebanon,LB,Beirut / Remote (country-wide),location_unclear,https://www.crossover.com,https://www.crossover.com/remote-jobs/lebanon,active_with_open_jobs,custom,crossover.com,https://www.crossover.com/jobs,suitable_public_html_subject_to_review,yes,low,no,https://www.linkedin.com/company/crossover,https://www.linkedin.com/company/crossover/jobs,verified_official,discovery_and_verification_only,https://www.crossover.com/remote-jobs/lebanon; https://www.crossover.com/remote-jobs/lebanon/city/beirut; https://www.crossover.com/jobs/software-engineer/lb/beirut; https://www.linkedin.com/company/crossover,medium,suitable_public_html_subject_to_review,needs_manual_review,"Crossover is a third-party remote-staffing platform (acts as employer/intermediary for client companies), not a single employer; direct WebFetch of the Lebanon-specific page returned no renderable content (likely JS-rendered), so current-openings volume was not independently confirmed beyond search-index snippets.","Crossover publishes country- and city-specific URL paths for Lebanon and Beirut, a strong structural signal of Lebanon-targeted hiring, but the page is JS-rendered and blocked automated fetch — needs manual browser verification.",2026-09-03,"Roles are full-time, ""long-term"" remote positions for US client companies at (per marketing copy) high hourly rates — relevance skews mid/senior career; kept for completeness even though early-career fit is low. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). Re-fetch of crossover.com/remote-jobs/lebanon and the Beirut-specific job URL both returned an empty JS-only shell (no renderable content) rather than confirming or denying Lebanon targeting. The country/city-specific URL structure is a real signal but not primary content evidence, so this remains unverified. Downgraded scope from remote_specific_countries to location_unclear pending a manual browser check.]"
cc-un-volunteers,sr-intl-un-volunteers,UN Volunteers (Online Volunteering),United Nations Volunteers programme (UNV),intergovernmental_organization,ngo_international_organization,unknown,unknown,Lebanon,LB,Remote,location_unclear,https://www.unv.org,https://www.unv.org/become-online-volunteer,active_with_open_jobs,custom,app.unv.org,https://app.unv.org,suitable_public_html_subject_to_review,yes,high,no,not_verified,not_verified,not_verified,not_applicable,https://www.unv.org/become-online-volunteer; https://www.unv.org/engage-online-volunteers; https://untoday.org/becoming-a-un-volunteer-and-an-online-volunteer/,medium,manual_only,needs_manual_review,"This is unpaid volunteering, not paid employment — must be clearly labeled as such if ever surfaced to users. Per-assignment eligibility (18+, ""anywhere in the world"") is a platform-level policy; individual assignments may carry their own restrictions not captured here.","Sign-up at app.unv.org (Unified Volunteering Platform); assignments are posted by UN entities and NGOs and matched to volunteer profiles, not a single static job board.",2026-09-03,"Included because the product scope covers early-career resume-building opportunities, not only paid jobs; must be clearly distinguished from paid roles in any downstream UI/ingestion. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). Direct WebFetch of unv.org/become-online-volunteer returned HTTP 403 this pass. A secondary source (untoday.org) confirms online volunteers can work ""from anywhere in the world"" but explicitly notes eligibility is assignment-specific and does not confirm an unrestricted global policy. Downgraded scope from worldwide_remote to location_unclear as the evidence is not a direct official confirmation.]"
cc-toptal,sr-intl-toptal,Toptal,"Toptal, LLC",private_company,staffing_freelance_marketplace,unknown,unknown,Lebanon,LB,Remote,location_unclear,https://www.toptal.com,https://www.toptal.com/talent/apply,careers_page_found,custom,toptal.com,unknown,manual_only,unknown,low,no,not_verified,not_verified,not_verified,not_applicable,https://www.toptal.com/freelance-jobs/faq; https://www.toptal.com/talent/apply,low,manual_only,needs_manual_review,"""100+ countries"" claim found but no explicit Lebanon confirmation; freelancers are independent contractors, not employees, and are not eligible for visa sponsorship (per site FAQ) — Lebanon-specific payment/tax feasibility not confirmed.",Application-based vetting process (not a browsable public job board in the conventional sense).,2026-09-03,"Include as location_unclear pending direct confirmation; also skews senior/expert rather than early-career. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). No new evidence found this pass; remains location_unclear as previously classified.]"
cc-telus-digital,sr-intl-telus-digital,TELUS Digital AI Community,TELUS Digital (formerly TELUS International) AI Community,public_company,ai_data_training_bpo,unknown,unknown,Lebanon,LB,Remote,location_unclear,https://www.telusinternational.ai,https://jobs.telusdigital.com/search/cfm5/ai-community/jobs,careers_page_found,custom,telusinternational.ai,https://app.telusinternational.ai,manual_only,unknown,medium,no,not_verified,not_verified,not_verified,not_applicable,https://jobs.telusdigital.com/search/cfm5/ai-community/jobs; https://www.telusinternational.ai/faq,low,manual_only,needs_manual_review,"""Career choices in 33 countries"" stated but the list and Lebanon's presence on it were not confirmed; no Arabic/MENA-specific project page found (unlike Welo Data's explicit Arabic Talent Hub).",Crowdsourced micro-task platform; per-project eligibility likely varies.,2026-09-03,"Plausible given the company's scale and other MENA-language crowd platforms' patterns, but unconfirmed — needs a follow-up pass specifically searching TELUS's MENA/Arabic project pages. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). No new evidence found this pass; remains location_unclear as previously classified.]"
cc-x-team,sr-intl-x-team,X-Team,"X-Team, Inc.",private_company,software_development_staffing,unknown,unknown,Lebanon,LB,Remote,location_unclear,https://x-team.com,https://x-team.com/join,careers_page_found,unknown,unknown,unknown,manual_only,unknown,low,unknown,not_verified,not_verified,not_verified,not_applicable,https://weworkremotely.com/company/x-team; https://remote.co/company/x-team,low,unknown,needs_manual_review,"No Lebanon- or Middle East-specific eligibility statement found; only generic ""100% remote, global developer community"" positioning via third-party aggregator listings.",n/a,2026-09-03,"Weak evidence; kept only as a candidate for a future research pass, not yet a usable source. [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). No new evidence found this pass; remains location_unclear as previously classified.]"
cc-automattic,sr-intl-automattic,Automattic,Automattic Inc.,private_company,technology_software,unknown,unknown,Lebanon,LB,Remote,location_unclear,https://automattic.com,https://automattic.com/work-with-us/,careers_page_found,unknown,unknown,unknown,manual_only,unknown,low,unknown,not_verified,not_verified,not_verified,not_applicable,https://automattic.com/work-with-us/; https://weworkremotely.com/company/automattic,low,unknown,needs_manual_review,"""Hires across 83 countries"" stated by third-party aggregators, but the actual eligible-country list (and whether Lebanon is on it) was not found on the official domain during this pass.",n/a,2026-09-03,"Well-known ""work from anywhere"" employer; worth a dedicated follow-up pass reading automattic.com/work-with-us/ directly (this pass only reached third-party summaries). [Verification pass 2026-09-03: re-classified geographic_scope against the new stricter enum; re-attempted primary-source WebFetch (session WebSearch budget was already exhausted at 200/200, so this pass could not run new discovery searches). automattic.com/work-with-us/ not re-fetched this pass (WebSearch exhausted, direct fetch not attempted); remains location_unclear pending a dedicated follow-up reading the official eligible-country list.]"
