internal_row_id,canonical_name,relevance_status,relevance_reason,normalized_domain,website,regions,categories,address,city,phone,rating,reviews_count,google_maps_url,place_ids,duplicate_count,source,scraped_at
uae-pilot-0001,.قواعد للأستشارات الهندسية - QEC Engineering Consultants abu dhabi.,eligible_employer,"Category (Engineering consultant) is a plausible genuine employer sector matching the task's target sectors, and a website is present for verification.",qec-uae.com,https://qec-uae.com/ar,Abu Dhabi,Engineering consultant,16 القلطة - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,,+971 55 392 2874,5.0,15,https://www.google.com/maps/search/?api=1&query=.%D9%82%D9%88%D8%A7%D8%B9%D8%AF%20%D9%84%D9%84%D8%A3%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9%20-%20QEC%20Engineering%20Consultants%20abu%20dhabi.&query_place_id=ChIJvTSjrPo5Xj4RhmQ-Ai2Sf7w,ChIJvTSjrPo5Xj4RhmQ-Ai2Sf7w,1,apify_google_maps_run-abudhabi-g1,2026-09-07T11:26:39.176Z
uae-pilot-0002,+971 Architects,eligible_employer_no_website,Category plausible as a real employer but Google Maps returned no website field - cannot verify an official source without one.,,,Dubai,Architecture firm,Oud Metha - Dubai - United Arab Emirates,,+971 4 357 3575,4.6,26,https://www.google.com/maps/search/?api=1&query=%2B971%20Architects&query_place_id=ChIJVSQTdnlDXz4RB2l9rEJ0lDo,ChIJVSQTdnlDXz4RB2l9rEJ0lDo,1,apify_google_maps_run-dubai-g1,2026-09-07T11:25:47.624Z
uae-pilot-0003,2 FAR ROBOTICS,irrelevant_small_retail_or_generic,"Category set (Computer store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",2fr.co,http://www.2fr.co/store,Abu Dhabi,Computer store,Villa 158 Online Store - Shamkha 16 - Abu Dhabi - United Arab Emirates,,+971 55 504 8355,4.9,63,https://www.google.com/maps/search/?api=1&query=2%20FAR%20ROBOTICS&query_place_id=ChIJBxB3uKA1Xj4RFLJLQ06lgTw,ChIJBxB3uKA1Xj4RFLJLQ06lgTw,1,apify_google_maps_run-abudhabi-g4,2026-09-07T11:24:23.818Z
uae-pilot-0004,3 Square Interior Design L.L.C.,eligible_employer_no_website,Category plausible as a real employer but Google Maps returned no website field - cannot verify an official source without one.,,,Dubai,Interior designer,67QC+7FH - 30A St - Jumeirah - Jumeira First - Dubai - United Arab Emirates,,+971 4 346 3872,3.0,2,https://www.google.com/maps/search/?api=1&query=3%20Square%20Interior%20Design%20L.L.C.&query_place_id=ChIJ2-3HFQBDXz4Rui2dSClEb-I,ChIJ2-3HFQBDXz4Rui2dSClEb-I,1,apify_google_maps_run-dubai-g1,2026-09-07T11:25:43.482Z
uae-pilot-0005,360 Degree Contracting,eligible_employer_no_website,Category plausible as a real employer but Google Maps returned no website field - cannot verify an official source without one.,,,Dubai,Construction company,67PG+V2F - Al Diyafah Street - Al Bada' - Dubai - United Arab Emirates,,,5.0,3,https://www.google.com/maps/search/?api=1&query=360%20Degree%20Contracting&query_place_id=ChIJXcAccABDXz4RpJMS5sBaRGk,ChIJXcAccABDXz4RpJMS5sBaRGk,1,apify_google_maps_run-dubai-g3,2026-09-07T11:20:54.705Z
uae-pilot-0006,7md Store Al Falah Central Mall حمد ستور الفلاح سنترال مول,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",7md.ae,https://www.7md.ae/,Abu Dhabi,Electronics store,CPH7+3M3 - Al Falah - 1F - Abu Dhabi - United Arab Emirates,,+971 50 513 4120,4.8,210,https://www.google.com/maps/search/?api=1&query=7md%20Store%20Al%20Falah%20Central%20Mall%20%D8%AD%D9%85%D8%AF%20%D8%B3%D8%AA%D9%88%D8%B1%20%D8%A7%D9%84%D9%81%D9%84%D8%A7%D8%AD%20%D8%B3%D9%86%D8%AA%D8%B1%D8%A7%D9%84%20%D9%85%D9%88%D9%84&query_place_id=ChIJ0-vLjHFLXj4R-o6IPn0X2lQ,ChIJ0-vLjHFLXj4R-o6IPn0X2lQ,1,apify_google_maps_run-abudhabi-g4,2026-09-07T11:24:23.817Z
uae-pilot-0007,"A Super Fast Cargo & Logistics - -UK,US,NZ,AUS,GER,CANADA,GCC & ALL OTHER COUNTRIES",eligible_employer,"Category (Logistics service) is a plausible genuine employer sector matching the task's target sectors, and a website is present for verification.",superfastcargo.ae,https://superfastcargo.ae/,Abu Dhabi,Logistics service,639 Al Ain Rd - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,,+971 50 416 4433,4.9,248,https://www.google.com/maps/search/?api=1&query=A%20Super%20Fast%20Cargo%20%26%20Logistics%20-%20-UK%2CUS%2CNZ%2CAUS%2CGER%2CCANADA%2CGCC%20%26%20ALL%20OTHER%20COUNTRIES&query_place_id=ChIJuYtlf_hnXj4Rv0hzyxS-za8,ChIJuYtlf_hnXj4Rv0hzyxS-za8,1,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:31.239Z
uae-pilot-0008,A&T Group Interiors,eligible_employer,"Category (Interior construction contractor) is a plausible genuine employer sector matching the task's target sectors, and a website is present for verification.",atginteriors.com,https://www.atginteriors.com/,Dubai,Interior construction contractor,API World Tower - Sheikh Zayed Rd - Dubai - United Arab Emirates,,+971 4 396 4121,4.7,164,https://www.google.com/maps/search/?api=1&query=A%26T%20Group%20Interiors&query_place_id=ChIJi6xSCyZDXz4RNx1rEaIlqaE,ChIJi6xSCyZDXz4RNx1rEaIlqaE,1,apify_google_maps_run-dubai-g1,2026-09-07T11:25:53.861Z
uae-pilot-0009,AAMER Logistics L.L.C. Tasheel - Taw-jeeh / تسهيل - توجيه,eligible_employer,"Category (Logistics service) is a plausible genuine employer sector matching the task's target sectors, and a website is present for verification.",aamergroup.ae,https://aamergroup.ae/,Abu Dhabi,Logistics service,HSBC Building - Sheikh Rashid Bin Saeed - 3rd Floor - Abu Dhabi - United Arab Emirates,,+971 2 651 9000,5.0,720,https://www.google.com/maps/search/?api=1&query=AAMER%20Logistics%20L.L.C.%20Tasheel%20-%20Taw-jeeh%20%2F%20%D8%AA%D8%B3%D9%87%D9%8A%D9%84%20-%20%D8%AA%D9%88%D8%AC%D9%8A%D9%87&query_place_id=ChIJj6wSaBPm1qcR3EMzIryXRjk,ChIJj6wSaBPm1qcR3EMzIryXRjk,1,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:31.238Z
uae-pilot-0010,Aashiyana Accounting & Bookkeeping,eligible_employer,"Category (Accounting firm) is a plausible genuine employer sector matching the task's target sectors, and a website is present for verification.",aashiyanaaccounting.com,https://www.aashiyanaaccounting.com/,Dubai,Accounting firm,Burjuman Business Tower - 16th Floor - 16th St - near Burjuman Metro Exit-3 - Mankhool - Dubai - United Arab Emirates,,+971 52 583 6231,5.0,2,https://www.google.com/maps/search/?api=1&query=Aashiyana%20Accounting%20%26%20Bookkeeping&query_place_id=ChIJ6QhyJg5DXz4RdIGBQ2WhoSs,ChIJ6QhyJg5DXz4RdIGBQ2WhoSs,1,apify_google_maps_run-dubai-g3,2026-09-07T11:20:54.870Z
