canonical_company_id,company_name,lead_source,source_confidence,careers_page_status,current_open_jobs_detected,audit_category,audit_finding,audit_verdict
cc-halliburton,Halliburton,2,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-international-turnkey-systems-its,International Turnkey Systems,43,medium,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-foodics,Foodics,61,high,careers_page_found,unknown,"cross_market_id_reuse (disclosed, pre-existing)","This row intentionally reuses a canonical_company_id already used for the same company in another market (Saudi Arabia), per established repository convention. Disclosed in the original researcher_notes and flagged for human confirmation of the id-reuse decision -- not a new audit finding, carried forward for completeness.",approve_unchanged
cc-american-international-university-kuwait,American International University | Kuwait,67,medium,careers_page_found,unknown,stale_or_imprecise_url,"official_careers_url pointed to the root domain instead of the specific confirmed careers path (aiu.edu.kw/careers/jobs, referenced in the original researcher_notes as ""Jobs at AIU""). Corrected to the more precise URL.",correct_then_approve
cc-apparel-group,Apparel Group,104,high,careers_page_found,unknown,"cross_market_id_reuse (disclosed, pre-existing)","This row intentionally reuses a canonical_company_id already used for the same company in another market (Saudi Arabia), per established repository convention. Disclosed in the original researcher_notes and flagged for human confirmation of the id-reuse decision -- not a new audit finding, carried forward for completeness.",approve_unchanged
cc-iron-mountain,Iron Mountain,6,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-courtyard-by-marriott-kuwait-property,Courtyard by Marriott (Kuwait property),13,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-egis,Egis,15,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-hrinvest,HRInvest,29,high,careers_page_found,unknown,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
cc-united-real-estate-company-urc,United Real Estate Company (URC),32,high,active_with_open_jobs,yes,none,"No adversarial-audit issues found. Identity, official domain, Kuwait presence, and evidence-tier labeling are internally consistent.",approve_unchanged
