supplied_lead_name,outcome,evidence_summary,reason
The Flex,insufficient_evidence,"Multiple unrelated real companies named ""Flex"" were found (flex.com electronics manufacturer; getflex.com US fintech; theflex.global UK flexible-living/property company) but none confirmed as a Qatar-based coworking/flex-space operator.","No entity matching the likely intended ""Qatar coworking/flex-desk space"" description could be confirmed this pass."
Information & Communication Technology (ICT),insufficient_evidence,"No specific company by this name was found; ""ICT"" reads as an industry/sector label rather than an employer name.","Very likely a mis-extracted LinkedIn industry tag or job-category label, not an employer. Kept per instructions not to silently drop ambiguous leads."
Thaura,insufficient_evidence,"No company-specific evidence was found under this name in Qatar.","Search returned only generic Qatar job-portal results, no entity match."
Nozomi Networks,insufficient_evidence,"See manual-review-queue.csv - real global company, no Qatar-specific presence confirmed.","Escalated to manual-review-queue.csv rather than a hard reject, since the company itself is real and plausibly has region-covering remote/traveling sales roles."
Lucidya,insufficient_evidence,"Real AI customer-experience company, HQ Riyadh, Saudi Arabia, with confirmed team presence in Jeddah, Cairo, and remote hires in Jordan/India/Turkey/Portugal.","No Qatar office, Qatar-specific job posting, or Qatar-eligible remote statement was found this pass - Qatar was not among any location list surfaced."
Tech Ladies,insufficient_evidence,"No specific ""Tech Ladies"" community/company operating in Qatar was found; search returned only generic ""women in tech Qatar"" career-guide content.","Likely a generic LinkedIn community/group label rather than a distinct hiring employer."
SOAIS,insufficient_evidence,"Search results conflated this name with an unrelated real company, SOSi (SOS International LLC), a US defense contractor confirmed active at Al Udeid Air Base, Qatar.","No evidence for an entity actually named ""SOAIS"" operating in Qatar was found; SOSi is a different, already-real company and was not substituted in without confirmation."
JoVE,insufficient_evidence,"Real global science-video/education publisher, HQ Cambridge, Massachusetts, with offices in the US, Europe, India, and Australia.","No Qatar office, job posting, or presence of any kind was found this pass."
ROGII,insufficient_evidence,"Real Houston-headquartered oil & gas geoscience/drilling software company (51-200 employees).","No Qatar office, job posting, or presence was found this pass despite Qatar's active O&G sector making it a plausible future candidate."
Confidential Jobs / Confidential employer listings,rejected_unsafe,"Not a company - a generic label LinkedIn/aggregators use for anonymized job postings where the real employer withholds its identity.","Per task rule 'do not convert a confidential listing into an invented employer' - explicitly rejected rather than staged or guessed at."
