internal_row_id,canonical_name,relevance_status,review_status_source,proposed_action,reason,matched_destination_row,proposed_destination_status,automation_eligibility,confidence_level,official_website_url,careers_page_url
pilot-0001,Index of Solutions,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Site confirms company name 'Index of Solutions', address 'Cornish al mazraa, Facing Liban Post, Sabbah Center, Block B, 2nd floor, Beirut' and phone +961 3 865 174, matching the Maps listing exactly.",,needs_manual_review,manual_only,medium,https://www.indexofsolutions.com/,
pilot-0002,CODERS - ERP systems and solutions - Microsoft Dynamics 365 Lebanon - Microsoft Gold Partner,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). google_website coders.solutions 301-redirects to coders.com.lb. Canonical site confirms 'CODERS Solutions', Microsoft Gold Partner in Lebanon, address 'Sa'eb Salam Av., Owaini Building, 4th Floor, Beirut, Lebanon' and phone +961",,needs_manual_review,manual_only,medium,https://coders.com.lb/,
pilot-0003,Optimal Solutions,eligible_employer,verified,hold_manual_review,"Lebanon-identity match (address/phone tying this website to this specific Google Maps candidate) rests on an independent WebSearch snippet, not a direct primary-source read — official homepage itself shows a different (UK) contact number by default. Matches the registry's own documented downgrade precedent (discovery-report.md §22.12: identity confirmed only via secondary corroboration, not a direct read of the primary evidence, must not carry an ingestion-suitable status).",,needs_manual_review,suitable_public_html_subject_to_review,medium,https://www.optimalsolutions.io/,https://optimalsolutions.io/careers
pilot-0004,Scope for IT services,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Homepage confirms the company name 'Scope for IT services' but shows only an email contact (info@scopeexperts.com), no address/phone. Independent WebSearch (ZoomInfo/RocketReach snippets) corroborates the Beirut address 'Cornich",,needs_manual_review,manual_only,low,http://www.scopeexperts.com/,
pilot-0005,TechnoWare,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0006,EDM - Beirut,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). Site confirms 'EDM (Engineering Design & Manufacturing s.a.l.)', described as a Lebanese company with head office at 'Unesco, Saeb Salam Av., Beirut', matching city/category. Phone not shown on the fetched homepage but address m",,needs_manual_review,manual_only,medium,https://edm-tech.com/,
pilot-0007,"Anzimaty, Digital Solutions Enabled",eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0008,Consolidated Contractors Company,duplicate_existing_registry_company,no_official_source_found,already_exists,Matches existing lebanon.csv row cc-ccc (Consolidated Contractors Company) via normalized_name_exact.,cc-ccc,n/a (already in registry),not_applicable,not_applicable,,
pilot-0009,Edgineers,eligible_employer,no_official_source_found,hold_insufficient_source,"review_status=no_official_source_found — relevance_status=eligible_employer suggests a plausible real business, but no official website/careers/domain evidence was found. lebanon.csv currently has zero rows in this status (0 precedent) — promotion policy decision required (see report item 4).",,no_official_source_found (policy decision pending — see report),manual_only,low,,
pilot-0010,HISSABAT/ IT Solutions,eligible_employer,needs_manual_review,hold_manual_review,"review_status=needs_manual_review (relevance_status=eligible_employer). hissabat.com resolves but its SSL certificate has expired, so content could not be safely retrieved or verified (not retried per protocol). Second guess hissabat.net did not resolve. Domain existing under this exact distinctive ",,needs_manual_review,manual_only,low,,
