candidate_id,canonical_id,field,original_value,corrected_value,audit_reason,evidence_url,validation_result
cc-accenture-sa,cc-accenture-sa,careers_page_status,active_with_open_jobs,careers_page_found,Hub page has no visible listings itself; live listings require a separate Workday sub-portal not currently on file,https://www.accenture.com/sa-en/careers,applied_and_verified_in_promoted_row
cc-accenture-sa,cc-accenture-sa,current_open_jobs_detected,yes,unknown,Hub page shows no visible listings this pass,https://www.accenture.com/sa-en/careers,applied_and_verified_in_promoted_row
cc-accenture-sa,cc-accenture-sa,researcher_notes,(see original),(appended: Live listings require navigating to a Workday sub-portal not visible on the stored URL itself.),Audit correction,,applied_and_verified_in_promoted_row
cc-alpaca-ksa,cc-alpaca-ksa,evidence_urls,https://job-boards.greenhouse.io/alpaca/jobs/5850031004,https://job-boards.greenhouse.io/alpaca,"Claimed ""Lead Product Manager - Saudi"" job (5850031004) does not currently exist; replaced with the confirmed-live board root",https://job-boards.greenhouse.io/alpaca,applied_and_verified_in_promoted_row
cc-alpaca-ksa,cc-alpaca-ksa,researcher_notes,(see original),"(appended: The only current Saudi-relevant listing found is ""Brokerage Operations Manager - Saudi"" categorized under Remote-EMEA, a broad region -- downgrade remote-eligibility claim from Saudi-specific to Middle-East-GCC-remote-unclear.)",Audit correction,,applied_and_verified_in_promoted_row
cc-uxbert-labs,cc-uxbert-labs,careers_page_status,careers_page_found,active_no_open_jobs,"Official page explicitly states ""No available jobs in the meantime"", contradicting prior ""14 open Riyadh roles"" claim",https://uxbert.com/careers,applied_and_verified_in_promoted_row
cc-uxbert-labs,cc-uxbert-labs,current_open_jobs_detected,unknown,no,Official page explicitly states no available jobs,https://uxbert.com/careers,applied_and_verified_in_promoted_row
cc-uxbert-labs,cc-uxbert-labs,researcher_notes,(see original),"(appended: Riyadh office/address confirmed; currently zero open roles per official page (prior ""14 open Riyadh roles"" claim could not be reconfirmed and is superseded).)",Audit correction,,applied_and_verified_in_promoted_row
cc-lenovo-sa,cc-lenovo-sa,evidence_urls,https://jobs.lenovo.com/en_US/careers/JobDetail/Service-Delivery-Lead-for-KSA/68629,https://jobs.lenovo.com/,Specific job posting URL now returns HTTP 404 (normal listing churn); replaced with the confirmed-live general search portal,https://jobs.lenovo.com/,applied_and_verified_in_promoted_row
cc-lenovo-sa,cc-lenovo-sa,careers_page_status,active_with_open_jobs,careers_page_found,Downgraded from an active-job claim pending a fresh specific listing,https://jobs.lenovo.com/,applied_and_verified_in_promoted_row
cc-lenovo-sa,cc-lenovo-sa,current_open_jobs_detected,yes,unknown,Specific cited job no longer live,https://jobs.lenovo.com/,applied_and_verified_in_promoted_row
