source_name,official_domain,source_type,kuwait_coverage,access_policy_status,current_source_outcome,audit_finding,audit_verdict
Alghanim Industries,https://www.alghanim.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,already_present,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,duplicate_or_alias
Deloitte Kuwait,https://www2.deloitte.com/kw/en.html,derived_from_supplied_lead,covered_by_existing_row,not_checked,already_present,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,duplicate_or_alias
HRInvest,https://www.hrinvest.com,derived_from_supplied_lead,not_confirmed_this_pass,not_checked,not_applicable,"Real, Kuwait-relevant entity, but functions as a private placement/executive-search consultancy rather than a public multi-employer job board -- correctly classified not_applicable as an automatable SOURCE (still valid as an EMPLOYER candidate, tracked separately in kuwait-promotion-staging.csv where applicable).",move_to_source_catalog
Gulf Bank,https://www.e-gulfbank.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,already_present,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,duplicate_or_alias
SSC HR Solutions,unknown,derived_from_supplied_lead,not_confirmed_this_pass,not_checked,insufficient_evidence,"Identity itself (SSC HR Solutions) could not be confirmed as Kuwait-relevant -- a likely OCR/name mix-up with the real ""SOS HR Solutions"" was found and flagged, not substituted. Correctly held at insufficient_evidence pending human confirmation.",insufficient_evidence
Libera Consultants,https://www.liberaconsultants.com,derived_from_supplied_lead,not_confirmed_this_pass,not_checked,not_applicable,"Real, Kuwait-relevant entity, but functions as a private placement/executive-search consultancy rather than a public multi-employer job board -- correctly classified not_applicable as an automatable SOURCE (still valid as an EMPLOYER candidate, tracked separately in kuwait-promotion-staging.csv where applicable).",move_to_source_catalog
National Bank of Kuwait (NBK),https://www.nbk.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,already_present,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,duplicate_or_alias
SpaStaff.com,https://www.spastaff.com,derived_from_supplied_lead,confirmed_this_pass,manual_review_only,hold_manual_review,"SpaStaff.com: Kuwait coverage corrected and confirmed this pass, but robots.txt/ToS access-policy check remains inconclusive -- correctly held short of automated-ingestion approval.",hold_manual_review
American University of Kuwait (AUK),https://www.auk.edu.kw,derived_from_supplied_lead,covered_by_existing_row,not_checked,already_present,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,duplicate_or_alias
Al Mulla Group,https://www.almullagroup.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,already_present,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,duplicate_or_alias
Kuwait Civil Service Commission (Recruitment Portal),https://portal2.csc.gov.kw/,official_government_job_portal,see_notes,manual_review_only,manual_review_only,"Real source with positive access-policy signal (e.g. permissive robots.txt / confirmed portal), but ToS and/or technical structure not fully verified -- correctly held short of automated-ingestion approval.",hold_manual_review
Akhtaboot,https://www.akhtaboot.com,job_board,see_notes,discovery_only,discovery_only,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",hold_manual_review
Kuwait Investment Authority (KIA) — potential portfolio directory,https://www.kia.gov.kw,government_investment_directory,see_notes,not_checked,already_present,"Corrected this pass: confirmed to already exist as a verified row in the production kuwait.csv baseline -- was initially mis-logged as a new discovery, now corrected to already_present and excluded from new staging.",duplicate_or_alias
GulfTalent Kuwait (re-verification of existing source),https://www.gulftalent.com/kuwait/jobs,job_board,see_notes,not_checked,already_present,"Corrected this pass: confirmed to already exist as a verified row in the production kuwait.csv baseline -- was initially mis-logged as a new discovery, now corrected to already_present and excluded from new staging.",duplicate_or_alias
Egypt Kuwait Holding Company,https://careers.ekholding.com/,boursa_kuwait_listed_company,see_notes,not_checked,discovery_only,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",hold_manual_review
Boursa Kuwait Listed Companies Directory,https://www.boursakuwait.com.kw/en/participants/participants/listed-companies/,discovery_channel,see_notes,not_checked,discovery_only,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",hold_manual_review
Public Authority for Manpower (Kuwait),https://www.manpower.gov.kw,official_government_employment_body,see_notes,manual_review_only,manual_review_only,"Real source with positive access-policy signal (e.g. permissive robots.txt / confirmed portal), but ToS and/or technical structure not fully verified -- correctly held short of automated-ingestion approval.",hold_manual_review
Wathif,https://wathif.com,job_board,see_notes,manual_review_only,manual_review_only,"Real source with positive access-policy signal (e.g. permissive robots.txt / confirmed portal), but ToS and/or technical structure not fully verified -- correctly held short of automated-ingestion approval.",hold_manual_review
Airswift (Kuwait office),https://www.airswift.com/about/locations/kuwait,recruitment_staffing_agency,see_notes,not_checked,discovery_only,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",hold_manual_review
NES Fircroft (Kuwait office),https://www.nesfircroft.com/regions/recruitment-in-middle-east/kuwait-jobs/,recruitment_staffing_agency,see_notes,not_checked,discovery_only,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",hold_manual_review
SOS HR Solutions,https://soshr.net,recruitment_staffing_agency,see_notes,not_checked,discovery_only,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",hold_manual_review
بيت.كوم,bayt.com,job_board,strong (dedicated Kuwait section,already_known (used as supporting/aggregator evidence throughout this project; never as official_careers_url),already_known (used as supporting/aggregator evidence throughout this project; never as official_careers_url),Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
تنقيب,kuwait.tanqeeb.com,job_board,strong (dedicated Kuwait Arabic + English sections including a remote-jobs filter),discovery_only,discovery_only,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
السوق المفتوح (OpenSooq),kw.opensooq.com,job_board_classifieds,strong (daily-updated Kuwait jobs section across many categories),already_known,already_known,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
بعيد (Baaeed),baaeed.com,job_board_remote,unconfirmed (a general Arabic remote-jobs platform; Kuwait-specific volume not verified this pass),discovery_only,discovery_only,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
البوابة الإلكترونية الرسمية لدولة الكويت (Kuwait e.gov.kw Employment),e.gov.kw,official_government_portal,informational (links to sector-specific government hiring systems rather than hosting listings itself),already_known (referenced in prior pass),already_known (referenced in prior pass),Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
ديوان الخدمة المدنية - نظام التوظيف المركزي,portal2.csc.gov.kw,official_government_job_portal,strong (explicit 'Central Recruitment' / job-seeker-registration system for Kuwaiti nationals),manual_review_only,manual_review_only,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
الهيئة العامة للقوى العاملة - أسهل,e-portal.manpower.gov.kw;labour.manpower.gov.kw;e-forms.manpower.gov.kw,official_government_employment_body,strong (multiple confirmed official e-service sub-portals for employer/labour services),partial_duplicate (manpower.gov.kw itself already logged in the prior pass; these are newly-identified specific sub-portals of the same body),partial_duplicate (manpower.gov.kw itself already logged in the prior pass; these are newly-identified specific sub-portals of the same body),Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
وزارة الصحة - نظام التوظيف الطبي,eservices.moh.gov.kw,official_government_job_portal,strong (dedicated hiring-application system for medical/allied-health/technical positions),manual_review_only,manual_review_only,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
Qureos,qureos.com,ai_recruitment_platform,moderate (positioned as a leading Kuwait recruitment platform per its own marketing; also independently observed as the ATS used by Snoonu Kuwait and Trolley Kuwait in this pass's research),discovery_only,discovery_only,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
وكالات توظيف (متعددة) - Kershaw Leonard / Kuwait Business Partners / Mena Business Services / شركة الحافظ / MCN / Talentscript,unknown (not individually verified this pass),recruitment_staffing_agency,unconfirmed per-agency this pass,insufficient_evidence,insufficient_evidence,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,insufficient_evidence
الحفر (el7far.com),kuwait.el7far.com,job_aggregator,strong (surfaced constantly across nearly every query this pass,not_checked,not_checked,Real Kuwait-relevant source identified via Arabic-language discovery; classification matches its documented evidence and risk profile.,hold_manual_review
