canonical_company_id,source_record_id,display_legal_name,official_domain,company_type,industry,company_size_category,kuwait_city_coverage,work_arrangement,official_careers_ats_url,active_recent_kuwait_hiring_evidence,duplicate_alias_relationship,cross_market_canonical_id_precedent,evidence_urls,evidence_strength,final_status,field_corrections,last_verified_at
cc-halliburton,sr-kw-halliburton,Halliburton,https://www.halliburton.com,multinational_subsidiary,Oilfield Services,unknown,Al Ahmadi,onsite,https://careers.halliburton.com/search-jobs?k=&l=Kuwait,yes -- see evidence_urls in staging file,none_found,n/a,https://careers.halliburton.com/search-jobs?k=&l=Kuwait,high,approve_unchanged,none,2026-09-13
cc-international-turnkey-systems-its,sr-kw-international-turnkey-systems-its,International Turnkey Systems,https://its.ws,private,IT / Banking Software,unknown,Kuwait City,onsite,https://its.ws/careers/,not confirmed (careers channel confirmed; no specific live listing independently verified),none_found,n/a,https://its.ws/careers/,medium,approve_unchanged,none,2026-09-13
cc-foodics,sr-kw-foodics,Foodics,https://www.foodics.com,multinational_subsidiary,Retail Tech / SaaS,unknown,unknown,onsite,https://www.foodics.com/careers,not confirmed (careers channel confirmed; no specific live listing independently verified),none_found,intentional cross-market ID reuse (disclosed),https://www.foodics.com/careers,high,approve_unchanged,none,2026-09-13
cc-american-international-university-kuwait,sr-kw-american-international-university-kuwait,American International University | Kuwait,https://www.aiu.edu.kw,university,Education,unknown,unknown,onsite,https://www.aiu.edu.kw/careers/jobs,not confirmed (careers channel confirmed; no specific live listing independently verified),none_found,n/a,https://www.aiu.edu.kw/,medium,approve_unchanged,"PRIOR-PASS CORRECTION (already applied, verified consistent in current data): official_careers_url pointed to the root domain instead of the specific confirmed careers path (aiu.edu.kw/careers/jobs, referenced in the original researcher_notes as ""Jobs at AIU""). Corrected to the more precise URL.",2026-09-13
cc-apparel-group,sr-kw-apparel-group,Apparel Group,https://www.apparelgroup.com,multinational_subsidiary,Retail / Fashion,unknown,unknown,onsite,https://www.apparelgroup.com/en/careers/,not confirmed (careers channel confirmed; no specific live listing independently verified),none_found,intentional cross-market ID reuse (disclosed),https://www.apparelgroup.com/en/careers/,high,approve_unchanged,none,2026-09-13
cc-iron-mountain,sr-kw-iron-mountain,Iron Mountain,https://www.ironmountain.com,multinational_subsidiary,Records & Information Management,unknown,Kuwait City,onsite,https://ironmountain.jobs/jobs/,not confirmed (careers channel confirmed; no specific live listing independently verified),none_found,n/a,https://www.ironmountain.com/en-kw,high,approve_unchanged,none,2026-09-13
cc-courtyard-by-marriott-kuwait-property,sr-kw-courtyard-by-marriott-kuwait-property,Courtyard by Marriott (Kuwait property),https://careers.marriott.com,multinational_subsidiary,Hospitality,unknown,Kuwait City,onsite,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,yes -- see evidence_urls in staging file,none_found,n/a,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,high,approve_unchanged,none,2026-09-13
cc-egis,sr-kw-egis,Egis,https://www.egis-group.com,private,Engineering / Consulting,unknown,Kuwait City,onsite,https://jobs.egis-group.com/egis-middle-east,not confirmed (careers channel confirmed; no specific live listing independently verified),none_found,n/a,https://www.egis-group.com/locations/middle-east/kuwait,high,approve_unchanged,none,2026-09-13
cc-hrinvest,sr-kw-hrinvest,HRInvest,https://www.hrinvest.com,private,HR Consulting / Staffing,unknown,Kuwait City,onsite,https://www.hrinvest.com/recruiting/explore-job-opportunities/,not confirmed (careers channel confirmed; no specific live listing independently verified),none_found,n/a,https://www.hrinvest.com/recruiting/,high,approve_unchanged,none,2026-09-13
cc-united-real-estate-company-urc,sr-kw-united-real-estate-company-urc,United Real Estate Company (URC),https://www.urc.com.kw,private,Real Estate,unknown,Kuwait City,onsite,https://www.urc.com.kw/careers.aspx,yes -- see evidence_urls in staging file,none_found,n/a,https://www.urc.com.kw/careers.aspx,high,approve_unchanged,none,2026-09-13
