source_id,market,source_category,source_name,url,access_method,access_status,primary_or_secondary,sectors_covered,geographic_scope,estimated_company_volume,pagination_or_listing_notes,apify_actor_candidate,evidence_url,date_checked,notes
src-lb-bayt,Lebanon,job_board,Bayt.com Lebanon,https://www.bayt.com/en/lebanon/,direct_web_fetch,accessible,primary,cross_sector_all_industries,Country-wide,very_high_thousands_of_live_listings,"Paginated search-results pages, filterable by category/location/company/date-posted","apify.com/blackfalcondata/bayt-scraper (also shahidirfan, easyapi, parsebird variants exist) - native 'country' input param supports Lebanon directly, pay-per-event ~$0.001/result",https://www.bayt.com/en/lebanon/jobs/,2026-09-04,"Strongest single Lebanon source found this pass: large volume, native pagination, and a maintained, Lebanon-aware Apify actor already exists."
src-lb-hirelebanese,Lebanon,job_board,HireLebanese.com,https://hirelebanese.com/,direct_web_fetch,accessible,primary,cross_sector_with_per_category_job_counts_shown,Country-wide,medium_dozens_of_companies_visible_per_page,Confirmed paginated at searchresults.aspx?top=0&order=date; filterable by keyword/category/location/company; 'View All' link found,"none_dedicated_found_this_pass; fallback = apify.com/apify/website-content-crawler (generic, handles pagination automatically)",https://hirelebanese.com/,2026-09-04,Used directly this pass as a pilot-sampling source (2 company names carried into pilot-company-candidates.csv). No Lebanon-specific or HireLebanese-specific Apify actor exists; would need the generic crawler.
src-lb-akhtaboot,Lebanon,job_board,Akhtaboot Lebanon,https://www.akhtaboot.com/en/lebanon/jobs/beirut,direct_web_fetch,accessible_not_deeply_sampled_this_pass,primary,cross_sector_regional_MENA_board,Beirut_url_confirmed_country_level_likely_available,unknown_not_directly_sampled_this_pass,URL pattern (/en/lebanon/jobs/beirut) implies city-level filtering; not fetched for listing detail this pass,none_found_this_pass - WebSearch for a dedicated Akhtaboot actor returned only unrelated 'Apify Store meta-scraper' tools; fallback = apify/website-content-crawler,https://www.akhtaboot.com/en/lebanon/jobs/beirut,2026-09-04,"Confirmed as a real, active Lebanon job board via search results only; not yet directly WebFetched for structure/volume - flagged for a future pass."
src-lb-jobslb,Lebanon,job_board,Jobs.com.lb,https://www.jobs.com.lb/,direct_web_fetch,accessible_thin_content,secondary,unknown_homepage_only_landing_page,Country-wide,low_no_live_listings_visible_on_homepage,Homepage is a JobSeeker/Employer signup landing page; no listing or pagination URL pattern was reached this pass,not_evaluated_low_priority_pending_deeper_crawl,https://www.jobs.com.lb/,2026-09-04,"Low value this pass - could not confirm real listing volume from the homepage alone; would need a deeper, targeted crawl before ranking it as primary."
src-lb-bdd-members,Lebanon,ecosystem_company_directory,Beirut Digital District - Members Directory,https://beirutdigitaldistrict.com/members/,direct_web_fetch,accessible,primary,tech_startups_media_ngo_consulting_finance_mixed,Beirut_based_registered_companies,estimated_80_to_100_member_organizations_single_page,"No pagination or total count shown - appears to be one scrollable list, not a paginated database",none_found_this_pass; fallback = apify/website-content-crawler,https://beirutdigitaldistrict.com/members/,2026-09-04,"High signal-to-noise curated company list (not job postings). Used directly this pass for pilot sampling; only 2 of the sampled names (Proximie, SE Factory) already existed in the master registry, confirming this is a genuinely different discovery channel from Rounds 1-3."
src-lb-ccib,Lebanon,chamber_of_commerce_directory,"CCIB Membership Directory (Chamber of Commerce, Industry & Agriculture of Beirut & Mount Lebanon)",https://www.ccib.org.lb/en/membership-directory,direct_web_fetch,blocked_http_429_rate_limited_this_pass,primary_by_volume_claim,cross_sector_SME_heavy,Country-wide,very_high_chamber_publicly_claims_15000_plus_member_firms,Not confirmed this pass (429 on the one fetch attempt) - chamber's own public materials describe it as a searchable business directory,not_evaluated_pending_access,https://www.ccib.org.lb/en/membership-directory,2026-09-04,"Potentially the single highest-volume Lebanon company-discovery source identified this pass (chamber claims >15,000 member firms), but access was rate-limited on the only attempt made - needs a retry in a future pass before being relied on."
src-lb-daleel-madani,Lebanon,ngo_civil_society_directory,Daleel Madani,https://www.daleel-madani.org/,direct_web_fetch,blocked_http_403,secondary,ngo_nonprofit_civil_society,Country-wide,unknown_blocked,Could not access this pass (403) - listing/pagination structure not confirmed,not_evaluated_pending_access,https://www.daleel-madani.org/,2026-09-04,Likely relevant for NGO-sector coverage (a thin area in the existing registry) but blocked by anti-bot protection on this pass; needs a manual browser check.
src-lb-amaken,Lebanon,unclear_directory_or_jobboard,Amaken (amakenlb.com),https://amakenlb.com/,direct_web_fetch,blocked_http_403,unclear_unconfirmed,unknown,unknown,unknown_blocked,Could not access this pass (403) - even the site's basic category (job board vs. classifieds vs. directory) could not be confirmed,not_evaluated_pending_access,https://amakenlb.com/,2026-09-04,Appeared in a published 'job hunting websites in Lebanon' roundup article but its actual nature is unconfirmed by this pass - needs a manual browser check before further use.
src-lb-idal,Lebanon,government_investment_directory,IDAL (Investment Development Authority of Lebanon),https://investinlebanon.gov.lb/,not_fetched_this_pass,unknown_not_directly_tested,secondary,industry_agriculture_tourism_IT_telecom_media_per_IDAL_stated_priority_sectors,Country-wide,unknown_not_tested,"IDAL's own site reportedly exposes a /search/form path per search-engine indexing, but it was not directly fetched this pass",not_evaluated,https://investinlebanon.gov.lb/en/search/form,2026-09-04,"Identified via WebSearch only, not yet directly fetched or confirmed as a usable company-list source - flagged as a candidate for a future pass, not used as evidence in this pass's pilot sample."
src-lb-linkedin-excluded,Lebanon,professional_network_excluded_by_policy,LinkedIn,https://www.linkedin.com,excluded_by_policy,not_applicable,excluded,not_applicable,not_applicable,not_applicable,not_applicable,none_and_none_will_be_evaluated,not_applicable,2026-09-04,"Explicitly excluded per AGENTS.md Section 7 ('Never scrape LinkedIn') and the existing registry's conservative LinkedIn-usage convention. Recorded here only to document that it was deliberately considered and excluded, not overlooked."
