canonical_company_id,company_name,raw_input_name,city,ats_provider,review_status,source_confidence,audit_final_decision,final_disposition
cc-qiddiya,Qiddiya,Qiddiya,Riyadh,unknown,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-assystem-sa,Assystem,Assystem,multi_city,SmartRecruiters,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-saudi-azm,Saudi AZM,Saudi AZM,Riyadh,Recruitee,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-rime,RIME,RIME,Riyadh (remote-first),unknown,needs_manual_review,medium,approve_unchanged,promoted_to_saudi_arabia_csv
cc-accenture-sa,Accenture,Accenture Middle East,Riyadh; Jeddah,unknown,needs_manual_review,high,correct_then_approve,promoted_to_saudi_arabia_csv
cc-igate-sa,iGate,iGate,Riyadh,unknown,needs_manual_review,medium,hold_manual_review,held_see_manual_review_queue_SA_HOLD
cc-innovationteam,InnovationTeam,InnovationTeam,Riyadh,unknown,needs_manual_review,high,hold_manual_review,held_see_manual_review_queue_SA_HOLD
cc-datarobot,DataRobot,DataRobot,Remote (Saudi-eligible),Workday,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-cohere,Cohere,Cohere,Riyadh,unknown,needs_manual_review,high,hold_manual_review,held_see_manual_review_queue_SA_HOLD
cc-infosys,Infosys,Infosys,Riyadh,unknown,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-tawantech,TAWANTECH,TAWANTECH,Saudi Arabia,Workable,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-infinite-pl,Infinite pl,Infinite PL,Riyadh,Lever,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-alpaca-ksa,Alpaca,Alpaca,Riyadh (Saudi/GCC-focused),Greenhouse,needs_manual_review,high,correct_then_approve,promoted_to_saudi_arabia_csv
cc-innovaccer,Innovaccer,Innovaccer,Saudi Arabia,unknown,needs_manual_review,high,hold_manual_review,held_see_manual_review_queue_SA_HOLD
cc-elevenlabs,ElevenLabs,ElevenLabs,Saudi Arabia,unknown,needs_manual_review,high,approve_unchanged,promoted_to_saudi_arabia_csv
cc-naphora,Naphora Games Group,NAPHORA Games Group,Riyadh,unknown,needs_manual_review,medium,hold_manual_review,held_see_manual_review_queue_SA_HOLD
