supplied_name,normalized_name,candidate_type,existing_or_new,matched_canonical_company_id,matched_source_record_id,target_market,official_website_url,official_careers_url,ats_provider,public_jobs_endpoint_or_feed,official_linkedin_company_url,linkedin_jobs_url,Lebanon_remote_eligibility,evidence_urls,decision,decision_reason
AltCom,AltCom (Alt Commerce S.A.L.),employer_company,new,cc-altcom,sr-lb-altcom,Lebanon,https://www.thealtcom.com,https://www.thealtcom.com/careers,none,none (email application),not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",https://www.thealtcom.com; https://www.thealtcom.com/careers,new_verified_record_added,Official site directly confirmed with a genuine dedicated careers page; disambiguated from unrelated same-named entities.
ASaaS,ASaaS Tech,professional_services_firm,new,cc-asaas-tech,sr-lb-asaas-tech,Lebanon,https://asaastech.com,none found,none,none (recruitment email: careers@asaastech.com),not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",https://asaastech.com,new_verified_record_added,"Official site confirmed with a published recruitment email on its own domain; disambiguated from an unrelated Omani ""ASAAS"" and a Brazilian ""Asaas"" fintech."
Allied Engineering Group (AEG),Allied Engineering Group (AEG),employer_company,new,cc-allied-engineering-group,sr-lb-allied-engineering-group,Lebanon,https://aeg-mea.com,none found,unknown,none found,not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",https://aeg-mea.com,new_needs_manual_review_record_added,"Real, active Lebanon banking-IT firm confirmed directly, but no distinct careers destination found. Confirmed NOT the same company as Dar Al-Handasah or Khatib & Alami despite the similar-sounding name."
Gozilla Delivery,Gozilla,employer_company,new,cc-gozilla,sr-lb-gozilla,Lebanon,https://mygozilla.com,none found,unknown,none found,not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",https://mygozilla.com; https://mygozilla.com/about; https://mygozilla.com/careers,new_needs_manual_review_record_added,"Real, active Lebanese delivery app confirmed directly, but the site is a minimal app-landing page with no distinct careers destination found."
Htech,Htech (Htechco),unclear (startup hub vs. direct employer),new,cc-htech,sr-lb-htech,Lebanon,https://htechco.com,none found,unknown,none found,not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",(no direct fetch succeeded; corroborated only via a search-indexed snippet of htechco.com's own About page),new_needs_manual_review_record_added,"Plausible official domain located but could not be directly rendered (JS SPA, 403/empty body every attempt) — cannot be called verified per the strict own-fetch standard."
Novium Collective,Novium Collective,employer_company,new,cc-novium-collective,sr-lb-novium-collective,Lebanon,noviumcollective.com (could not be loaded),none found,unknown,none found,not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",https://5index.com/index.php?fg=Az!23ZSPMH671aspoikd&p=9&id=1015472 (Lebanese business directory),new_needs_manual_review_record_added,"Independently confirmed as a real registered company (Sarl) via a Lebanese business directory, but the company's own website returned repeated HTTP 500 errors — careers channel could not be verified directly."
Techlarious,TECHlarious Academy,training_or_education_provider,new,,,none/rejected,https://www.techlarious.academy,none found,not_applicable,not_applicable,not_verified,not_verified,not_applicable,"https://www.techlarious.academy (title only, JS-rendered)",rejected_irrelevant,"This is a course/training-delivery business (bootcamp/academy), not an employer whose job openings belong in this registry — matches the explicit course/certificate exclusion rule."
TEDMOB,TEDMOB,employer_company,new,cc-tedmob,sr-lb-tedmob,Lebanon,https://tedmob.com,https://tedmob.com/contact,unknown,none found,not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",(no direct WebFetch succeeded — every attempt returned HTTP 403; evidence is a search-indexed excerpt of tedmob.com/contact naming careers@tedmob.com),new_needs_manual_review_record_added,"Coordinator downgraded from the researching agent's initial ""verified"" call: recruitment email was only corroborated via a search-indexed excerpt, never a direct fetch (every attempt 403'd) — recommend a manual browser check."
toters delivery,Toters,employer_company,new,cc-toters,sr-lb-toters,Lebanon,https://www.totersapp.com,https://www.totersapp.com/careers,BambooHR,"https://toters.bamboohr.com/jobs/ (human-browsable, no public API)",not_verified,not_verified,"not_applicable (Lebanon-based, on-site)",https://www.totersapp.com/careers; https://toters.bamboohr.com/jobs/view.php?id=85; https://toters.bamboohr.com/jobs/view.php?id=128,new_verified_record_added,"Official domain, official careers page, and a live ATS with real, currently-open postings all independently confirmed by direct fetch."
Two Of Us L.L.C,Two Of Us LLC,unclear,new,,,none/rejected,https://twoofus.io/ (content unrenderable),none found,none,none,not_verified,not_verified,unknown,https://twoofus.io/; https://twoofus.io/about; https://twoofus.io/careers,rejected_unverifiable,"Domain exists but is JS-rendered and returned no usable content across three attempts; no independent confirmation of what the company does or that it operates in Lebanon. Multiple unrelated same-named entities exist, creating real misattribution risk."
