canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-zain,sr-kw-zain,Zain Kuwait,Mobile Telecommunications Company K.S.C.P.,public_listed,Telecommunications,large_enterprise,Kuwait,Kuwait,KW,Country-wide,country_specific,https://www.zain.com,https://careers.zain.com/,active_with_open_jobs,Cazar,unknown,unknown,manual_review_then_public_html,false,low,unknown,https://www.linkedin.com/company/zain,https://www.linkedin.com/company/zain/jobs,verified_official,discovery_and_verification_only,https://careers.zain.com/;https://www.linkedin.com/company/zain/jobs;https://en.wikipedia.org/wiki/Zain_Group,high,suitable_public_html_subject_to_review,verified,"Careers portal fetched directly; at verification time it listed Zain Iraq/Sudan roles only, no Kuwait-specific openings visible. Recheck periodically.",Group-wide portal branded 'Cazar' recruitment platform (not a recognized major ATS); no robots/API discovered.,2026-09-03,"Re-verified 2026-09-03 via direct WebFetch of careers.zain.com: official Zain-branded page, ATS confirmed as Cazar (footer credit; /vacancy/[ID] URL pattern), 10 live vacancies shown with Sept-2026 closing dates. Kuwait is a filterable operation but no Kuwait-tagged listing was visible in this snapshot. No internship/graduate program content found on this page (early_career downgraded from medium to low); not ruled out elsewhere on the site, so internship field kept unknown rather than 'no'."
cc-national-bank-of-kuwait,sr-kw-national-bank-of-kuwait,National Bank of Kuwait (NBK),National Bank of Kuwait S.A.K.P.,public_listed,Banking,large_enterprise,Kuwait,Kuwait,KW,Kuwait City,country_specific,https://www.nbk.com,https://careers.nbk.com/,careers_page_found,Oracle Applications (iRecruitment/Oracle HCM),unknown,unknown,manual_only,unknown,high,yes_current,https://www.linkedin.com/company/nbkgroup,https://www.linkedin.com/company/nbkgroup/jobs,verified_official,discovery_and_verification_only,https://www.nbk.com/careers.html;https://careers.nbk.com/;https://www.linkedin.com/company/nbkgroup/jobs,medium,unknown,verified,"Exact official nbk.com careers/ATS URL not directly located in this pass; only aggregator listings (GulfTalent, Indeed, ZipRecruiter) surfaced. Needs a direct fetch of nbk.com to find the real careers path.",Largest bank in Kuwait; oldest indigenous shareholding company in the Gulf. High priority for a follow-up direct-site pass.,2026-09-03,"Re-verified 2026-09-03: nbk.com/careers.html (official) links to careers.nbk.com, confirmed as an Oracle Applications/iRecruitment portal (URL pattern /oracle/apps/irc/, OA_HTML/OA_MEDIA paths, Oracle copyright). nbk.com/careers.html page itself directly describes multiple named, currently-operating programs: NBK Academy (since 2009, 260+ graduates), NBK Tech Academy (since 2023), NBK HighFliers, HIPO Mentoring. Live job listing not itemized on the pages fetched (login/registration gate), so careers_page_status kept at careers_page_found rather than active_with_open_jobs."
cc-kuwait-finance-house,sr-kw-kuwait-finance-house,Kuwait Finance House (KFH),Kuwait Finance House K.S.C.P.,public_listed,Islamic Banking,large_enterprise,Kuwait,Kuwait,KW,Kuwait City,country_specific,https://www.kfh.com,https://www.kfh.com/en/home/Personal/Tools-services/Career/Professional-Development.html,careers_page_found,Oracle Cloud (Oracle HCM),unknown,unknown,manual_review_then_public_html,unknown,high,yes_current,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.kfh.com/en/home/Personal/Tools-services/Career/Professional-Development.html;https://www.kfh.com/en/home/Personal/Tools-services/Career/Available-vacancies.html;https://en.wikipedia.org/wiki/Kuwait_Finance_House,medium,unknown,verified,Page found describes a Credit Academy and Talent Development Programme including internships/part-time/summer programs for students; live open-role listing page and ATS were not directly located.,"First Islamic bank in Kuwait; regional subsidiaries (Bahrain, UK, Turkey, Malaysia) have separate career pages and are out of scope here.",2026-09-03,"Re-verified 2026-09-03: KFH's own Available-vacancies page routes applicants to fa-esqe-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/ confirming Oracle Cloud (Oracle HCM) as the ATS. Professional-Development page explicitly references part-time positions, internships, and summer programs for students (Credit Academy). No specific job titles visible on the pages fetched."
cc-agility,sr-kw-agility,Agility (Public Warehousing Company),Agility Public Warehousing Company K.S.C.P.,public_listed,Logistics,large_enterprise,Kuwait,Kuwait,KW,"Kuwait City, Sulaibiya, Al-Dajeej",country_specific,https://www.agility.com,https://apply.workable.com/agility/?lng=en,active_with_open_jobs,Workable,agility,https://apply.workable.com/agility/?lng=en,suitable_public_ats,true,medium,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://apply.workable.com/agility/?lng=en;https://www.gulftalent.com/companies/agility-logistics-ksa-careers;https://en.wikipedia.org/wiki/Agility_Global,medium,suitable_public_ats,needs_manual_review,"Workable board confirmed with ~25 open roles at search time, including Kuwait locations (Sulaibiya, Al-Dajeej); direct WebFetch of the board did not return job-level detail in this pass, so board contents should be re-confirmed before ingestion.","Public global logistics group headquartered in Kuwait; Workable board appears to be the group-wide board (multi-country), so Kuwait-specific postings must be filtered by location field.",2026-09-03,Re-attempted 2026-09-03: apply.workable.com/agility/?lng=en returned only page metadata (title/description/og:image) with no rendered job list in the fetched HTML -- likely a JS-rendered Workable board that this tool's HTML-to-markdown conversion can't execute. Workable as ATS remains plausible (URL structure) but unconfirmed by content this pass; needs a JS-capable browser check to move to verified.
cc-alshaya-group,sr-kw-alshaya-group,Alshaya Group,M.H. Alshaya Co. W.L.L.,private,Retail,large_enterprise,Kuwait,Kuwait,KW,Country-wide,country_specific,https://www.alshaya.com,https://www.alshaya.com/kw/en/careers/,careers_page_found,unknown,unknown,unknown,manual_review_then_public_html,unknown,high,yes_historical,https://www.linkedin.com/company/alshayagroup,https://www.linkedin.com/company/alshayagroup/jobs/,verified_official,discovery_and_verification_only,https://www.alshaya.com/kw/en/careers/;https://www.linkedin.com/company/alshayagroup/jobs/;https://en.wikipedia.org/wiki/Alshaya_Group,medium,unknown,verified,Kuwait-specific careers landing page located on official domain; explicit statement of national-talent hiring commitment found. Live job list and ATS platform not directly confirmed in this pass.,"Family-owned multinational retail franchisee (Starbucks, H&M, Boots, KidZania etc.) headquartered in Kuwait; large volume of retail/entry-level roles expected.",2026-09-03,"Verified using round-1 evidence: direct WebFetch of the official alshaya.com/kw/en/careers/ domain in the prior pass confirmed a genuine Kuwait-specific careers landing page with an explicit national-talent hiring commitment statement (primary-source, not aggregator/LinkedIn). Re-fetch attempted 2026-09-03 but blocked with HTTP 403 (likely bot protection, not evidence the page doesn't exist). ATS platform and a live job list remain unconfirmed — automation_eligibility left as suitable_public_html_subject_to_review pending a successful re-fetch or manual browser check."
cc-kuwait-petroleum-corporation,sr-kw-kuwait-petroleum-corporation,Kuwait Petroleum Corporation (KPC),Kuwait Petroleum Corporation,government_owned,Energy/Oil & Gas,large_enterprise,Kuwait,Kuwait,KW,Kuwait City,country_specific,https://www.kpc.com.kw,https://recruitment.kpc.com.kw/recruitment2/Default.aspx,active_no_open_jobs,unknown,unknown,unknown,manual_only,unknown,high,yes_current,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.kpc.com.kw/KPCCareers;https://recruitment.kpc.com.kw/recruitment2/Default.aspx;https://en.wikipedia.org/wiki/Kuwait_Petroleum_Corporation,medium,unknown,verified,"Dedicated recruitment portal exists with a documented two-year fresh-graduate onboarding program; recruitment is campaign-based (announced periodically), so 'current open jobs' status changes and needs periodic recheck.",State oil holding company; national-talent (Kuwaiti-national) hiring priority is explicit. Recruitment email listed publicly (Recruitment@kpc.com.kw) — do not use for automated mass contact.,2026-09-03,"Re-verified 2026-09-03: recruitment.kpc.com.kw is a live, functioning KPC recruitment portal (login/password-recovery present) but explicitly states 'No active campaigns for KPC' at fetch time -- confirmed real official source with currently zero open postings, not a broken/fake page. cc-kuwait-oil-company's own notes point to this KPC group level for its fresh-graduate program, corroborating an active group-wide program."
cc-gulf-bank,sr-kw-gulf-bank,Gulf Bank,Gulf Bank K.S.C.P.,public_listed,Banking,large_enterprise,Kuwait,Kuwait,KW,Kuwait City,country_specific,https://www.e-gulfbank.com,https://www.e-gulfbank.com/en/about-us/careers/,careers_page_found,Oracle Cloud (fa-ewqb-saasfaprod1.fa.ocs.oraclecloud.com),unknown,unknown,manual_review_then_public_html,unknown,high,yes_current,https://www.linkedin.com/company/gulf-bank,https://www.linkedin.com/company/gulf-bank/jobs/,verified_official,discovery_and_verification_only,https://www.e-gulfbank.com/en/about-us/careers/;https://www.linkedin.com/company/gulf-bank/jobs/;https://en.wikipedia.org/wiki/Gulf_Bank_of_Kuwait,medium,unknown,verified,Official careers page describes a 9-month Graduate Development Program run with the Institute of Banking Studies (Kuwaiti nationals). Live jobs board/ATS not directly confirmed in this pass.,56-branch retail/corporate/investment bank established 1960.,2026-09-03,"Re-verified 2026-09-03: e-gulfbank.com/en/about-us/careers/ 'Apply Now' routes to an Oracle Cloud recruiting instance (fa-ewqb-saasfaprod1.fa.ocs.oraclecloud.com), confirming ATS. Page explicitly names a 9-month 'Graduate Development Program' delivered with the Institute of Banking Studies (IBS)."
cc-boubyan-bank,sr-kw-boubyan-bank,Boubyan Bank,Boubyan Bank K.S.C.P.,public_listed,Islamic Banking,mid_size,Kuwait,Kuwait,KW,Kuwait City,country_specific,https://boubyan.bankboubyan.com,https://www.bankboubyan.com/en/careers,careers_page_found,Taleo,unknown,unknown,manual_review_then_public_html,unknown,high,yes_current,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.bankboubyan.com/en/careers;https://en.wikipedia.org/wiki/Boubyan_Bank,medium,unknown,verified,Official page explicitly references opportunities for graduates and part-timers to gain experience before graduation. Live listings/ATS not directly confirmed.,"Islamic bank founded 2004; 2,333 employees per Wikipedia.",2026-09-03,"Re-verified 2026-09-03: boubyan.bankboubyan.com/.../careers/ 301-redirects to www.bankboubyan.com/en/careers (canonical URL updated). Application links reference lde.tbe.taleo.net confirming Taleo ATS. Page explicitly names a Graduate Program and a Summer Internship Program with a dedicated contact (BoubyanBusinessSchool@bankboubyan.com), plus part-time roles and a 'Boubyan Business School' training arm."
cc-ooredoo,sr-kw-ooredoo,Ooredoo Kuwait,Ooredoo Kuwait (formerly Wataniya Telecom) K.S.C.P.,public_listed,Telecommunications,large_enterprise,Qatar,Kuwait,KW,Country-wide,country_specific,https://www.ooredoo.com.kw,https://www.ooredoo.com.kw/portal/en/career_internship,careers_page_found,SniperHire,unknown,unknown,manual_review_then_public_html,unknown,high,yes_current,https://www.linkedin.com/company/ooredoo-in-kuwait,https://www.linkedin.com/company/ooredoo-in-kuwait/jobs/,verified_official,discovery_and_verification_only,https://www.ooredoo.com.kw/portal/en/career_internship;https://www.linkedin.com/company/ooredoo-in-kuwait/jobs/,medium,unknown,verified,URL slug 'career_internship' strongly suggests an internship program exists; job-agent email-alert mechanism described. Live listings/ATS not directly confirmed in this pass.,"Kuwait subsidiary of Qatar-headquartered Ooredoo Group; keep this Kuwait-specific source separate from any Qatar Ooredoo record in the Qatar file (same canonical company family, different market presence).",2026-09-03,"Re-verified 2026-09-03: ooredoo.com.kw/portal/en/career_internship routes applicants to careers.sniperhire.net/ooredoo, confirming SniperHire as the ATS. Page confirms open positions exist (routed through the portal, not itemized on this landing page) and includes dedicated internship navigation/imagery, though detailed eligibility/duration were not shown."
cc-jazeera-airways,sr-kw-jazeera-airways,Jazeera Airways,Jazeera Airways K.S.C.P.,public_listed,Aviation,mid_size,Kuwait,Kuwait,KW,Kuwait City (Kuwait International Airport),country_specific,https://www.jazeeraairways.com,not_verified,not_verified,unknown,unknown,unknown,manual_only,unknown,medium,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://stg-cms-u.jazeeraairways.com/en-kz/careers;https://www.jazeeraairways.com,low,unknown,needs_manual_review,"Only a staging-domain careers URL (stg-cms-u.jazeeraairways.com) surfaced in search, which is not a reliable production evidence source; a 'Graduate Development Program' is referenced by third-party aggregator sites, not confirmed on an official page in this pass.","Low-cost carrier headquartered in Kuwait; most 'careers' content found in search results came from unofficial aggregator sites (247jobingulf, thegulfcareerz, gulfjobnest) which are excluded per source rules — none used as evidence.",2026-09-03,"Re-attempted 2026-09-03: both the previously-found staging URL and two production-domain guesses (jazeeraairways.com/en-kw/careers, and the bare domain) returned HTTP 403 or no accessible careers content. A 'Graduate Development Program' is referenced only by third-party aggregators, not on an official page in either research pass -- internship field kept unknown, not treated as confirmed."
cc-kuwait-airways,sr-kw-kuwait-airways,Kuwait Airways,Kuwait Airways Corporation,government_owned,Aviation,large_enterprise,Kuwait,Kuwait,KW,Kuwait City,country_specific,https://www.kuwaitairways.com,not_verified,unavailable,unknown,unknown,unknown,manual_only,unknown,low,unknown,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.kuwaitairways.com,low,unknown,no_official_source_found,"No official careers URL located across two passes despite multiple attempts (round 1: only unofficial aggregators describing cabin-crew/ground-staff hiring, explicitly excluded as evidence; 2026-09-03: kuwaitairways.com/en/careers returned HTTP 404).",National flag carrier; state-owned.,2026-09-03,"No official careers URL located across two passes despite multiple attempts (round 1: only unofficial aggregators describing cabin-crew/ground-staff hiring, explicitly excluded as evidence; 2026-09-03: kuwaitairways.com/en/careers returned HTTP 404)."
