canonical_company_id,company_name,identity_notes,saudi_presence_evidence_category,careers_job_status,remote_eligibility_classification_or_na,url_check_notes,final_decision,correction_before_after_if_any,hold_or_reject_reason_if_any,evidence_urls
cc-qiddiya,Qiddiya,"PIF giga-project, identity not in doubt",official_saudi_legal_entity,active_with_confirmed_saudi_jobs,na,"careers.qiddiya.com/careers/ returned HTTP 403 this pass (blocked, not contradicted)",approve_unchanged,none,na,https://qiddiya.com/careers/
cc-assystem-sa,Assystem,"Global engineering firm, Radicon KSA acquisition confirmed",current_official_job_in_saudi,active_with_confirmed_saudi_jobs,na,"SmartRecruiters URL loaded fully, 200 OK, live listings across Al Khobar/Khafji/Riyadh/Rumah re-confirmed directly",approve_unchanged,none,na,https://careers.smartrecruiters.com/ASSYSTEM?search=SAUDI
cc-saudi-azm,Saudi AZM,"Distinct from PIF's unrelated azm workforce program -- re-confirmed no conflation, address is Riyadh",official_saudi_office_address,official_careers_channel_confirmed,na,azmtalent.recruitee.com loaded 200 OK; address confirmed but zero specific job titles visible this pass,approve_unchanged,none,na,https://azmtalent.recruitee.com/
cc-rime,RIME,"VC-backed Saudi AI startup, registered address Diriyah",official_saudi_legal_entity,active_with_confirmed_saudi_jobs,Saudi-listed-as-allowed-location,"rime.sa/en/jobs loaded 200 OK, 3 roles confirmed directly",approve_unchanged,none,na,https://rime.sa/en/jobs
cc-accenture-sa,Accenture,"Global firm, KSA presence undisputed",official_saudi_office_address,official_careers_channel_confirmed,na,/sa-en/careers is a hub page with NO visible listings itself -- real jobs live on a separate Workday sub-portal not the URL currently stored,correct_then_approve,"careers_page_status: before=implied active_with_open_jobs, after=careers_page_found (hub only); researcher_notes: add that live listings require navigating to the Workday sub-portal, not visible on the stored URL itself",na,https://www.accenture.com/sa-en/careers
cc-igate-sa,iGate,"SERIOUS IDENTITY RISK: possible confusion with the globally-known IGATE Corporation (US IT firm absorbed into Capgemini in 2015, unrelated to any small Saudi entity)",unresolved,not_verified,na,Both igate.sa and www.igate.sa fail DNS resolution (ENOTFOUND/ETIMEOUT),hold_manual_review,na,"Domain does not resolve on two independent attempts. Evidence checked: original careers URL. Missing: any resolving domain for a real distinct Saudi entity. Action: human search for correct live domain, or reclassify insufficient_evidence.",https://igate.sa/company/careers/ (does not resolve)
cc-innovationteam,InnovationTeam,"Real company, but Saudi-specificity is weak",official_page_identifying_saudi_operations,not_verified,na,careers page loaded; mentions Kingdom of Saudi Arabia/Vision 2030 generically but NOT Riyadh; Current Opportunities section lists zero actual job postings,hold_manual_review,na,Prior claim of a live AI Team Lead Riyadh posting could not be reconfirmed. Evidence checked: direct fetch of careers page. Missing: specific current job or city-level confirmation. Action: re-check or downgrade to insufficient_evidence.,https://www.innovationteam.com/careers
cc-datarobot,DataRobot,Global AI/SaaS vendor,remote_job_explicitly_open_to_saudi,active_with_confirmed_saudi_jobs,Saudi-specifically-eligible (exact Remote Saudi Arabia tag on 2 roles),"datarobot.com/careers/open-positions/ loaded 200 OK, exact location strings reconfirmed",approve_unchanged,none,na,https://www.datarobot.com/careers/open-positions/
cc-cohere,Cohere,Global AI lab -- CONTRADICTION FOUND,unresolved,not_verified,na,"cohere.com/careers loaded and lists ONLY Toronto/NY/London/SF/Montreal/Paris/Seoul -- Saudi Arabia absent. External Ashby board returned only a page title, no listings retrievable",hold_manual_review,na,"Prior claim of a live Country Manager - Saudi Arabia role directly contradicted by official office list excluding Saudi Arabia. Evidence checked: cohere.com/careers (contradicts), Ashby board (inconclusive). Missing: first-party confirmation. Action: human should check Ashby board directly in a browser (JS-rendered) before promoting or rejecting.",https://cohere.com/careers;https://jobs.ashbyhq.com/cohere
cc-infosys,Infosys,Global IT services major,current_official_job_in_saudi,active_with_confirmed_saudi_jobs,na,"digitalcareers.infosys.com location-filtered URL loaded 200 OK, 2 matching jobs (Riyadh, Al Khobar) reconfirmed directly",approve_unchanged,none,na,https://digitalcareers.infosys.com/infosys/global-careers?location=Saudi+Arabia
