query_id,region_label,region_query_string,category,search_term,max_results_per_search_term,actor_run_group,rationale
q01,Dubai,"Dubai, United Arab Emirates","Civil, electrical, and mechanical engineering",engineering consultancy,30,run-dubai-g1,"Dubai — Engineering & Design group; targets the Civil, electrical, and mechanical engineering gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q02,Dubai,"Dubai, United Arab Emirates",Architecture,architecture firm,30,run-dubai-g1,Dubai — Engineering & Design group; targets the Architecture gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q03,Dubai,"Dubai, United Arab Emirates",Interior design,interior design company,30,run-dubai-g1,Dubai — Engineering & Design group; targets the Interior design gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q04,Dubai,"Dubai, United Arab Emirates",Graphic design and UI/UX,graphic design agency,30,run-dubai-g2,Dubai — Creative & Professional Services group; targets the Graphic design and UI/UX gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q05,Dubai,"Dubai, United Arab Emirates","Marketing, communications, and media",marketing agency,30,run-dubai-g2,"Dubai — Creative & Professional Services group; targets the Marketing, communications, and media gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q06,Dubai,"Dubai, United Arab Emirates",HR and recruitment,HR recruitment agency,30,run-dubai-g2,Dubai — Creative & Professional Services group; targets the HR and recruitment gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q07,Dubai,"Dubai, United Arab Emirates",Accounting and audit,accounting firm,30,run-dubai-g3,Dubai — Finance & Built Environment group; targets the Accounting and audit gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q08,Dubai,"Dubai, United Arab Emirates",Construction and real estate,construction company,30,run-dubai-g3,Dubai — Finance & Built Environment group; targets the Construction and real estate gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q09,Dubai,"Dubai, United Arab Emirates",Logistics and supply chain,logistics company,30,run-dubai-g3,Dubai — Finance & Built Environment group; targets the Logistics and supply chain gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot).
q10,Dubai,"Dubai, United Arab Emirates",Retail and e-commerce,retail company,30,run-dubai-g4,"Dubai — Retail, Hospitality & Healthcare group; targets the Retail and e-commerce gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q11,Dubai,"Dubai, United Arab Emirates",Hospitality and tourism,hotel group,30,run-dubai-g4,"Dubai — Retail, Hospitality & Healthcare group; targets the Hospitality and tourism gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
q12,Dubai,"Dubai, United Arab Emirates",Hospitals and healthcare,hospital,30,run-dubai-g4,"Dubai — Retail, Hospitality & Healthcare group; targets the Hospitals and healthcare gap identified in the existing uae.csv baseline (thin or zero coverage of this sector before this pilot)."
