boursa_name,normalized_name,ticker,sector,boursa_reference,official_domain,careers_ats_url,kuwait_presence,current_job_evidence,existing_canonical_id,dedup_result,employer_outcome,evidence_quality,notes
Kuwait Finance House K.S.C.P.,Kuwait Finance House .,KFH,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-kuwait-finance-house (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
National Bank of Kuwait S.A.K.P.,National Bank of Kuwait S.A.K.P.,NBK,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-national-bank-of-kuwait (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Boubyan Bank K.S.C.P.,Boubyan Bank .,BOUBYAN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-boubyan-bank (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Mobile Telecommunications Company K.S.C.P.,Mobile Telecommunications Company .,ZAIN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-zain (kuwait.csv) -- 'Mobile Telecommunications Company K.S.C.P.' is Zain's formal legal/listing name,already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Mabanee Company K.P.S.C.,Mabanee Company .,MABANEE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-mabanee (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Gulf Bank K.S.C.P.,Gulf Bank .,GBK,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-gulf-bank (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Warba Bank K.S.C.P.,Warba Bank .,WARBABANK,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-warba-bank (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Commercial Bank of Kuwait K.P.S.C.,Commercial Bank of Kuwait .,CBK,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,"cc-commercial-bank-of-kuwait-al-tijari (staged this pilot, supplied lead #109)",already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
National Mobile Telecommunications Company K.S.C.P.,National Mobile Telecommunications Company .,OOREDOO,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-ooredoo (kuwait.csv) -- 'National Mobile Telecommunications Company K.S.C.P.' is Ooredoo Kuwait's formal legal/listing name,already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
Burgan Bank K.P.S.C.,Burgan Bank .,BURG,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange (third-party enumeration; boursakuwait.com.kw itself is domain-wide blocked -- see notes),n/a (see existing row),n/a (see existing row),confirmed (existing verified row),n/a,cc-burgan-bank (kuwait.csv),already_present_or_staged,already_present,high (exact legal-name match to an existing verified row),"Confirmed duplicate of an existing kuwait.csv / master-company-registry.csv / kuwait-promotion-staging.csv row via known legal/listing name -- not the naive fuzzy-string match (which produced several false positives across markets, e.g. matching Kuwait's CBK to Qatar's bank; those were rejected and this entity re-verified by hand)."
