internal_row_id,canonical_name,relevance_status,relevance_reason,google_category,mapped_industry_guess,mapped_company_type_guess,regions,categories,address,city,country_code,phone,google_maps_url,google_place_ids,google_rating,google_reviews_count,google_supplied_website,official_website_url,website_verification_status,website_evidence_url,website_notes,verification_date,careers_source_type,careers_page_url,ats_provider_detected,careers_evidence_url,careers_notes,linkedin_company_url,linkedin_status,linkedin_evidence_url,linkedin_identity_confidence,linkedin_notes,current_open_jobs_detected,source_confidence,automation_eligibility,review_status,enrichment_batch_status,researcher_notes
pilot-0001,Index of Solutions,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"VFHR+WQM Cornish el, Beirut, Lebanon",Beirut,LB,+961 3 865 174,https://www.google.com/maps/search/?api=1&query=Index%20of%20Solutions&query_place_id=ChIJnw339PEXHxURt9iObDUOGgs,ChIJnw339PEXHxURt9iObDUOGgs,5,48,https://www.indexofsolutions.com/,https://www.indexofsolutions.com/,verified_official,https://www.indexofsolutions.com/,"Site confirms company name 'Index of Solutions', address 'Cornish al mazraa, Facing Liban Post, Sabbah Center, Block B, 2nd floor, Beirut' and phone +961 3 865 174, matching the Maps listing exactly.",2026-09-05,unavailable_not_found,,none,https://www.indexofsolutions.com/,No Careers/Jobs/Join Us link present in nav or footer.,,no_company_page_found,,low,"WebSearch for 'Index of Solutions Beirut Lebanon linkedin.com/company' returned only unrelated Beirut businesses (Beirut.com, IIS E-Solutions, Economic Development Solutions, etc.); no matching company page found.",unknown,medium,manual_only,needs_manual_review,web_verification_complete,"Site confirms company name 'Index of Solutions', address 'Cornish al mazraa, Facing Liban Post, Sabbah Center, Block B, 2nd floor, Beirut' and phone +961 3 865 174, matching the Maps listing exactly. | No Careers/Jobs/Join Us link present in nav or footer. | WebSearch for 'Index of Solutions Beirut Lebanon linkedin.com/company' returned only unrelated Beirut businesses (Beirut.com, IIS E-Solutions, Economic Development Solutions, etc.); no matching company page found."
pilot-0002,CODERS - ERP systems and solutions - Microsoft Dynamics 365 Lebanon - Microsoft Gold Partner,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"Sa'eb Salam Avenue Owaini Building, 4th Floor, Beirut, Lebanon",Beirut,LB,+961 1 303 189,https://www.google.com/maps/search/?api=1&query=CODERS%20-%20ERP%20systems%20and%20solutions%20-%20Microsoft%20Dynamics%20365%20Lebanon%20-%20Microsoft%20Gold%20Partner&query_place_id=ChIJ9T1e0UIXHxUR-yWOUnJwx24,ChIJ9T1e0UIXHxUR-yWOUnJwx24,4.7,3,https://coders.solutions/,https://coders.com.lb/,verified_official,https://coders.com.lb/,"google_website coders.solutions 301-redirects to coders.com.lb. Canonical site confirms 'CODERS Solutions', Microsoft Gold Partner in Lebanon, address 'Sa'eb Salam Av., Owaini Building, 4th Floor, Beirut, Lebanon' and phone +961 (01) 303 189, matching the Maps listing.",2026-09-05,unavailable_not_found,,none,https://coders.com.lb/,"Nav/footer only contain About Us, Microsoft Solutions, Products & Services, Library, Contact Us, and a Lebanon/Ghana region switch - no careers/jobs link.",,no_company_page_found,,low,"WebSearch returned only LinkedIn Pulse articles mentioning or authored in connection with CODERS, not a linkedin.com/company page; none identified within budget.",unknown,medium,manual_only,needs_manual_review,web_verification_complete,"google_website coders.solutions 301-redirects to coders.com.lb. Canonical site confirms 'CODERS Solutions', Microsoft Gold Partner in Lebanon, address 'Sa'eb Salam Av., Owaini Building, 4th Floor, Beirut, Lebanon' and phone +961 (01) 303 189, matching the Maps listing. | Nav/footer only contain About Us, Microsoft Solutions, Products & Services, Library, Contact Us, and a Lebanon/Ghana region switch - no careers/jobs link. | WebSearch returned only LinkedIn Pulse articles mentioning or authored in connection with CODERS, not a linkedin.com/company page; none identified within budget."
pilot-0003,Optimal Solutions,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"Columbia Center Block A 11th floor Cornish, Mazraa, Beirut, Lebanon",Beirut,LB,+961 3 755 614,https://www.google.com/maps/search/?api=1&query=Optimal%20Solutions&query_place_id=ChIJTxYPqwsXHxURDNGsuvjfzQE,ChIJTxYPqwsXHxURDNGsuvjfzQE,4.9,14,https://optimalsolutionscorp.com/,https://www.optimalsolutions.io/,verified_official,http://www.optimalsolutions.io/,"google_website optimalsolutionscorp.com 301-redirects to optimalsolutions.io. That homepage shows a UK contact number by default (multi-region company) rather than the Lebanon number, but an independent WebSearch snippet corroborated the Beirut Digital District office (5th Floor, Berytech, Beirut Digital District) and phone +961 3 755 614 matching the Maps listing exactly, so this is treated as verified.",2026-09-05,public_company_careers_page,https://optimalsolutions.io/careers,none,http://www.optimalsolutions.io/,Careers link present in nav pointing to the company's own domain (optimalsolutions.io/careers); not a recognizable third-party ATS.,,ambiguous_multiple_matches,,low,"WebSearch surfaced 'Optimal Solutions Inc.' and 'Optimal Solutions Group' LinkedIn pages, but neither was confirmed as this Beirut entity; no Lebanon-specific company page identified within budget.",unknown,medium,suitable_public_html_subject_to_review,verified,web_verification_complete,"google_website optimalsolutionscorp.com 301-redirects to optimalsolutions.io. That homepage shows a UK contact number by default (multi-region company) rather than the Lebanon number, but an independent WebSearch snippet corroborated the Beirut Digital District office (5th Floor, Berytech, Beirut Digital District) and phone +961 3 755 614 matching the Maps listing exactly, so this is treated as verified. | Careers link present in nav pointing to the company's own domain (optimalsolutions.io/careers); not a recognizable third-party ATS. | WebSearch surfaced 'Optimal Solutions Inc.' and 'Optimal Solutions Group' LinkedIn pages, but neither was confirmed as this Beirut entity; no Lebanon-specific company page identified within budget."
pilot-0004,Scope for IT services,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"Corniche al Mazraa, Facing LibanPost, Al-Sabbah Center, 2nd Floor, Beirut, Lebanon",Beirut,LB,+961 1 303 575,https://www.google.com/maps/search/?api=1&query=Scope%20for%20IT%20services&query_place_id=ChIJs2oogDkXHxURd9TI0inpkHo,ChIJs2oogDkXHxURd9TI0inpkHo,5,16,http://www.scopeexperts.com/,http://www.scopeexperts.com/,likely_official_needs_review,http://www.scopeexperts.com/,"Homepage confirms the company name 'Scope for IT services' but shows only an email contact (info@scopeexperts.com), no address/phone. Independent WebSearch (ZoomInfo/RocketReach snippets) corroborates the Beirut address 'Corniche al Mazraa, Facing LibanPost, Al-Sabbah Center' and phone +961 1303575 matching the Maps listing.",2026-09-05,unavailable_not_found,,none,http://www.scopeexperts.com/,"Footer only lists Home, Services, Portfolio, Shop, About Us, Menu Cart - no careers/jobs link.",https://www.linkedin.com/company/scope-for-it-services,verified_official_company_page,https://www.linkedin.com/company/scope-for-it-services,high,WebSearch directly returned 'Scope for IT Services | LinkedIn' matching the canonical company name exactly; page itself was not fetched per policy.,unknown,low,manual_only,needs_manual_review,web_verification_complete,"Homepage confirms the company name 'Scope for IT services' but shows only an email contact (info@scopeexperts.com), no address/phone. Independent WebSearch (ZoomInfo/RocketReach snippets) corroborates the Beirut address 'Corniche al Mazraa, Facing LibanPost, Al-Sabbah Center' and phone +961 1303575 matching the Maps listing. | Footer only lists Home, Services, Portfolio, Shop, About Us, Menu Cart - no careers/jobs link. | WebSearch directly returned 'Scope for IT Services | LinkedIn' matching the canonical company name exactly; page itself was not fetched per policy."
pilot-0005,TechnoWare,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"VFJQ+FX2, Beirut, Lebanon",Beirut,LB,+961 3 493 249,https://www.google.com/maps/search/?api=1&query=TechnoWare&query_place_id=ChIJl6NTcgAXHxURtLeAuYhb-Rg,ChIJl6NTcgAXHxURtLeAuYhb-Rg,5,1,,,no_official_website_found,,"Tried technoware.com.lb (DNS did not resolve) and technowarelb.com (DNS did not resolve). ""TechnoWare"" is also a common generic tech-company name globally, making further guessing unreliable. No WebSearch used (quota exhausted).",2026-09-05,unavailable_not_found,,none,,"No verified official website found, so careers/ATS could not be checked.",,no_company_page_found,,,"Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches).",unknown,low,manual_only,no_official_source_found,web_verification_complete,"Tried technoware.com.lb (DNS did not resolve) and technowarelb.com (DNS did not resolve). ""TechnoWare"" is also a common generic tech-company name globally, making further guessing unreliable. No WebSearch used (quota exhausted). | No verified official website found, so careers/ATS could not be checked. | Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches)."
pilot-0006,EDM - Beirut,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"Unesco, Saeb Salam Av., Saiidi Bldg., 1st & 2nd floors, Beirut, Lebanon",Beirut,LB,+961 78 929 664,https://www.google.com/maps/search/?api=1&query=EDM%20-%20Beirut&query_place_id=ChIJ9QBYfToXHxURjZiHWuNBhcM,ChIJ9QBYfToXHxURjZiHWuNBhcM|ChIJJ_Kl1FwXHxUR7GRTbDRT3mA,4.2,32,https://edm-tech.com/,https://edm-tech.com/,verified_official,https://edm-tech.com/,"Site confirms 'EDM (Engineering Design & Manufacturing s.a.l.)', described as a Lebanese company with head office at 'Unesco, Saeb Salam Av., Beirut', matching city/category. Phone not shown on the fetched homepage but address matches Maps data.",2026-09-05,unavailable_not_found,,none,https://edm-tech.com/,"No careers/jobs/join-us link found in nav or footer (sections were company info, solutions, contact only).",https://www.linkedin.com/company/engineering-design-&-manufacturing/,verified_official_company_page,https://www.linkedin.com/company/engineering-design-&-manufacturing/,medium,"WebSearch returned 'EDM - Software Solutions | LinkedIn' at this URL, matching the full legal name (Engineering Design & Manufacturing) confirmed on the company website; the '&' in the URL is as returned by search and may be an encoding artifact of the actual LinkedIn slug (page itself not fetched per policy).",unknown,medium,manual_only,needs_manual_review,web_verification_complete,"Site confirms 'EDM (Engineering Design & Manufacturing s.a.l.)', described as a Lebanese company with head office at 'Unesco, Saeb Salam Av., Beirut', matching city/category. Phone not shown on the fetched homepage but address matches Maps data. | No careers/jobs/join-us link found in nav or footer (sections were company info, solutions, contact only). | WebSearch returned 'EDM - Software Solutions | LinkedIn' at this URL, matching the full legal name (Engineering Design & Manufacturing) confirmed on the company website; the '&' in the URL is as returned by search and may be an encoding artifact of the actual LinkedIn slug (page itself not fetched per policy)."
pilot-0007,"Anzimaty, Digital Solutions Enabled",eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"Saeb Salam Av, Riviera Building, 3rd Floor, Beirut, Lebanon",Beirut,LB,+961 3 074 628,https://www.google.com/maps/search/?api=1&query=Anzimaty%2C%20Digital%20Solutions%20Enabled&query_place_id=ChIJTY1igTwXHxURfM5Bv4D4JIY,ChIJTY1igTwXHxURfM5Bv4D4JIY,4.3,6,,,no_official_website_found,,Tried anzimaty.com (DNS did not resolve) and anzimaty.io (DNS did not resolve). No WebSearch used (quota exhausted).,2026-09-05,unavailable_not_found,,none,,"No verified official website found, so careers/ATS could not be checked.",,no_company_page_found,,,"Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches).",unknown,low,manual_only,no_official_source_found,web_verification_complete,"Tried anzimaty.com (DNS did not resolve) and anzimaty.io (DNS did not resolve). No WebSearch used (quota exhausted). | No verified official website found, so careers/ATS could not be checked. | Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches)."
pilot-0008,Consolidated Contractors Company,duplicate_existing_registry_company,"Matches existing registry entry via normalized name: Consolidated Contractors Company (cc-ccc, source: master-company-registry.csv/lebanon.csv)",Software company,information_technology,private_company,Beirut,Software and IT services,"VFGR+RF4, Khalil Motrane, Beirut, Lebanon",Beirut,LB,+961 1 819 500,https://www.google.com/maps/search/?api=1&query=Consolidated%20Contractors%20Company&query_place_id=ChIJ1UqlRDgXHxURBSxchnokCLI,ChIJ1UqlRDgXHxURBSxchnokCLI,4.7,20,http://www.cctintl.com/,,not_applicable,,,,not_applicable,,not_applicable,,,,not_applicable,,,,unknown,not_applicable,not_applicable,no_official_source_found,classification_complete_no_web_research_needed,
pilot-0009,Edgineers,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"Mar Elias, Al-Hassan Center, Beirut Block B, 7th Floor, Beirut, Lebanon",Beirut,LB,+961 1 790 054,https://www.google.com/maps/search/?api=1&query=Edgineers&query_place_id=ChIJYXBKjykXHxURNMXrmTsn4sg,ChIJYXBKjykXHxURNMXrmTsn4sg,5,2,,,no_official_website_found,,"Tried edgineers.com (connection reset, not retried per protocol) and edgineers.io (DNS did not resolve). No WebSearch used (quota exhausted).",2026-09-05,unavailable_not_found,,none,,"No verified official website found, so careers/ATS could not be checked.",,no_company_page_found,,,"Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches).",unknown,low,manual_only,no_official_source_found,web_verification_complete,"Tried edgineers.com (connection reset, not retried per protocol) and edgineers.io (DNS did not resolve). No WebSearch used (quota exhausted). | No verified official website found, so careers/ATS could not be checked. | Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches)."
pilot-0010,HISSABAT/ IT Solutions,eligible_employer,"Google category ""Software company"" matches a legitimate employer sector; no duplicate, closure, or individual-practitioner signal found.",Software company,information_technology,private_company,Beirut,Software and IT services,"Cornish Al, Beirut, Lebanon",Beirut,LB,+961 70 199 446,https://www.google.com/maps/search/?api=1&query=HISSABAT%2F%20IT%20Solutions&query_place_id=ChIJm32YM2MXHxUR1_CyPJ_vcOQ,ChIJm32YM2MXHxUR1_CyPJ_vcOQ,4,1,,,inaccessible,https://hissabat.com,"hissabat.com resolves but its SSL certificate has expired, so content could not be safely retrieved or verified (not retried per protocol). Second guess hissabat.net did not resolve. Domain existing under this exact distinctive name is suggestive but unconfirmed; flagging for manual review rather than a website match since content was never actually viewed. No WebSearch used (quota exhausted).",2026-09-05,unavailable_not_found,,none,,"Site content could not be accessed (expired certificate), so careers/ATS could not be checked.",,no_company_page_found,,,"Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches).",unknown,low,manual_only,needs_manual_review,web_verification_complete,"hissabat.com resolves but its SSL certificate has expired, so content could not be safely retrieved or verified (not retried per protocol). Second guess hissabat.net did not resolve. Domain existing under this exact distinctive name is suggestive but unconfirmed; flagging for manual review rather than a website match since content was never actually viewed. No WebSearch used (quota exhausted). | Site content could not be accessed (expired certificate), so careers/ATS could not be checked. | Not searched: WebSearch quota exhausted (environment-wide, confirmed in prior batches)."
