raw_input_name,corrected_name,official_domain,company_type_guess,industry_guess,target_city_guess,outcome,canonical_id_if_matched_or_proposed,careers_or_ats_url_or_email,evidence_urls,notes
Scale AI,Scale AI,scale.com,multinational_subsidiary,AI/Data Labeling,unknown,insufficient_evidence,n/a (cc-scale-ai-qatar exists for Qatar only),unknown,unknown,"Already verified for Qatar; no Saudi-specific office/listing found this pass -- new market evidence needed, not a duplicate."
SoftServe,SoftServe,softserveinc.com,multinational_subsidiary,IT Consulting,unknown,insufficient_evidence,n/a,unknown,https://career.softserveinc.com/en-us/vacancies,Official careers portal explicitly lists offices in Ukraine/Poland/Bulgaria/etc. -- Saudi Arabia not among them; no KSA presence found.
Wonderful,unresolved (The Wonderful Company US has no confirmed KSA presence),unknown,unknown,unknown,unknown,insufficient_evidence,n/a,unknown,unknown,"No distinct Saudi ""Wonderful"" startup/employer could be confidently identified."
THE-TEAM,"unresolved (multiple distinct candidates: Team360, Team Saudi, Ever Team Arabia)",unknown,unknown,unknown,unknown,insufficient_evidence,n/a,unknown,unknown,Could not confidently match to one specific real entity.
Systems Arabia,unresolved,unknown,unknown,unknown,unknown,insufficient_evidence,n/a,unknown,https://www.linkedin.com/company/systems-arabia,"LinkedIn page exists but no distinguishable official domain from similarly-named ICT firms (Arabic Computer Systems, ChipWorks Arabia)."
Why Hiring,unresolved/no matching entity found,unknown,unknown,unknown,unknown,rejected,n/a,unknown,unknown,"No company or platform named ""Why Hiring"" could be identified; search returned only generic Saudi-recruitment guidance content."
Star,unresolved (too generic),unknown,unknown,unknown,unknown,insufficient_evidence,n/a,unknown,unknown,"No specific identifiable company confirmed; only an unrelated ""Star Technologies"" LinkedIn stub found."
SoftwareOne,SoftwareOne,softwareone.com,multinational_subsidiary,IT/Software Licensing,unknown,insufficient_evidence,n/a,https://www.softwareone.com/en/careers,https://www.softwareone.com/en/careers,Global careers portal confirmed but no Saudi-specific office/listing found this pass.
Master Works,unresolved -- no confirmable real entity identified,unknown,unknown,unknown,unknown,insufficient_evidence,n/a,unknown,unknown,"Session WebSearch budget was exhausted (200/200) by the time this lead was reached (it was inadvertently skipped by the batch2 research pass); a follow-up WebFetch against Bing returned only unrelated Dutch ""Master's degree"" education results, and a direct Bayt.com search-results fetch returned HTTP 403. No confident real-company match found under this exact name -- flagged as a genuine evidence gap for a future pass with search budget available, not guessed."
The Flex,The Flex,domain not confirmed this pass,startup,PropTech / short-term rental,Riyadh,insufficient_evidence,--,--,https://wuzzuf.net/jobs/careers/the-flex-saudi-arabia-130762,"Real Riyadh-based rental platform but no open jobs found and no official domain independently confirmed this pass; note the Qatar-market pass on this same registry separately treated ""The Flex"" as insufficient evidence too -- consistent precedent."
GESMA,GESMA,not identified,unknown,unknown,unknown,insufficient_evidence,--,--,--,No confident real-entity match found; likely OCR/name garble -- do not guess.
IBES Technologies,"not confidently identified (possibly conflated with ""IBTech"" / Intelligent Business Technologies, a different name)",--,unknown,unknown,unknown,insufficient_evidence,--,--,https://www.ibtech.sa/,"No entity trading precisely as ""IBES Technologies"" was found; closest match (""IBTech"") has a materially different name -- not treated as a confirmed alias."
Nua-Fit,"Ambiguous -- possibly ""NUA Pilates & Fitness"" (nuafit.sa, Jeddah) or the unrelated ""NuYu Fitness"" chain",nuafit.sa (one candidate; unconfirmed which is meant),unknown,Fitness,Jeddah (if NUA) or Riyadh (if NuYu),insufficient_evidence,--,--,https://www.nuafit.sa/,Two plausible but distinct real entities found; original lead too ambiguous to pick one without guessing.
iSoftStone,iSoftStone,isoftstoneinc.com,multinational_subsidiary,IT services,not confirmed,insufficient_evidence,--,--,https://www.isoftstoneinc.com/careers/,"Real global (China-founded) IT services company with an official careers portal, but no Saudi Arabia-specific presence/job evidence found this pass."
UFC Gym KSA,UFC Gym,ufcgym.com,multinational_subsidiary,Fitness/Gym franchise,not confirmed (only UAE locations confirmed),insufficient_evidence,--,--,https://www.ufcgym.com/careers,"Real global gym franchise brand with confirmed UAE (Dubai/Abu Dhabi) presence, but no Saudi Arabia location or job evidence found this pass -- do not assume KSA presence from the brand name alone."
