internal_row_id,canonical_name,official_website_url,careers_source_type,careers_page_url,ats_provider_detected,careers_evidence_url,careers_notes
uae-pilot-0306,Modern Home Engineering consultant,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,not_applicable,,not_applicable,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,"Google Maps supplied only an Instagram profile link, not an official website - insufficient for verification per this project rules (a social profile alone is not an official site)."
uae-pilot-0129,Capital Engineering Consultancy LLC,http://www.capitalengg.com/,dedicated_careers_page,http://www.capitalengg.com/careers,unknown_not_itemized,http://www.capitalengg.com/careers,"Multi-disciplinary engineering consultancy, est. 2006, ISO/ICV certified, MENA Winner Award 2024, operations in 7 countries. HQ address shown is Sharjah (Abu Shagara) even though discovered via an Abu Dhabi Google Maps search - flagged in researcher_notes, kept as Abu Dhabi market presence per the Google Maps evidence rather than guessed away."
uae-pilot-0079,AMA Global Audit Tax Advisory,https://www.amaaudit.com/,dedicated_careers_page,https://amaaudit.com/careers/,unknown_not_itemized,https://amaaudit.com/careers/,"Audit/tax/advisory firm est. 1999, PrimeGlobal network member, offices in Abu Dhabi, Dubai, India, Singapore, USA."
uae-pilot-0123,Brands For Less - Burjuman,http://www.brandsforless.com/,not_confirmed_this_pass,,unknown,http://www.brandsforless.com/,"brandsforless.com returned HTTP 403 this pass (likely bot-protection). Brands For Less is a well-known large regional discount-retail chain - high-value target for a future pass via a different method. This specific Google Maps hit was one mall branch (Burjuman); a future pass should verify the group entity, not the branch."
uae-pilot-0191,Emirates Logistics Head Office,https://emirateslogistics.com/,not_confirmed_this_pass,,unknown,https://emirateslogistics.com/,emirateslogistics.com returned empty content on two independent fetch attempts (likely a JS-rendered page) - needs a manual browser check.
uae-pilot-0163,Design Infinity,http://www.design-infinity.com/,dedicated_careers_page,https://design-infinity.com/careers/,unknown_not_itemized,https://design-infinity.com/careers/,"Interior design/fit-out firm, founded 2012, 1500+ staff claimed, offices in BOTH Dubai and Abu Dhabi (DIP HQ + Abu Dhabi office) - dual-city coverage confirmed directly."
uae-pilot-0397,Slate Stone Interiors,http://slateinteriorsme.com/,not_applicable,,not_applicable,http://slateinteriorsme.com/,"slateinteriorsme.com 301-redirects to an entirely unrelated personal site (jonkinnally.com) - this business no longer controls its former domain, or the domain was reused. No official source available."
uae-pilot-0270,Killa Design,https://www.killadesign.com/,dedicated_careers_page,https://www.killadesign.com/careers/,unknown_not_itemized,https://www.killadesign.com/careers/,"Award-winning Dubai architecture firm (Museum of the Future, Jumeirah Marsa Al Arab). Dedicated careers page confirmed in main nav."
uae-pilot-0299,Medeor 24x7 Hospital,https://medeor.ae/abu-dhabi/,dedicated_careers_page,https://medeor.ae/careers/,unknown_not_itemized,https://medeor.ae/careers/,"JCI-accredited multi-specialty hospital, Abu Dhabi location confirmed directly."
uae-pilot-0327,NMC Specialty Hospital Abu Dhabi,https://nmc.ae/en/locations/abu-dhabi/nmc-specialty-hospital-abu-dhabi,confirmed_ats,https://eiby.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,Oracle Cloud HCM,https://eiby.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,"NMC Specialty Hospital Abu Dhabi, part of NMC Healthcare (major UAE hospital group). Two distinct Oracle Cloud portals confirmed: a main careers site and a separate UAE-Nationals-specific site."
uae-pilot-0236,Healthpoint,http://www.healthpoint.ae/,dedicated_careers_page,https://healthpoint.ae/careers/,unknown_not_itemized,https://healthpoint.ae/careers/,"Multispecialty hospital, part of the M42 group (major Abu Dhabi health-tech conglomerate), MOHAP-licensed."
uae-pilot-0232,Harley Street Medical Centre,https://www.hsmc.ae/?utm_source=directtraffic&utm_medium=googlereviews,dedicated_careers_page,https://www.hsmc.ae/careers/,unknown_not_itemized,https://www.hsmc.ae/careers/,"JCI-certified medical centre, MOH-licensed, Marina Village Abu Dhabi."
uae-pilot-0221,Global Care Hospital,https://gch.ae/,dedicated_careers_page,https://gch.ae/careers/,unknown_not_itemized,https://gch.ae/careers/,"Licensed hospital in Al Manhal area, Abu Dhabi."
uae-pilot-0389,Seha Emirates Hospital,http://www.sehaemirates.com/,not_confirmed_this_pass,,unknown,http://www.sehaemirates.com/,TLS certificate expired on sehaemirates.com at fetch time - could not verify careers content this pass. Note: distinct domain from the government SEHA network (seha.ae).
uae-pilot-0388,SEHA - Corniche Hospital,https://corniche.seha.ae/,not_confirmed_this_pass,,unknown,https://corniche.seha.ae/,"corniche.seha.ae and the parent seha.ae (Abu Dhabi Health Services Company, the government hospital network) both returned HTTP 403 this pass. High-value target for a future pass - SEHA operates numerous major Abu Dhabi public hospitals."
uae-pilot-0413,Sundus Recruitment and Outsourcing Services,https://www.sundusglobal.com/,dedicated_careers_page,https://www.sundusglobal.com/sundus-job-search,custom_portal_ruyacareers,https://www.sundusglobal.com/sundus-job-search,"HR recruitment/outsourcing agency, 27 years established, 10,000+ outsourced staff, 500+ clients. Directly closes the HR/recruitment sector gap flagged in the UAE baseline. Secondary portal ruyacareers.ae also referenced."
