query_family,language,planned_queries_from_task_brief,execution_status,notes
Hotel-group ATS resolution (Marriott/Hilton/Hyatt/IHG/Radisson/Millennium/Four Seasons),English,site-specific ATS Kuwait searches; Kuwait hotel careers,executed,"~20 queries across pass 2+3. Result count reviewed: ~150 organic results. Useful candidates: 9 confirmed properties (Marriott x4, Millennium x2, Hyatt x2, Four Seasons, Radisson, Hilton brand). Duplicates: heavy overlap across Indeed/Glassdoor/Bayt aggregators for the same properties. Irrelevant: US-domestic Hilton/Marriott results. Saturation: reached -- later queries returned the same 9-10 properties repeatedly."
"Global-major employer Kuwait-presence confirmation (Siemens, SLB, Nestle, L&T, Fluor, Leidos, etc.)",English,Kuwait engineering jobs; Kuwait technology jobs; companies hiring in Kuwait,executed,"~35 queries across the 54 original holds. Result count reviewed: ~300 organic results. Useful candidates: 23 upgraded to approve_unchanged, 31 retained/strengthened at hold. Duplicates: extensive aggregator overlap (Bayt/GulfTalent/Indeed repeating the same postings). Irrelevant: many results for companies' operations in other Gulf countries, not Kuwait. Saturation: reached for this batch -- the same ~50 named companies surfaced repeatedly."
42-insufficient-evidence identity resolution (local/ambiguous Kuwaiti entities),English + Arabic variants,official website + company name; Kuwait company directory,executed,"42 candidate-specific queries (pass 2) + 5 spelling-variant re-checks (pass 3, incl. Arabic 'اي دي تي', 'مركز الكويت الرقمي', 'توربو باي الكويت'). Useful candidates: 33 identities resolved/strengthened, 9 remain genuinely unresolved after real search (documented per-candidate in recovery-manifest.csv). Saturation: reached -- fresh variant spelling and Arabic queries for EDT, Turbo Pay, Kuwait Digital Hub consistently returned unrelated global companies with no Kuwait connection, not more candidates."
Government / regulator / sovereign-entity employers,English,Kuwait government jobs; Kuwait Investment Authority KIA careers; Central Bank of Kuwait licensed banks list careers,executed,"4 queries, pass 3. Result count reviewed: ~35 organic results. Useful candidates: Central Bank of Kuwait (new), Kuwait University (new), Public Authority for Manpower (new, prior pass), Kuwait Civil Service Commission (new, prior pass). Duplicates: KIA turned out to already be in the kuwait.csv baseline (cc-kuwait-investment-authority) -- caught and corrected. Saturation: not fully reached -- Boursa Kuwait's listed-companies directory (a high-value systematic source of further verified entities) was identified but not walked this pass."
Healthcare / education / automotive / real-estate sectors,English,Kuwait hospital careers; Kuwait university careers; Kuwait engineering jobs (facility mgmt); Kuwait automotive dealership careers,executed,"4 queries, pass 3. Result count reviewed: ~40 organic results. Useful candidates: Kuwait University, Behbehani Motors, Ali Alghanim & Sons Automotive, KEO International Consultants, Warba Insurance & Reinsurance (new); Dar Al Shifa Hospital surfaced but was already in the kuwait.csv baseline -- correctly not re-added. Saturation: not reached -- hospitals/schools/hotels sectors were sampled, not systematically walked (e.g. no dedicated query per named hospital chain, private-school group, or additional hotel brand beyond those already covered)."
NGOs / international organizations,Arabic,جمعيات خيرية منظمات دولية وظائف الكويت,executed,"1 query, pass 3. Result count reviewed: ~10 organic results. Useful candidates: Kuwait Charitable Union (new, logged discovery_only). Kuwait Red Crescent Society and Kuwait Fund for Arab Economic Development surfaced but the former is already in the kuwait.csv baseline (cc-kuwait-red-crescent-society) -- not re-added. Saturation: not reached -- this sector received only 1 query; a dedicated pass covering individual international NGO Kuwait offices (UN agencies, ICRC, etc.) was not attempted."
Remote-first international employers explicitly open to Kuwait,English,remote jobs open to Kuwait residents; Kuwait remote jobs,executed,"1 query, pass 3 (plus 2 queries in pass 2 for The Flex / Libertex / Fiorito specifically). Result count reviewed: ~10 organic results. Useful candidates: GitLab/Automattic/Toptal/Deel named as generically distributed companies (logged discovery_only, NOT approved -- Kuwait-specific eligibility not first-party confirmed for any of them, per the strict geo-eligibility rule). Saturation: not reached -- this remains the weakest-covered category; a dedicated per-company eligibility check (GitLab's public remote policy, Deel's supported-countries list, etc.) was not performed."
Arabic general employment / job-board queries,Arabic,وظائف الكويت; فرص عمل في الكويت; شركات توظف في الكويت; دليل الشركات الكويتية,executed,"Sampled via the entity-specific Arabic variant queries above (EDT, Kuwait Digital Hub, TurboPay) rather than as standalone broad queries this pass. Broad standalone Arabic queries for general job boards (وظائف الكويت, etc.) were NOT run this pass -- this is a genuine, disclosed gap. The prior pass's Arabic job-board landscape (Tanqeeb, Naukrigulf Arabic, el7far.com) was observed only incidentally as aggregator noise in English-language results, not independently queried in Arabic."
Boursa Kuwait listed-companies directory (systematic walk),English,Boursa Kuwait company directory,not_executed,"The directory URL was found and confirmed real (boursakuwait.com.kw/en/participants/participants/listed-companies/) but NOT systematically walked entry-by-entry this pass -- this is the single highest-value remaining discovery channel, since every listed company is a verified KSE-registered Kuwait entity. Flagged as the top priority for a follow-up pass."
"OCR/name-mixup identity re-checks (SSC/SOS, Aloula/Al Oula, Anton/Anton-OSS)",English,resolve possible OCR errors,executed,"3 targeted queries, pass 3. Useful candidates: all 3 strengthened with corrected/confirmed official domains (SOS HR Solutions -> soshr.net with live vacancies; Al Oula Steel -> corrected domain oulasteel.com; Anton-OSS -> confirmed sustained recruiting activity). None auto-substituted per the no-guessing rule -- all remain flagged for human sign-off. Saturation: reached for these 3 specific cases."
