candidate_id,normalized_name,previous_outcome,previous_blocker,new_searches_performed,direct_urls_checked,new_evidence,revised_outcome,remaining_blocker
56,talabat,hold_manual_review,"Not independently fetched this pass. talabat is publicly well-known to have been founded in Kuwait in 2004 before expanding regionally, and already has Qatar (cc-talabat) and UAE (cc-talabat) rows -- extremely strong prior plausibility of genuine, continuing Kuwait presence, but per the no-fabrication rule this pass did not independently re-confirm a live official careers page/ATS with a direct fetch, so held rather than approved outright.","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"CONFIRMED STRONG via fresh direct fetch: talabat.com/kuwait explicitly lists multiple Kuwait cities served (Ahmadi, Hawally, Al Jahra, Farwaniya, Mubarak Al-kabir, Kuwait City); careers.deliveryhero.com/talabat shows a LIVE Kuwait job (Sr. Specialist Real Estate & Construction, Salmiya, Kuwait). Already has verified Qatar and UAE rows (cc-talabat) -- reusing the same market-neutral canonical_company_id for Kuwait.",approve_unchanged,none -- resolved
24,NADEC Foods,insufficient_evidence,"Fetch failed with a TLS certificate hostname mismatch (technical issue, not identity evidence). NADEC is a real, large Saudi dairy/agriculture company; Kuwait distribution/office presence not confirmed this pass.","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: NADEC (National Agricultural Development Company) is a definitely-real, large Saudi dairy/agriculture company -- the only issue is a TLS certificate hostname mismatch on the fetched URL (a hosting/technical problem, not an identity problem). Needs a corrected URL or browser check.",hold_manual_review,needs a working browser/search-capable tool to complete verification
4,Anton Oilfield Services / Anton-OSS,insufficient_evidence,antonoil.com does not resolve (DNS failure); Wikipedia page URL guess 404'd. Real HK-listed China-based oilfield-services company (public knowledge) but no Kuwait-specific evidence obtained this pass. Relationship to #3 'Anton' not confirmed -- not merged without evidence.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Anton Oilfield Services Group is a real, HK-listed (ticker 3337), China-based oilfield-services company -- the guessed domain (antonoil.com) failed DNS resolution, which is a wrong-domain/technical problem, not evidence the company is fake. Needs the correct official domain.",hold_manual_review,needs a working browser/search-capable tool to complete verification
103,Mashreq,insufficient_evidence,UAE careers URL guess 404'd this pass. Mashreq is a well-known UAE bank with regional Gulf presence; Kuwait-specific office/careers confirmation not obtained.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Mashreqbank is a definitely-real, large UAE bank with known regional Gulf presence -- the specific /en/uae/careers/ URL guess 404'd, a wrong-path problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
107,Nestlé,insufficient_evidence,jobs page returned HTTP 403 this pass. Real global FMCG company with major MENA regional operations; Kuwait-specific office/careers confirmation not obtained.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Nestlé is a definitely-real global FMCG company with major MENA operations -- the jobs page returned HTTP 403 (bot-block), a technical access problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
62,Sephora,insufficient_evidence,Middle East careers page returned HTTP 403 this pass. Real global beauty retailer with Gulf regional stores; Kuwait-specific store/employer confirmation not obtained.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Sephora is a definitely-real global beauty retailer with Gulf stores -- the ME careers page returned HTTP 403 (bot-block), a technical access problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
58,Fortinet,insufficient_evidence,No domain fetch attempted this pass. Real global cybersecurity company with known Gulf regional presence; Kuwait-specific office not confirmed.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Fortinet is a definitely-real, large global cybersecurity company with known Gulf regional presence -- no domain was even attempted this pass (time constraint), so this is an under-researched real entity, not a genuine identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
85,Al-Futtaim,insufficient_evidence,No domain fetch attempted this pass. Major UAE-based conglomerate with known Gulf-wide retail/automotive operations; Kuwait-specific presence not confirmed.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Al-Futtaim is a definitely-real, major UAE conglomerate with known Gulf-wide retail/automotive operations -- under-researched this pass (time constraint), not a genuine identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
45,Agthia,insufficient_evidence,No domain fetch attempted this pass. Real UAE-based F&B/consumer-goods conglomerate; Kuwait presence not confirmed.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Agthia Group is a definitely-real UAE-based F&B/consumer-goods conglomerate -- under-researched this pass (time constraint), not a genuine identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
108,Classera,insufficient_evidence,No domain fetch attempted this pass. Known as a Saudi-founded education-technology company; Kuwait-specific presence not confirmed.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Classera is a definitely-real, well-documented Saudi-founded education-technology company -- under-researched this pass (time constraint), not a genuine identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
64,ABYAT,insufficient_evidence,No domain fetch attempted this pass. Known as a Gulf-region home-improvement/hardware retail chain; Kuwait-specific confirmation not obtained.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: ABYAT is a definitely-real Gulf-region home-improvement/hardware retail chain -- under-researched this pass (time constraint), not a genuine identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
112,Fluor Corporation,insufficient_evidence,"CONFIRMED: careers page lists country-specific sites for Australia, Belgium, Chile, China, Germany, India, 'Middle East' (generic, not country-specific), Netherlands, Poland, Spain, and the UK. Kuwait is not individually named. No Kuwait-specific evidence found on the public careers site this pass.","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Fluor Corporation is definitely real; its careers page WAS directly fetched and lists a generic ""Middle East"" regional site without excluding Kuwait -- an ambiguous/weak signal, not a confirmed negative, so held rather than left as a pure identity gap.",hold_manual_review,needs a working browser/search-capable tool to complete verification
101,Larsen & Toubro,insufficient_evidence,"Careers page confirmed real but does not name any specific countries/regions including Kuwait in the fetched content, despite L&T's known large-scale GCC construction/EPC project history. No Kuwait-specific evidence found on the public careers site this pass.","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED per recovery-pass rule: Larsen & Toubro is definitely real with known large-scale GCC EPC project history; its careers page WAS directly fetched but did not name specific countries either way -- an ambiguous/weak signal, not a confirmed negative.",hold_manual_review,needs a working browser/search-capable tool to complete verification
1,stc Kuwait,insufficient_evidence,stc.com.kw/careers path returned HTTP 403 this pass; stc/VIVA Kuwait is a well-known real telecom operator but no working page was fetched. No WebSear,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: stc/VIVA Kuwait is a definitely-real, major Kuwait telecom operator (correct domain stc.com.kw) -- the /careers path returned HTTP 403, a bot-block technical problem, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
6,Iron Mountain,insufficient_evidence,Two location-page URL guesses both 404'd. Real global records-management company; Kuwait presence not confirmed this pass.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Iron Mountain is a definitely-real global records-management company -- two location-page URL guesses 404'd (wrong paths), not evidence Kuwait presence does not exist.",hold_manual_review,needs a working browser/search-capable tool to complete verification
10,Emerson,insufficient_evidence,Careers page fetch succeeded but showed only generic global content (no location search results retrievable); a follow-up attempt at a different URL 4,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Emerson is a definitely-real global industrial-automation company -- careers page fetch was inconclusive (generic content only), a technical/interaction limitation of static fetching, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
15,Egis,insufficient_evidence,Careers page URL guess 404'd. Real French engineering/consulting group; Kuwait presence not confirmed this pass.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Egis is a definitely-real French engineering/consulting group -- the specific /careers path 404'd, likely a wrong-path problem on an otherwise correct root domain.",hold_manual_review,needs a working browser/search-capable tool to complete verification
16,Apave International,insufficient_evidence,Careers page URL guess 404'd. Real French inspection/testing/certification company; Kuwait presence not confirmed this pass.,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Apave International is a definitely-real French inspection/testing/certification company -- the specific /en/careers path 404'd, likely a wrong-path problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
19,Cisco,insufficient_evidence,"General careers overview page fetched; showed no location-specific job listings (Kuwait or otherwise) without using the internal search/filter tool, w","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Cisco is a definitely-real global technology company -- the generic careers page loaded fine but showed no location-filtered results, a static-fetch interaction limitation, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
25,Microsoft,insufficient_evidence,Careers search URLs redirected repeatedly (jobs.careers.microsoft.com -> apply.careers.microsoft.com) without reaching a page showing Kuwait-specific ,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Microsoft is a definitely-real global technology company -- careers search redirected repeatedly without reaching final content, a technical/redirect-handling limitation, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
35,Siemens,insufficient_evidence,"Parent careers page references an external job portal (jobs.siemens.com) for location-specific search, but that portal itself was not successfully fet","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),RECLASSIFIED: Siemens is a definitely-real global industrial company -- the parent careers page correctly identified an external Kuwait-capable job portal (jobs.siemens.com) that was not independently re-fetched this pass.,hold_manual_review,needs a working browser/search-capable tool to complete verification
46,KBR,insufficient_evidence,careers page returned HTTP 403 this pass. KBR already has a Qatar row (cc-kbr) and was held (not promoted) in the Saudi pass for lacking first-party K,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: KBR is a definitely-real global engineering/government-services contractor (already has a verified Qatar row, cc-kbr) -- careers page returned HTTP 403, a bot-block technical problem, not an identity problem. Same conservative cross-market-id-reuse caution as the Saudi pass applies if evidence is later found.",hold_manual_review,needs a working browser/search-capable tool to complete verification
63,Snoonu,insufficient_evidence,careers page returned HTTP 403 this pass. Snoonu already has a Qatar row (cc-snoonu) and is primarily a Qatar-focused delivery/super-app company; no e,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Snoonu is a definitely-real company (already has a verified Qatar row, cc-snoonu) -- careers page returned HTTP 403, a bot-block technical problem. Kuwait expansion plausibility unconfirmed either way.",hold_manual_review,needs a working browser/search-capable tool to complete verification
86,Bureau Veritas,insufficient_evidence,"bureauveritas.com/careers redirected to group.bureauveritas.com/careers, which was not independently re-fetched this pass. Real global testing/inspect","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Bureau Veritas is a definitely-real global testing/inspection/certification company operating in 140+ countries -- the careers redirect target was not independently re-fetched, a follow-through gap, not an identity problem.",hold_manual_review,needs a working browser/search-capable tool to complete verification
91,Meituan,insufficient_evidence,Not independently fetched this pass. Meituan's international delivery operations are branded 'Keeta' -- see the identity-conflict note under #26 (keet,"WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Meituan is a definitely-real, giant Chinese technology/delivery company -- not independently fetched this pass due to time constraints, not an identity gap. See #26 (Keeta) for the related unresolved brand-identity question.",hold_manual_review,needs a working browser/search-capable tool to complete verification
82,Australian University Kuwait,insufficient_evidence,"Domain guess (aui.edu.kw) failed to resolve (DNS failure). Distinct institution from American International University Kuwait (#67, aiu.edu.kw) -- sim","WebSearch unavailable (200/200 session budget exhausted, confirmed via direct test at start of recovery pass) -- direct WebFetch only",(see notes),"RECLASSIFIED: Australian University Kuwait (AU) is a definitely-real, accredited Kuwait institution -- the guessed domain (aui.edu.kw) failed DNS resolution, a wrong-domain-guess problem, not an identity problem. Distinct from American International University Kuwait (#67, aiu.edu.kw).",hold_manual_review,needs a working browser/search-capable tool to complete verification
