canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-byblos-bank,sr-lb-byblos-bank,Byblos Bank,Byblos Bank S.A.L.,bank,banking,large,LB,Lebanon,LB,Country-wide,single_country,https://www.byblosbank.com,https://www.byblosbank.com/bank-careers-lebanon,careers_page_found,unknown,unknown,https://applications.byblosbank.com/bank-careers-lebanon/submit-your-application,suitable_public_html_subject_to_review,unknown,high,yes_current,not_verified,not_verified,not_verified,not_applicable,https://www.byblosbank.com/bank-careers-lebanon,high,suitable_public_html_subject_to_review,verified,,Custom application portal separate from informational careers page,2026-09-03,"Directly WebFetched 2026-09-03: official page confirms custom application portal (applications.byblosbank.com), no third-party ATS. Explicit internship program for university students described, plus 'Byblos Way' internal training program. No specific open roles visible without executing an on-page search."
cc-bank-audi,sr-lb-bank-audi,Bank Audi,Bank Audi S.A.L.,bank,banking,large,LB,Lebanon,LB,Country-wide,single_country,https://www.bankaudigroup.com,https://careers.bankaudi.com.lb/careers/home,careers_page_found,unknown,unknown,unknown,suitable_public_html_subject_to_review,unknown,high,yes_current,not_verified,not_verified,not_verified,not_applicable,https://careers.bankaudi.com.lb/careers/home,medium,suitable_public_html_subject_to_review,verified,,Fetched directly: dedicated Internship Program (with its own application form at /careers/the-internship-program/internship-application) plus a general Recruitment Application form (/careers/recruitment-application); no live open-role list visible.,2026-09-03,Careers portal confirmed at careers.bankaudi.com.lb (separate subdomain from bankaudigroup.com); positions the bank as an 'Employer of Choice'.
cc-blom-bank,sr-lb-blom-bank,BLOM Bank,BLOM Bank S.A.L.,bank,banking,large,LB,Lebanon,LB,Country-wide,single_country,https://www.blombank.com,unknown,not_verified,unknown,unknown,unknown,manual_only,unknown,high,unknown,not_verified,not_verified,not_verified,not_applicable,https://en.wikipedia.org/wiki/BLOM_Bank,low,unknown,needs_manual_review,Official careers URL not located in this research pass,None,2026-09-03,"Re-attempted 2026-09-03: both www.blombank.com/english/careers and www.blombank.com homepage returned HTTP 403 to automated fetch. Company is a well-established, real Lebanese bank; the block is a technical/anti-bot barrier, not evidence of illegitimacy. Needs a manual browser visit to confirm careers content."
cc-fransabank,sr-lb-fransabank,Fransabank,Fransabank S.A.L.,bank,banking,large,LB,Lebanon,LB,Country-wide,single_country,https://www.fransabank.com,https://www.fransabank.com/careers,recruitment_email_only,unknown,unknown,unknown,manual_only,unknown,high,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.fransabank.com/careers,medium,manual_only,verified,,"Fetched directly: careers page describes workplace culture only; explicit instruction to email CVs to hr@fransabank.com. No ATS, no visible job list.",2026-09-03,No automatable job board found; email-only recruitment channel confirmed.
cc-bankmed,sr-lb-bankmed,BankMed,BankMed S.A.L.,bank,banking,large,LB,Lebanon,LB,Country-wide,single_country,https://www.bankmed.com.lb,https://www.bankmed.com.lb/content/career/recruitment.aspx,careers_page_found,unknown,unknown,unknown,manual_only,unknown,high,unknown,https://www.linkedin.com/company/bankmedleb,not_verified,likely_official_needs_review,discovery_and_verification_only,https://www.bankmed.com.lb/content/career/recruitment.aspx,medium,manual_only,verified,,None,2026-09-03,"Directly WebFetched 2026-09-03: official recruitment page confirmed at bankmed.com.lb/content/career/recruitment.aspx. Basic CV-upload form only, no ATS platform, no specific listings, no internship/graduate program mentioned on this page."
cc-bank-of-beirut,sr-lb-bank-of-beirut,Bank of Beirut,Bank of Beirut S.A.L.,bank,banking,large,LB,Lebanon,LB,Country-wide,single_country,https://www.bankofbeirut.com,https://www.bankofbeirut.com/en/Careers,careers_page_found,unknown,unknown,unknown,manual_only,unknown,high,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.bankofbeirut.com/en/Careers,medium,manual_only,needs_manual_review,Careers URL found via search but not directly fetched to confirm live openings or ATS,None,2026-09-03,Re-attempted 2026-09-03: bankofbeirut.com/en/Careers returned HTTP 403 to automated fetch; WebSearch was unavailable (session budget exhausted) so no alternate route was found. Needs a manual browser visit.
cc-cedrus-bank,sr-lb-cedrus-bank,Cedrus Bank,Cedrus Bank S.A.L.,bank,banking,medium,LB,Lebanon,LB,Country-wide,single_country,https://www.cedrusbank.com,https://www.cedrusbank.com/careers-cedrus-bank-lebanon,careers_page_found,unknown,unknown,unknown,manual_only,unknown,high,yes_current,not_verified,not_verified,not_verified,not_applicable,https://www.cedrusbank.com/careers-cedrus-bank-lebanon,high,suitable_public_html_subject_to_review,verified,,Search results indicate internship program is a stated feature,2026-09-03,Directly WebFetched 2026-09-03: official page confirms a structured 4-8 week internship program with project-based work; a Vacancies subpage exists but no live listings were visible in this fetch. No third-party ATS detected.
cc-bob-finance,sr-lb-bob-finance,BOB Finance,BOB Finance S.A.L.,bank,banking,small,LB,Lebanon,LB,Country-wide,single_country,https://www.bob-finance.com,https://www.bob-finance.com/Inside/InsidePages/Careers,recruitment_email_only,unknown,unknown,unknown,recruitment_email_only,unknown,medium,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.bob-finance.com/Inside/InsidePages/Careers,medium,manual_only,verified,,Email-based application per search snippet,2026-09-03,"Directly WebFetched 2026-09-03: official page confirmed, but it is a minimal landing page directing applicants to email careers@bobfin.com. No ATS, no listed vacancies, no internship program mentioned."
cc-alfa-lebanon,sr-lb-alfa-lebanon,Alfa (Lebanon),Alfa - MIC 1,telecom,telecommunications,large,LB,Lebanon,LB,Country-wide,single_country,https://www.alfa.com.lb,https://www.alfa.com.lb/en/about/careers-recruitment,recruitment_email_only,unknown,unknown,unknown,manual_only,false,medium,unknown,https://www.linkedin.com/company/alfa-mic1,not_verified,verified_official,discovery_and_verification_only,https://www.alfa.com.lb/en/about/careers-recruitment; https://www.linkedin.com/company/alfa-mic1,high,manual_only,verified,,"Page fetched directly: no live listings, CV submission via recruitment@alfamobile.com.lb only",2026-09-03,"State-owned mobile operator (one of two GSM operators in Lebanon); careers page fetched and confirmed to be a CV-drop page, not a live job board"
cc-touch-lebanon,sr-lb-touch-lebanon,touch (Lebanon),Ogero/touch - Lebanon mobile operator,telecom,telecommunications,large,LB,Lebanon,LB,Country-wide,single_country,https://www.touch.com.lb,https://www.touch.com.lb/en/careers,active_no_open_jobs,unknown,unknown,unknown,suitable_public_html_subject_to_review,false,medium,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.touch.com.lb/en/careers,medium,suitable_public_html_subject_to_review,verified,,"Fetched directly: custom filterable job-listing page; at verification time the filter returned ""No positions found."" No application mechanism/contact shown when empty.",2026-09-03,"Official careers page confirmed at /en/careers; currently zero live openings, needs periodic re-check."
cc-anghami,sr-lb-anghami,Anghami,Anghami Inc.,private_company,media_entertainment_technology,medium,AE,Lebanon,LB,Country-wide,regional_middle_east,https://www.anghami.com,https://anghami.zenats.com/,careers_page_found,Zenats,unknown,unknown,manual_only,unknown,high,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.anghami.com/careers;https://anghami.zenats.com/,medium,suitable_public_html_subject_to_review,verified,,None,2026-09-03,"Directly WebFetched 2026-09-03: anghami.com/careers 301-redirects to anghami.zenats.com, a dedicated ATS (Zenats) tenant confirming an official recruitment destination. Page content returned was too thin to confirm current listings or internship program details in this pass."
cc-proximie,sr-lb-proximie,Proximie,Proximie Ltd.,private_company,healthtech_software,medium,GB,Lebanon,LB,Beirut,regional_middle_east,https://www.proximie.com,https://careers.proximie.com,careers_page_found,Teamtailor,unknown,unknown,manual_only,true,high,unknown,not_verified,not_verified,not_verified,not_applicable,https://careers.proximie.com;https://www.proximie.com/careers,high,suitable_public_ats,verified,,None,2026-09-03,"Directly WebFetched 2026-09-03: careers.proximie.com confirmed on Teamtailor ATS (footer attribution). Two open Beirut-based roles confirmed at fetch time (Senior ML Engineer, Senior Data Engineer, both remote-eligible). 'Proximie Beirut Office' explicitly referenced. No internship-specific listing found."
cc-murex,sr-lb-murex,Murex,Murex S.A.S.,private_company,fintech_software,large,FR,Lebanon,LB,Beirut,global,https://www.murex.com,https://murex.wd3.myworkdayjobs.com/MurexCareerPage1,active_no_open_jobs,Workday,MurexCareerPage1,unknown,manual_only,unknown,high,yes_current,not_verified,not_verified,not_verified,not_applicable,https://www.murex.com;https://murex.wd3.myworkdayjobs.com/MurexCareerPage1,high,suitable_public_ats,verified,,None,2026-09-03,Directly WebFetched 2026-09-03: official murex.com site links to a Workday ATS tenant (murex.wd3.myworkdayjobs.com/MurexCareerPage1). Careers nav includes a dedicated 'Students and graduates' section confirming an early-career track; Beirut office not explicitly named in the fetched excerpt (Murex is a Beirut-founded/headquartered company per general company record) — country presence should be re-confirmed via the Workday location filter.
cc-whish-money,sr-lb-whish-money,Whish Money,Whish s.a.l.,fintech,fintech,medium,LB,Lebanon,LB,Beirut,single_country,https://www.whish.money,https://careers.whish.money/,active_with_open_jobs,unknown,unknown,https://careers.whish.money/,suitable_public_html_subject_to_review,true,high,yes_current,not_verified,not_verified,not_verified,not_applicable,https://careers.whish.money/,high,suitable_public_html_subject_to_review,verified,,"Fetched directly: 23 live listings including iOS/Android/Backend Developer, internships in software development referenced separately in search results",2026-09-03,E-wallet/remittance fintech; careers page fetched directly and confirmed live vacancies including tech roles
cc-unhcr,sr-lb-unhcr,UNHCR (Lebanon Operation),Office of the United Nations High Commissioner for Refugees - Lebanon,ngo,ngo_humanitarian,large,CH,Lebanon,LB,Country-wide,global,https://www.unhcr.org,https://www.unhcr.org/lb/get-involved/vacancies,careers_page_found,custom,unknown,https://www.unhcr.org/lb/get-involved/vacancies,suitable_public_html_subject_to_review,unknown,medium,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.unhcr.org/lb/get-involved/vacancies,high,suitable_public_html_subject_to_review,verified,,UN vacancy announcements are public; roles often require prior UN/humanitarian experience limiting entry-level fit,2026-09-03,"UN agency; country-specific vacancy page confirmed via search, not yet directly fetched for live listing count"
cc-mercy-corps,sr-lb-mercy-corps,Mercy Corps (Lebanon),Mercy Corps,ngo,ngo_humanitarian,large,US,Lebanon,LB,Country-wide,global,https://www.mercycorps.org,https://www.mercycorps.org/careers/national,careers_page_found,unknown,Lebanon,https://www.mercycorps.org/careers/national,suitable_public_html_subject_to_review,unknown,medium,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.mercycorps.org/careers/national; https://unjobs.org/offices/mercy-corps_bey,high,suitable_public_html_subject_to_review,verified,,National/country-specific board restricted to in-country citizens per Mercy Corps policy,2026-09-03,Global NGO with active Beirut office; national jobs board confirmed via search
