query_id,region_label,region_query_string,category,search_term,max_results_per_search_term,actor_run_group,rationale
q01,Beirut,"Beirut, Lebanon",Software and IT services,"software company",30,run-beirut,"Capital city core tech sector; high expected density"
q02,Beirut,"Beirut, Lebanon",Marketing/advertising/graphic design,"marketing agency",30,run-beirut,"Capital city core creative/agency sector"
q03,Greater Beirut,"Beirut Governorate, Lebanon",Accounting/audit/financial services,"accounting firm",30,run-greater-beirut,"Broader metro area beyond the city core; professional-services density"
q04,Greater Beirut,"Beirut Governorate, Lebanon",Telecom and fintech,"fintech company",30,run-greater-beirut,"Broader metro area; emerging fintech sector test"
q05,Metn,"Metn, Mount Lebanon, Lebanon",Engineering and industrial companies,"engineering company",30,run-metn,"Metn has a known industrial/engineering concentration (e.g. Sin El Fil, Dekwaneh, Bauchrieh areas)"
q06,Metn,"Metn, Mount Lebanon, Lebanon",Manufacturing and factories,"factory",30,run-metn,"Same industrial belt as q05; cross-check manufacturing coverage"
q07,Baabda,"Baabda, Mount Lebanon, Lebanon",Construction and contracting,"construction company",30,run-baabda,"Baabda district construction/contracting sector"
q08,Jounieh/Keserwan,"Jounieh, Keserwan, Lebanon",Hotels/restaurants/hospitality groups,"hotel",30,run-jounieh,"Coastal tourism/hospitality hub"
q09,Jounieh/Keserwan,"Jounieh, Keserwan, Lebanon",Architecture and interior design,"architecture firm",30,run-jounieh,"Keserwan has a notable design/architecture presence"
q10,Tripoli/North Lebanon,"Tripoli, Lebanon",Retail/distribution/e-commerce,"distribution company",30,run-tripoli,"North Lebanon's largest commercial hub"
q11,Tripoli/North Lebanon,"Tripoli, Lebanon",Manufacturing and factories,"factory",30,run-tripoli,"Tripoli has an industrial port/free-zone manufacturing base distinct from Metn's"
q12,Saida/South Lebanon,"Saida, Lebanon",Hospitals/clinics/laboratories,"hospital",30,run-saida,"South Lebanon's main healthcare hub"
q13,Saida/South Lebanon,"Saida, Lebanon",Logistics and transportation,"logistics company",30,run-saida,"Coastal city with port-adjacent logistics activity"
q14,Zahle/Bekaa,"Zahle, Bekaa, Lebanon",Schools/universities/training institutions,"school",30,run-zahle,"Bekaa's largest city; education-sector test"
q15,Zahle/Bekaa,"Zahle, Bekaa, Lebanon",NGOs and professional services,"NGO",30,run-zahle,"Bekaa has significant NGO/humanitarian-sector presence"
q16,Nabatieh,"Nabatieh, Lebanon",Construction and contracting,"construction company",30,run-nabatieh,"South-inland district, currently zero registry coverage"
q17,Nabatieh,"Nabatieh, Lebanon",Retail/distribution/e-commerce,"retail store",30,run-nabatieh,"Cross-check retail coverage in an underrepresented district"
q18,Lebanon country-wide,"Lebanon",Software and IT services,"software company Lebanon",30,run-countrywide,"Sanity-check cross-reference: does a country-wide query surface companies missed by city-level queries, or mostly duplicate them?"
