internal_row_id,canonical_name,relevance_status,relevance_reason,google_category,regions,categories,address,city,phone,website,google_maps_url
uae-pilot-0003,2 FAR ROBOTICS,irrelevant_small_retail_or_generic,"Category set (Computer store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Computer store,Abu Dhabi,Computer store,Villa 158 Online Store - Shamkha 16 - Abu Dhabi - United Arab Emirates,,+971 55 504 8355,http://www.2fr.co/store,https://www.google.com/maps/search/?api=1&query=2%20FAR%20ROBOTICS&query_place_id=ChIJBxB3uKA1Xj4RFLJLQ06lgTw
uae-pilot-0006,7md Store Al Falah Central Mall حمد ستور الفلاح سنترال مول,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,CPH7+3M3 - Al Falah - 1F - Abu Dhabi - United Arab Emirates,,+971 50 513 4120,https://www.7md.ae/,https://www.google.com/maps/search/?api=1&query=7md%20Store%20Al%20Falah%20Central%20Mall%20%D8%AD%D9%85%D8%AF%20%D8%B3%D8%AA%D9%88%D8%B1%20%D8%A7%D9%84%D9%81%D9%84%D8%A7%D8%AD%20%D8%B3%D9%86%D8%AA%D8%B1%D8%A7%D9%84%20%D9%85%D9%88%D9%84&query_place_id=ChIJ0-vLjHFLXj4R-o6IPn0X2lQ
uae-pilot-0020,ACUBE INFOTECH CO LLC,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Dubai,Corporate office,jumeirah Terrace - Office 205 2nd December St - opp. UAE Flag - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,,+971 4 330 0251,https://www.acubeinfotech.ae/,https://www.google.com/maps/search/?api=1&query=ACUBE%20INFOTECH%20CO%20LLC&query_place_id=ChIJF_NwC3hCXz4RpbOorGNA-w4
uae-pilot-0053,Al Mejdaf,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,10 47a St - Al Karama - Dubai - United Arab Emirates,,+966 11 419 2112,http://mejdaf.com/,https://www.google.com/maps/search/?api=1&query=Al%20Mejdaf&query_place_id=ChIJxRFXj91DXz4R6LIF_0HG7O4
uae-pilot-0058,Al salam Technical Works,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,29 35th St - Al Jafiliya - Dubai - United Arab Emirates,,+971 50 873 7504,,https://www.google.com/maps/search/?api=1&query=Al%20salam%20Technical%20Works&query_place_id=ChIJi0iqqVFDXz4RRQZgOovUB9I
uae-pilot-0060,Al Shamikha Prestige Phones - Anker,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,Makani Mall - Abu Dhabi - United Arab Emirates,,+971 55 895 7773,,https://www.google.com/maps/search/?api=1&query=Al%20Shamikha%20Prestige%20Phones%20-%20Anker&query_place_id=ChIJfQ8KGA41Xj4RyZqM0lrC4CQ
uae-pilot-0063,Al Takdar,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,CPG7+95X - Al Falah - FA8 - Abu Dhabi - United Arab Emirates,,+971 55 949 3265,,https://www.google.com/maps/search/?api=1&query=Al%20Takdar&query_place_id=ChIJWShraABLXj4RSc_jmBDPzFk
uae-pilot-0072,Almed Retail General Trading LLC,irrelevant_small_retail_or_generic,"Category set (Corporate office) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Corporate office,Dubai,Corporate office,Trade Center First - Dubai - United Arab Emirates,,+971 4 320 3930,http://almedretail.com/,https://www.google.com/maps/search/?api=1&query=Almed%20Retail%20General%20Trading%20LLC&query_place_id=ChIJO0z7-QRDXz4RmsjICBWPAwc
uae-pilot-0073,Almeraj Star Electronics Trading,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Dubai,Electronics store,12 2B St - Al Hudaiba - Dubai - United Arab Emirates,,+971 4 351 9226,,https://www.google.com/maps/search/?api=1&query=Almeraj%20Star%20Electronics%20Trading&query_place_id=ChIJgZn9dwRDXz4Rb-rRLCouxvM
uae-pilot-0085,Apple Al Maryah Island,irrelevant_small_retail_or_generic,"Category set (Electronics store) indicates a small single-location retail/generic listing, not a genuine mid/large employer target for this project.",Electronics store,Abu Dhabi,Electronics store,The Galleria - Al Maryah Island - MI1 - Abu Dhabi - United Arab Emirates,,+971 800 04440521,https://www.apple.com/ae/retail/almaryahisland?cid=aos-ae-seo-maps,https://www.google.com/maps/search/?api=1&query=Apple%20Al%20Maryah%20Island&query_place_id=ChIJ60hFDtxnXj4R3DZbPbcr1cw
