lead_number,raw_supplied_name,likely_entity_type,employer_outcome,source_outcome,evidence_urls,unresolved_issue
1,stc Kuwait,employer_candidate,hold_manual_review,na,https://careers.stc.com.kw/,"PASS 3 (2026-09-13): Re-attempted via the official sitemap (stc.com.kw/en/sitemap) as a first-party fallback -- also HTTP 403 to direct fetch. The domain-wide block appears to affect all stc.com.kw paths from this tool's network, not just /careers. WebSearch itself continues to index careers.stc.com.kw as live and real. Unresolved by automated means this pass; a human opening it directly in a browser will very likely succeed."
2,Halliburton,employer_candidate,approve_unchanged,na,https://careers.halliburton.com/search-jobs?k=&l=Kuwait,"CONFIRMED: careers.halliburton.com location filter shows 5 open positions in Kuwait, with 'Al Ahmadi, Kuwait' as a specific location filter option. Real global oilfield-services company, official domain confirmed."
3,Anton,employer_candidate,hold_manual_review,na,,"PASS 3 (2026-09-13): Strengthened. Anton-OSS confirmed to have sustained, recurring Kuwait recruiting activity (multiple postings across 2023 and 2026 per aggregators: '14 fursa 2023', '6 jobs 2026' -- Oil/Gas/HSE/Engineering/Administration roles), not a one-off. Still no dedicated official Anton-OSS domain found (parent Anton Group's domain remains antonoil.com) -- relationship to #4 (Anton Oilfield Services Group) still not first-party confirmed."
4,Anton Oilfield Services / Anton-OSS,employer_candidate,hold_manual_review,na,https://www.zawya.com/en/projects/koc-awards-maintenance-contract-for-north-kuwait-jurassic-plant-410489;https://tradearabia.com/News/465615/KOC-awards-maintenance-contract-for-North-Kuwait-Jurassic-plant/CONS,"RECOVERY PASS 2 (2026-09-13): Own domain still not directly fetchable (TLS certificate error). Found extremely strong independent confirmation instead: Kuwait Oil Company (KOC) awarded Anton Oilfield Services DMCC a KD35 million (~$113M) maintenance contract for Jurassic Production Facilities 1/2/3 in North Kuwait (RFP-2140425), reported independently by GDN, TradeArabia, Zawya, SaudiGulfProjects, and IndexBox. Real, substantial, verifiable Kuwait operations; only the first-party careers page remains technically blocked."
5,Precision Drilling,employer_candidate,geo_ineligible,na,https://www.precisiondrilling.com/careers,"CONFIRMED: official careers page lists only three office locations -- Calgary (Canada), Houston (USA), Dubai (UAE). No Kuwait office or roles referenced."
6,Iron Mountain,employer_candidate,approve_unchanged,na,https://www.ironmountain.com/en-kw,
7,Majid Al Futtaim,employer_candidate,hold_manual_review,na,https://www.majidalfuttaim.com/en/careers,RECOVERY PASS 2 (2026-09-13): Confirmed VOX Cinemas operates one cinema in Kuwait (own-brand fact). No Kuwait-specific careers/job confirmed via direct fetch this pass; MAF's careers portal remains generic.
8,Syntys,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Real entity confirmed: Syntys is Ooredoo's rebranded data-center business (formed 2025, following an investment from Iron Mountain, #6), HQ Doha, Qatar, but operates a real physical data center in Kuwait City (Ooredoo Tower, Al-Soor St). Relationship to Kuwait Digital Hub (#9) remains unconfirmed. No official careers page found; presence is a data-center facility, not confirmed as a local hiring employer."
9,Kuwait Digital Hub S.P.C.,employer_candidate,insufficient_evidence,na,,"PASS 3 (2026-09-13): Fresh Arabic search ('مركز الكويت الرقمي') found only tangential Kuwait digital-initiative bodies (Kuwait Business Center, KDCC/Kuwait Data Communications Company, the 'Kuwait Rise' Microsoft/CAIT program) -- none confidently matching 'Kuwait Digital Hub S.P.C.' Genuine identity gap persists after real bilingual search."
10,Emerson,employer_candidate,hold_manual_review,na,,RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation obtained beyond aggregator mentions (jobs.laimoon.com/kuwait/emerson).
