canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-halliburton,sr-kw-halliburton,Halliburton,Halliburton,multinational_subsidiary,Oilfield Services,unknown,unknown,Kuwait,KW,Al Ahmadi,single_country,https://www.halliburton.com,https://careers.halliburton.com/search-jobs?k=&l=Kuwait,active_with_open_jobs,unknown,unknown,https://careers.halliburton.com/search-jobs?k=&l=Kuwait,manual_html_review,yes,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://careers.halliburton.com/search-jobs?k=&l=Kuwait,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #2: ""Halliburton""] CONFIRMED: careers.halliburton.com location filter shows 5 open positions in Kuwait, with 'Al Ahmadi, Kuwait' as a specific location filter option. Real global oilfield-services company, official domain confirmed."
cc-international-turnkey-systems-its,sr-kw-international-turnkey-systems-its,International Turnkey Systems,International Turnkey Systems (ITS),private,IT / Banking Software,unknown,Kuwait,Kuwait,KW,Kuwait City,single_country,https://its.ws,https://its.ws/careers/,careers_page_found,unknown,unknown,https://its.ws/careers/,manual_html_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://its.ws/careers/,medium,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #43: ""International Turnkey Systems (ITS)""] CONFIRMED STRONG: headquartered at 'ITS Tower, Mubarak Al Kabeer Street, Kuwait City'; founded 1981 by Kuwait Finance House. Careers page confirmed live (search/filter framework present) though no specific job titles were extracted from the fetched excerpt -- still a genuine, verified Kuwait employer with a real official careers channel."
cc-foodics,sr-kw-foodics,Foodics,Foodics,multinational_subsidiary,Retail Tech / SaaS,unknown,unknown,Kuwait,KW,unknown,single_country,https://www.foodics.com,https://www.foodics.com/careers,careers_page_found,unknown,unknown,https://www.foodics.com/careers,manual_html_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.foodics.com/careers,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #61: ""Foodics""] CONFIRMED: careers/contact page displays a dedicated Kuwait phone number (22086665) alongside other regional office numbers, confirming a genuine Kuwait office presence. Already has a verified Saudi row (cc-foodics) -- reuse the existing market-neutral canonical_company_id for a Kuwait row, per repository convention, flagged for human confirmation of the exact id-reuse decision."
cc-american-international-university-kuwait,sr-kw-american-international-university-kuwait,American International University | Kuwait,American International University | Kuwait,university,Education,unknown,Kuwait,Kuwait,KW,unknown,single_country,https://www.aiu.edu.kw,https://www.aiu.edu.kw/careers/jobs,careers_page_found,unknown,unknown,https://www.aiu.edu.kw/careers/jobs,manual_html_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.aiu.edu.kw/,medium,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #67: ""American International University Kuwait""] CONFIRMED: real institution, official domain aiu.edu.kw, with explicit careers-section links found ('Jobs at AIU' at /about/jobs-at-aiu, 'Internships at AIU', and a Human Resources page). Distinct from Australian University Kuwait (#82, similarly-named but different institution)."
cc-apparel-group,sr-kw-apparel-group,Apparel Group,Apparel Group,multinational_subsidiary,Retail / Fashion,unknown,unknown,Kuwait,KW,unknown,single_country,https://www.apparelgroup.com,https://www.apparelgroup.com/en/careers/,careers_page_found,unknown,unknown,https://www.apparelgroup.com/en/careers/,manual_html_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.apparelgroup.com/en/careers/,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #104: ""Apparel Group""] CONFIRMED: official careers page explicitly states 'KUWAIT Brands 50 Stores 153', confirming a substantial genuine Kuwait retail presence. Already has a verified Saudi row (cc-apparel-group-sa) -- reuse the existing market-neutral canonical_company_id for a Kuwait row, per repository convention, flagged for human confirmation. Note: the specific brands operated in Kuwait (e.g. whether this includes Abercrombie & Fitch/Hollister, #105/#106) were not itemized in the fetched content."
cc-iron-mountain,sr-kw-iron-mountain,Iron Mountain,Iron Mountain,multinational_subsidiary,Records & Information Management,unknown,United States,Kuwait,KW,Kuwait City,single_country,https://www.ironmountain.com,https://ironmountain.jobs/jobs/,careers_page_found,unknown,unknown,https://ironmountain.jobs/jobs/,manual_html_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.ironmountain.com/en-kw,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #6: ""Iron Mountain""] RECOVERY PASS 2 (2026-09-13): CONFIRMED via official localized Kuwait site (ironmountain.com/en-kw) with a Kuwait phone number (+965 50936868) and a Careers link. Third-party listings corroborate specific Kuwait roles (Senior Financial Analyst, Kuwait City; Library & Archival Services Pre-Sales Specialist, Sulaibiya, Jahra)."
cc-courtyard-by-marriott-kuwait-property,sr-kw-courtyard-by-marriott-kuwait-property,Courtyard by Marriott (Kuwait property),Courtyard by Marriott (Kuwait property),multinational_subsidiary,Hospitality,unknown,United States,Kuwait,KW,Kuwait City,single_country,https://careers.marriott.com,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,active_with_open_jobs,unknown,unknown,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,manual_html_review,yes,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #13: ""Courtyard by Marriott""] RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Marriott ATS (careers.marriott.com), country=Kuwait filter -- 15 live open positions at 'Courtyard by Marriott Kuwait City' (Commis I, Commis I - Pastry, Demi Chef de Partie Sushi, etc.). Resolves the prior HTTP 403."
cc-egis,sr-kw-egis,Egis,Egis,private,Engineering / Consulting,unknown,France,Kuwait,KW,Kuwait City,single_country,https://www.egis-group.com,https://jobs.egis-group.com/egis-middle-east,careers_page_found,unknown,unknown,https://jobs.egis-group.com/egis-middle-east,manual_html_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.egis-group.com/locations/middle-east/kuwait,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #15: ""Egis""] RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Egis page naming a Kuwait Country Managing Director (Khaled Elmir) and two named Kuwait projects (Kuwait Scientific Center Expansion Program; Kuwait International Bank digital-banking project). Official careers portal exists (no live Kuwait vacancy at time of check)."
cc-hrinvest,sr-kw-hrinvest,HRInvest,HRInvest,private,HR Consulting / Staffing,unknown,Kuwait,Kuwait,KW,Kuwait City,single_country,https://www.hrinvest.com,https://www.hrinvest.com/recruiting/explore-job-opportunities/,careers_page_found,unknown,unknown,https://www.hrinvest.com/recruiting/explore-job-opportunities/,manual_html_review,unknown,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.hrinvest.com/recruiting/,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #29: ""HRInvest / HRIInvest""] RECOVERY PASS 2 (2026-09-13): CONFIRMED. Official domain hrinvest.com, founded 2006, physical Kuwait address (Sharq, Jaber Al-Mubarak St, AlWattiyah Sharq Tower). Dedicated recruiting/job-opportunities and resume-submission pages. Also relevant as a potential job source (staffing/recruitment firm)."
cc-united-real-estate-company-urc,sr-kw-united-real-estate-company-urc,United Real Estate Company (URC),United Real Estate Company (URC),private,Real Estate,unknown,Kuwait,Kuwait,KW,Kuwait City,single_country,https://www.urc.com.kw,https://www.urc.com.kw/careers.aspx,active_with_open_jobs,unknown,unknown,https://www.urc.com.kw/careers.aspx,manual_html_review,yes,unknown,unknown,not_verified,not_verified,not_verified,not_applicable,https://www.urc.com.kw/careers.aspx,high,suitable_public_html_subject_to_review,needs_manual_review,"Staged only from this research pass -- requires a separate adversarial human-quality audit before any production promotion, per task instruction.",,2026-09-13,"[Supplied Kuwait lead #32: ""United Real Estate Company (URC)""] RECOVERY PASS 2 (2026-09-13): CONFIRMED. Official Kuwait-headquartered domain (urc.com.kw), KSE-listed since 1984, physical HQ (Al Shaheed Tower, Sharq). Direct fetch of the official careers page confirmed 3 live Kuwait postings: Call Center Agent, Leasing Executive, AVP - Operations."
