raw_input_name,corrected_name,official_domain,company_type_guess,industry_guess,target_city_guess,outcome,canonical_id_if_matched_or_proposed,careers_or_ats_url_or_email,evidence_urls,notes
Qiddiya,Qiddiya (Qiddiya Investment Company),qiddiya.com,government_linked,Real Estate/Tourism/Giga-project,Riyadh,verified_stage_employer,cc-qiddiya,https://qiddiya.com/careers/,https://qiddiya.com/careers/,PIF giga-project; official careers page confirmed with live Riyadh listings.
Assystem,Assystem (Assystem Radicon KSA),assystem.com,multinational_subsidiary,Engineering/Energy Transition,multi_city,verified_stage_employer,cc-assystem-sa,https://careers.smartrecruiters.com/ASSYSTEM?search=SAUDI,https://www.assystem.com/en/career/;https://careers.smartrecruiters.com/ASSYSTEM?search=SAUDI,Acquired Radicon (400-person KSA engineering firm); SmartRecruiters ATS shows Saudi-filtered postings.
Miller's Solutions,Müller's Solutions,unknown,private,IT/SAP Consulting,Saudi Arabia,manual_review,proposed,unknown,https://sabbar.com/en/jobs/companies/m-ller-s-solutions-2;https://www.bayt.com/en/saudi-arabia/jobs/m%C3%BCller-s-solutions-jobs/,"Real multi-country tech consultancy (incl. KSA office) with live Bayt/Sabbar postings, but no official root domain confirmed this pass."
Ebra,Ebra,unknown (ATS: apply.workable.com/ebra/),private,Media,Riyadh,manual_review,proposed,https://apply.workable.com/ebra/,https://apply.workable.com/ebra/,7 live Riyadh openings on Workable; official company homepage domain not independently confirmed.
Saudi AZM,Saudi AZM (AZM),azm.sa,private,IT Consulting/Digital Transformation,Riyadh,verified_stage_employer,proposed:cc-saudi-azm,https://azmtalent.recruitee.com/;AZM_Recruiting@azm.sa,https://azmtalent.recruitee.com/;https://azm.recruitee.com/,"CAUTION: distinct from the unrelated PIF national workforce-training initiative also branded ""azm"" (pif.gov.sa/azm) -- do not conflate."
Scale AI,Scale AI,scale.com,multinational_subsidiary,AI/Data Labeling,unknown,insufficient_evidence,n/a (cc-scale-ai-qatar exists for Qatar only),unknown,unknown,"Already verified for Qatar; no Saudi-specific office/listing found this pass -- new market evidence needed, not a duplicate."
RIME,RIME,rime.sa,startup,AI/Computer Vision (retail ops),Riyadh (remote-first),verified_stage_employer,proposed:cc-rime,https://rime.sa/en/jobs,https://rime.sa/en/jobs,"VC-backed Saudi AI startup, official careers page confirmed."
Accenture Middle East,Accenture,accenture.com,multinational_subsidiary,Professional Services/Consulting,Riyadh; Jeddah,verified_stage_employer,proposed:cc-accenture-sa,https://www.accenture.com/sa-en/careers,https://www.accenture.com/sa-en/careers,Official KSA careers page confirmed with live listings.
JODAYN,Jodayn (Jodayn Information Technology),jodayn.com,private,IT Consulting/Enterprise Architecture,Riyadh; Ha'il,manual_review,proposed,unknown,https://www.jodayn.com/about/;https://jodayn.com/,Real 200+-employee Riyadh IT consultancy since 2009; dedicated careers/ATS URL not confirmed this pass.
"QuantumBlack, AI by McKinsey",QuantumBlack (AI by McKinsey),mckinsey.com,duplicate_or_alias,Management/AI Consulting,Riyadh,duplicate_or_alias,alias of cc-mckinsey,https://www.mckinsey.com/capabilities/quantumblack/careers-and-community,https://www.mckinsey.com/capabilities/quantumblack/careers-and-community,"McKinsey's AI/analytics division; live Riyadh roles (Lead Data Scientist, Principal SWE) run through McKinsey's own careers site -- same corporate entity as already-verified cc-mckinsey."
