source_name,official_domain,source_type,kuwait_job_coverage,robots_txt_status,tos_status,prior_internal_classification,final_source_decision,requirements_gap_for_higher_tier,evidence,retrieval_date
Alghanim Industries,https://www.alghanim.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,2026-09-13
Deloitte Kuwait,https://www2.deloitte.com/kw/en.html,derived_from_supplied_lead,covered_by_existing_row,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,2026-09-13
HRInvest,https://www.hrinvest.com,derived_from_supplied_lead,not_confirmed_this_pass,not_checked,not_checked,move_to_source_catalog,discovery_only,robots.txt not checked; ToS not checked; source identity or Kuwait-job-coverage not yet fully confirmed,"Real, Kuwait-relevant entity, but functions as a private placement/executive-search consultancy rather than a public multi-employer job board -- correctly classified not_applicable as an automatable SOURCE (still valid as an EMPLOYER candidate, tracked separately in kuwait-promotion-staging.csv where applicable).",2026-09-13
Gulf Bank,https://www.e-gulfbank.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,2026-09-13
SSC HR Solutions,unknown,derived_from_supplied_lead,not_confirmed_this_pass,not_checked,not_checked,insufficient_evidence,insufficient_evidence,robots.txt not checked; ToS not checked; source identity or Kuwait-job-coverage not yet fully confirmed,"CORRECTED (production-promotion gate): final_source_decision was self-contradicting prior_internal_classification (said discovery_only despite unknown domain and insufficient_evidence prior). Identity itself (SSC HR Solutions) could not be confirmed as Kuwait-relevant -- a likely OCR/name mix-up with the real ""SOS HR Solutions"" was found and flagged, not substituted. No confirmed domain exists to catalog; correctly held at insufficient_evidence and excluded from any source-catalog append.",2026-09-13
Libera Consultants,https://www.liberaconsultants.com,derived_from_supplied_lead,not_confirmed_this_pass,not_checked,not_checked,move_to_source_catalog,discovery_only,robots.txt not checked; ToS not checked; source identity or Kuwait-job-coverage not yet fully confirmed,"Real, Kuwait-relevant entity, but functions as a private placement/executive-search consultancy rather than a public multi-employer job board -- correctly classified not_applicable as an automatable SOURCE (still valid as an EMPLOYER candidate, tracked separately in kuwait-promotion-staging.csv where applicable).",2026-09-13
National Bank of Kuwait (NBK),https://www.nbk.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,2026-09-13
SpaStaff.com,https://www.spastaff.com,derived_from_supplied_lead,confirmed_this_pass,inconclusive (fetch returned no discernible content),not_checked,hold_manual_review,manual_review_only,ToS not checked,"SpaStaff.com: Kuwait coverage corrected and confirmed this pass, but robots.txt/ToS access-policy check remains inconclusive -- correctly held short of automated-ingestion approval.",2026-09-13
American University of Kuwait (AUK),https://www.auk.edu.kw,derived_from_supplied_lead,covered_by_existing_row,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,2026-09-13
Al Mulla Group,https://www.almullagroup.com,derived_from_supplied_lead,covered_by_existing_row,not_checked,not_checked,duplicate_or_alias,already_present,robots.txt not checked; ToS not checked,Confirmed exact match to an existing verified row in the production master-company-registry.csv / kuwait.csv -- correctly excluded from new staging.,2026-09-13
Kuwait Civil Service Commission (Recruitment Portal),https://portal2.csc.gov.kw/,official_government_job_portal,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real source with positive access-policy signal (e.g. permissive robots.txt / confirmed portal), but ToS and/or technical structure not fully verified -- correctly held short of automated-ingestion approval.",2026-09-13
Akhtaboot,https://www.akhtaboot.com,job_board,see_notes,not_checked,not_checked,hold_manual_review,manual_review_only,robots.txt not checked; ToS not checked,"Real entity/channel identified but not deeply verified (access policy, Kuwait-coverage depth, or technical structure) -- correctly logged as discovery_only rather than promoted further.",2026-09-13
