raw_input_name,corrected_name,official_domain,company_type_guess,industry_guess,target_city_guess,outcome,canonical_id_if_matched_or_proposed,careers_or_ats_url_or_email,evidence_urls,notes
Miller's Solutions,Müller's Solutions,unknown,private,IT/SAP Consulting,Saudi Arabia,manual_review,proposed,unknown,https://sabbar.com/en/jobs/companies/m-ller-s-solutions-2;https://www.bayt.com/en/saudi-arabia/jobs/m%C3%BCller-s-solutions-jobs/,"Real multi-country tech consultancy (incl. KSA office) with live Bayt/Sabbar postings, but no official root domain confirmed this pass."
Ebra,Ebra,unknown (ATS: apply.workable.com/ebra/),private,Media,Riyadh,manual_review,proposed,https://apply.workable.com/ebra/,https://apply.workable.com/ebra/,7 live Riyadh openings on Workable; official company homepage domain not independently confirmed.
JODAYN,Jodayn (Jodayn Information Technology),jodayn.com,private,IT Consulting/Enterprise Architecture,Riyadh; Ha'il,manual_review,proposed,unknown,https://www.jodayn.com/about/;https://jodayn.com/,Real 200+-employee Riyadh IT consultancy since 2009; dedicated careers/ATS URL not confirmed this pass.
Lucidya,Lucidya,"unknown (widely cited, not independently fetched)",startup,SaaS/AI Customer Intelligence,Riyadh,manual_review,proposed,unknown,https://www.bayt.com/en/saudi-arabia/jobs/lucidya-jobs/;https://wuzzuf.net/jobs/careers/Lucidya-Saudi-Arabia-44977,"Riyadh-HQ'd, Great Place to Work-certified SaaS company; official domain/careers URL not directly confirmed this pass."
Jari Solutions,Jari Solutions,unknown,private,Fintech/Credit Risk (SME financing),Riyadh,manual_review,proposed,unknown,https://app.qureos.com/company/jariSolutions;https://wuzzuf.net/jobs/careers/jari-solutions-saudi-arabia-130140,"Riyadh HQ, SAMA-regulation-referencing roles; no official domain confirmed this pass."
webook.com,webook.com,webook.com,startup,Entertainment/Travel Super-app,Riyadh,manual_review,proposed,unknown,https://builtin.com/company/webook-com;https://www.glassdoor.sg/Jobs/webook-com-Jobs-E9503395.htm,Real 133-employee Riyadh company (65+ jobs per Glassdoor); no first-party webook.com/careers URL confirmed this pass.
An Kanz,Kanz,ka.nz,startup,AI Recruitment/HR-tech Platform,Riyadh,manual_review,proposed,unknown,https://www.ka.nz/;https://grabjobs.co/saudi-arabia/companies/kanz-5827477/careers,"Likely OCR of ""Kanz"" (AI hiring-copilot platform, 300+ client companies); also a source_catalog candidate as a reusable recruitment platform -- dual role per Section 7. No first-party careers URL directly confirmed."
Duru Compliance,"Duru Compliance (possibly related to ""Duru Cooperation"")",unknown,private,QA/QC Compliance Staffing (Aramco projects),Makkah; Riyadh,manual_review,proposed,unknown,https://wuzzuf.net/saudi/jobs/p/g/bpbu7hi3znzl-electrical-engineer-duru-compliance-makkah-saudi-arabia;https://durucooperation.com/,"Real recruiting activity for Aramco-project QA/QC roles; exact corporate identity vs. ""Duru Cooperation"" (India-facing overseas recruitment agency) unresolved -- possible source_catalog angle too."
Air Arabia,Air Arabia,airarabiagroupcareers.com,multinational_subsidiary,Airlines,"Saudi Arabia (new entrant, city TBD)",manual_review,proposed,https://www.airarabiagroupcareers.com/gb/en,https://en.wikipedia.org/wiki/Air_Arabia,"Search indicates recent/upcoming Saudi domestic operations, but no KSA-specific job posting or dedicated careers subpage confirmed this pass -- needs human check."
Albaap,Albaap (facilities management proptech),unknown,private,Facilities Management,Saudi Arabia,manual_review,proposed,unknown,https://www.linkedin.com/company/albaapsa,Real app-based FM startup per LinkedIn; no confirmed official website/careers URL this pass.
700apps,700apps,unknown,private,Business Process Automation/IT,Riyadh,manual_review,proposed,unknown,https://www.linkedin.com/company/700apps;https://wuzzuf.net/jobs/careers/700Apps-Saudi%20Arabia-98469,Real 128-employee Riyadh company since 2012; official root domain not confirmed this pass.
Al WEDAD Charity,Al Wedad Charity Foundation,unknown,nonprofit_ngo,Social Services/Orphan Care,Jeddah,manual_review,proposed,unknown,https://ngobase.org/profile/23307,Real registered Jeddah charity with an active recruitment posting; no official domain confirmed this pass.
Sarj.ai,Sarj.ai,"sarj.ai (inferred, not independently fetched)",startup,AI/Contact-Center Tech,Riyadh,manual_review,proposed,unknown,https://www.linkedin.com/jobs/view/4402905863/;https://www.naukrigulf.com/ai-research-engineer-jobs-in-saudi-arabia-in-sarj-ai-2-to-6-years-n-cd-40005227-jid-130526500481,"Riyadh HQ, founded 2023, multiple live roles across aggregators -- first-party domain not directly fetched this pass."
EjadTech,EjadTech,ejadtech.com.sa (inferred),private,IT Services/Digital Transformation,Riyadh,manual_review,proposed,unknown,https://theorg.com/org/ejadtech;https://www.linkedin.com/company/ejadtechsa,Real Riyadh company (leadership/org confirmed via TheOrg); careers URL not directly confirmed.
Kafaa Capital,"Kafaa Capital (distinct from separate consultancy ""Kafaa""/kafaa.sa)",kafaacapital.com,startup,Consumer/SME Financing (CMA-licensed),Saudi Arabia,manual_review,proposed,unknown,https://kafaacapital.com/en/,"CMA-licensed real fintech confirmed, but no dedicated careers/ATS URL for this entity specifically confirmed."
1Pass,1Pass (gym-subscription app -- NOT a digital-identity company),unknown,startup,Fitness/Wellness SaaS,Jeddah,manual_review,proposed,unknown,https://tracxn.com/d/companies/1pass/,Important disambiguation: unrelated to Nafath/digital-identity; no confirmed careers URL this pass.
Imploy,Imploy,imploy.co,startup,HR-tech/Hiring Platform,Saudi Arabia/MENA,manual_review,proposed,unknown,https://imploy.co/,"Appears mainly as a third-party hiring platform referenced in other companies' job posts, not confirmed as a direct employer itself this pass."
Definex,DefineX,definexconsulting.applytojob.com (domain root unclear: definex.com vs definexconsulting.com),professional_services_firm,Management/technology consulting,Riyadh (unconfirmed),manual_review,--,definexconsulting.applytojob.com/apply,https://builtin.com/company/definex;https://www.consultancy-me.com/firms/definex,"Real global consultancy operating ""across multiple regions including Saudi Arabia"" per secondary source, but official domain and a Saudi-specific office/careers page were not independently confirmed this pass."
