canonical_name,normalized_domain,website,place_ids,regions,categories,address,city,phone,rating,reviews_count,google_maps_url,duplicate_count,flagged_for_review,source,scraped_at
.قواعد للأستشارات الهندسية - QEC Engineering Consultants abu dhabi.,qec-uae.com,https://qec-uae.com/ar,ChIJvTSjrPo5Xj4RhmQ-Ai2Sf7w,Abu Dhabi,Engineering consultant,16 القلطة - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,,+971 55 392 2874,5.0,15,https://www.google.com/maps/search/?api=1&query=.%D9%82%D9%88%D8%A7%D8%B9%D8%AF%20%D9%84%D9%84%D8%A3%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9%20-%20QEC%20Engineering%20Consultants%20abu%20dhabi.&query_place_id=ChIJvTSjrPo5Xj4RhmQ-Ai2Sf7w,1,,apify_google_maps_run-abudhabi-g1,2026-09-07T11:26:39.176Z
+971 Architects,,,ChIJVSQTdnlDXz4RB2l9rEJ0lDo,Dubai,Architecture firm,Oud Metha - Dubai - United Arab Emirates,,+971 4 357 3575,4.6,26,https://www.google.com/maps/search/?api=1&query=%2B971%20Architects&query_place_id=ChIJVSQTdnlDXz4RB2l9rEJ0lDo,1,,apify_google_maps_run-dubai-g1,2026-09-07T11:25:47.624Z
2 FAR ROBOTICS,2fr.co,http://www.2fr.co/store,ChIJBxB3uKA1Xj4RFLJLQ06lgTw,Abu Dhabi,Computer store,Villa 158 Online Store - Shamkha 16 - Abu Dhabi - United Arab Emirates,,+971 55 504 8355,4.9,63,https://www.google.com/maps/search/?api=1&query=2%20FAR%20ROBOTICS&query_place_id=ChIJBxB3uKA1Xj4RFLJLQ06lgTw,1,,apify_google_maps_run-abudhabi-g4,2026-09-07T11:24:23.818Z
3 Square Interior Design L.L.C.,,,ChIJ2-3HFQBDXz4Rui2dSClEb-I,Dubai,Interior designer,67QC+7FH - 30A St - Jumeirah - Jumeira First - Dubai - United Arab Emirates,,+971 4 346 3872,3.0,2,https://www.google.com/maps/search/?api=1&query=3%20Square%20Interior%20Design%20L.L.C.&query_place_id=ChIJ2-3HFQBDXz4Rui2dSClEb-I,1,,apify_google_maps_run-dubai-g1,2026-09-07T11:25:43.482Z
360 Degree Contracting,,,ChIJXcAccABDXz4RpJMS5sBaRGk,Dubai,Construction company,67PG+V2F - Al Diyafah Street - Al Bada' - Dubai - United Arab Emirates,,,5.0,3,https://www.google.com/maps/search/?api=1&query=360%20Degree%20Contracting&query_place_id=ChIJXcAccABDXz4RpJMS5sBaRGk,1,,apify_google_maps_run-dubai-g3,2026-09-07T11:20:54.705Z
7md Store Al Falah Central Mall حمد ستور الفلاح سنترال مول,7md.ae,https://www.7md.ae/,ChIJ0-vLjHFLXj4R-o6IPn0X2lQ,Abu Dhabi,Electronics store,CPH7+3M3 - Al Falah - 1F - Abu Dhabi - United Arab Emirates,,+971 50 513 4120,4.8,210,https://www.google.com/maps/search/?api=1&query=7md%20Store%20Al%20Falah%20Central%20Mall%20%D8%AD%D9%85%D8%AF%20%D8%B3%D8%AA%D9%88%D8%B1%20%D8%A7%D9%84%D9%81%D9%84%D8%A7%D8%AD%20%D8%B3%D9%86%D8%AA%D8%B1%D8%A7%D9%84%20%D9%85%D9%88%D9%84&query_place_id=ChIJ0-vLjHFLXj4R-o6IPn0X2lQ,1,,apify_google_maps_run-abudhabi-g4,2026-09-07T11:24:23.817Z
"A Super Fast Cargo & Logistics - -UK,US,NZ,AUS,GER,CANADA,GCC & ALL OTHER COUNTRIES",superfastcargo.ae,https://superfastcargo.ae/,ChIJuYtlf_hnXj4Rv0hzyxS-za8,Abu Dhabi,Logistics service,639 Al Ain Rd - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,,+971 50 416 4433,4.9,248,https://www.google.com/maps/search/?api=1&query=A%20Super%20Fast%20Cargo%20%26%20Logistics%20-%20-UK%2CUS%2CNZ%2CAUS%2CGER%2CCANADA%2CGCC%20%26%20ALL%20OTHER%20COUNTRIES&query_place_id=ChIJuYtlf_hnXj4Rv0hzyxS-za8,1,,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:31.239Z
A&T Group Interiors,atginteriors.com,https://www.atginteriors.com/,ChIJi6xSCyZDXz4RNx1rEaIlqaE,Dubai,Interior construction contractor,API World Tower - Sheikh Zayed Rd - Dubai - United Arab Emirates,,+971 4 396 4121,4.7,164,https://www.google.com/maps/search/?api=1&query=A%26T%20Group%20Interiors&query_place_id=ChIJi6xSCyZDXz4RNx1rEaIlqaE,1,,apify_google_maps_run-dubai-g1,2026-09-07T11:25:53.861Z
AAMER Logistics L.L.C. Tasheel - Taw-jeeh / تسهيل - توجيه,aamergroup.ae,https://aamergroup.ae/,ChIJj6wSaBPm1qcR3EMzIryXRjk,Abu Dhabi,Logistics service,HSBC Building - Sheikh Rashid Bin Saeed - 3rd Floor - Abu Dhabi - United Arab Emirates,,+971 2 651 9000,5.0,720,https://www.google.com/maps/search/?api=1&query=AAMER%20Logistics%20L.L.C.%20Tasheel%20-%20Taw-jeeh%20%2F%20%D8%AA%D8%B3%D9%87%D9%8A%D9%84%20-%20%D8%AA%D9%88%D8%AC%D9%8A%D9%87&query_place_id=ChIJj6wSaBPm1qcR3EMzIryXRjk,1,,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:31.238Z
Aashiyana Accounting & Bookkeeping,aashiyanaaccounting.com,https://www.aashiyanaaccounting.com/,ChIJ6QhyJg5DXz4RdIGBQ2WhoSs,Dubai,Accounting firm,Burjuman Business Tower - 16th Floor - 16th St - near Burjuman Metro Exit-3 - Mankhool - Dubai - United Arab Emirates,,+971 52 583 6231,5.0,2,https://www.google.com/maps/search/?api=1&query=Aashiyana%20Accounting%20%26%20Bookkeeping&query_place_id=ChIJ6QhyJg5DXz4RdIGBQ2WhoSs,1,,apify_google_maps_run-dubai-g3,2026-09-07T11:20:54.870Z
ABACUS ENGINEERING CONSULTANCY,abacusarchitects.ae,http://www.abacusarchitects.ae/,ChIJmYQoH_lnXj4RpmHYow0_mls,Abu Dhabi,Engineering consultant,Jumada Al Akhirah St - near Model Indian School - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,,+971 55 827 9863,4.6,16,https://www.google.com/maps/search/?api=1&query=ABACUS%20ENGINEERING%20CONSULTANCY&query_place_id=ChIJmYQoH_lnXj4RpmHYow0_mls,1,,apify_google_maps_run-abudhabi-g1,2026-09-07T11:26:39.176Z
Abdulla & Associate Engineering & Architectural Consultants Dubai,aaa-dubai.com,https://aaa-dubai.com/,ChIJfYFUwv1CXz4R1mSWq0j8elw,Dubai,Engineering consultant,Pearl Apartment - Office 211 - Al Diyafah Street - Al Hudaiba - Dubai - United Arab Emirates,,+971 56 238 6130,4.6,22,https://www.google.com/maps/search/?api=1&query=Abdulla%20%26%20Associate%20Engineering%20%26%20Architectural%20Consultants%20Dubai&query_place_id=ChIJfYFUwv1CXz4R1mSWq0j8elw,1,,apify_google_maps_run-dubai-g1,2026-09-07T11:25:38.727Z
Abu Dhabi Construction Company LLC (ADCC),adcc.ae,http://www.adcc.ae/,ChIJwcfZQ4hoXj4RNLNIlNMH8gs,Abu Dhabi,Construction company,F98F+M99 - New Airport Rd - Al Manhal - Zone 1 - Abu Dhabi - United Arab Emirates,,+971 2 445 5800,3.9,24,https://www.google.com/maps/search/?api=1&query=Abu%20Dhabi%20Construction%20Company%20LLC%20(ADCC)&query_place_id=ChIJwcfZQ4hoXj4RNLNIlNMH8gs,1,,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:31.443Z
Abu Dhabi International Contracting &General Maintenance Company,adicc-uae.com,http://adicc-uae.com/,ChIJR9fsiXBmXj4REQt9Woyt07g,Abu Dhabi,Construction company,Muroor Rd - Al Nahyan - E19 02 - Abu Dhabi - United Arab Emirates,,+971 2 446 6522,4.2,76,https://www.google.com/maps/search/?api=1&query=Abu%20Dhabi%20International%20Contracting%20%26General%20Maintenance%20Company&query_place_id=ChIJR9fsiXBmXj4REQt9Woyt07g,1,,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:31.443Z
Abu Talha,,,ChIJxxdCKABDXz4RFZglIqqzr2o,Dubai,Construction company,32 4B St - Al Jafiliya - Dubai - United Arab Emirates,,,3.0,2,https://www.google.com/maps/search/?api=1&query=Abu%20Talha&query_place_id=ChIJxxdCKABDXz4RFZglIqqzr2o,1,,apify_google_maps_run-dubai-g3,2026-09-07T11:20:56.016Z
Acacia Medical Center,acaciamedicalcenter.com,https://acaciamedicalcenter.com/,ChIJOy1YCYNpXj4RTkJUiotSzL4,Abu Dhabi,Medical Center,F94F+XWQ - Villa No. 15 Al Karamah St - Al Manhal - W15 02 - Abu Dhabi - United Arab Emirates,,+971 2 444 5513,4.3,138,https://www.google.com/maps/search/?api=1&query=Acacia%20Medical%20Center&query_place_id=ChIJOy1YCYNpXj4RTkJUiotSzL4,1,,apify_google_maps_run-abudhabi-g4,2026-09-07T11:24:07.112Z
"Accountax: Corporate Tax, Accounting & Taxation Services UAE",accountaxuae.com,https://accountaxuae.com/,ChIJl9u9UjJnXj4RxA_5ep--tR0,Abu Dhabi,Tax consultant,"Khalifa Complex B - Office No M103/19, Mezzanine Floor - Ahmed Bin Hamed Al Hamed St - Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates",,+971 55 551 3677,5.0,25,https://www.google.com/maps/search/?api=1&query=Accountax%3A%20Corporate%20Tax%2C%20Accounting%20%26%20Taxation%20Services%20UAE&query_place_id=ChIJl9u9UjJnXj4RxA_5ep--tR0,1,,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:35.967Z
Accountspro Accounting Tax Consultancy L. L. C - S. P. C,accountspro.ae,http://www.accountspro.ae/,ChIJ48HzewA5Xj4RqcN5R9I4kmw,Abu Dhabi,Accounting firm,50 Salem Bin Thuaylib Al Amri St - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,,+971 52 716 8190,5.0,42,https://www.google.com/maps/search/?api=1&query=Accountspro%20Accounting%20Tax%20Consultancy%20L.%20L.%20C%20-%20S.%20P.%20C&query_place_id=ChIJ48HzewA5Xj4RqcN5R9I4kmw,1,,apify_google_maps_run-abudhabi-g3,2026-09-07T11:21:40.319Z
Accounttax Bookkeepers UAE,,,ChIJ31nWxI3cvCYRnrJBKjGIjk0,Dubai,Accounting firm,"Abuhail, Al Zarooni Building - office number 103 - dubai First floor - Ayal Nasir - Deira - Dubai - United Arab Emirates",,+971 52 531 5615,5.0,8,https://www.google.com/maps/search/?api=1&query=Accounttax%20Bookkeepers%20UAE&query_place_id=ChIJ31nWxI3cvCYRnrJBKjGIjk0,1,,apify_google_maps_run-dubai-g3,2026-09-07T11:21:04.480Z
