internal_row_id,canonical_name,relevance_status,relevance_reason,google_category,regions,categories,address,city,phone,website,google_maps_url
pilot-0008,Consolidated Contractors Company,duplicate_existing_registry_company,"Matches existing registry entry via normalized name: Consolidated Contractors Company (cc-ccc, source: master-company-registry.csv/lebanon.csv)",Software company,Beirut,Software and IT services,"VFGR+RF4, Khalil Motrane, Beirut, Lebanon",Beirut,+961 1 819 500,http://www.cctintl.com/,https://www.google.com/maps/search/?api=1&query=Consolidated%20Contractors%20Company&query_place_id=ChIJ1UqlRDgXHxURBSxchnokCLI
pilot-0038,Microsoft Lebanon,duplicate_existing_registry_company,"Matches existing registry entry via domain: Microsoft (cc-microsoft, source: master-company-registry.csv/lebanon.csv)",Software company,Lebanon country-wide,Software and IT services,"WG22+8R3, Beirut, Lebanon",Beirut,+961 1 983 347,http://microsoft.com/,https://www.google.com/maps/search/?api=1&query=Microsoft%20Lebanon&query_place_id=ChIJKc4PeOgWHxURgOAVdtLO_Zg
pilot-0070,Murex (Mar Elias bldg),duplicate_existing_registry_company,"Matches existing registry entry via domain: Murex (cc-murex, source: master-company-registry.csv/lebanon.csv)",Software company,Lebanon country-wide,Software and IT services,"VFXW+4CC, Beirut, Lebanon",Beirut,+961 1 356 000,http://www.murex.com/,https://www.google.com/maps/search/?api=1&query=Murex%20(Mar%20Elias%20bldg)&query_place_id=ChIJOZEx594WHxURNdqq0HJssLo
pilot-0106,Al Khabir,individual_or_freelancer,"Category ""Certified public accountant"" combined with a bare personal name (no firm/company indicator) suggests an individual practitioner, not an employer organization.",Certified public accountant,Greater Beirut,Accounting/audit/financial services,"VGP5+5QR, Mansourieh, Lebanon",Mansourieh,+961 3 275 125,,https://www.google.com/maps/search/?api=1&query=Al%20Khabir&query_place_id=ChIJ9bzu6xwXHxURk9eanEIUZ-c
pilot-0267,Tony Eid Hage,irrelevant_non_employer,"Category ""Housing society"" with a generic place/residence-like name and no website; no employer evidence.",Housing society,Baabda,Construction and contracting,"VQPF+53Q, Aintoura, Lebanon",Aintoura,,,https://www.google.com/maps/search/?api=1&query=Tony%20Eid%20Hage&query_place_id=ChIJb12sHAA3HxURMwGK7MAspbM
pilot-0288,خلة الحمة,irrelevant_non_employer,"Category ""Housing society"" with a generic place/residence-like name and no website; no employer evidence.",Housing society,Nabatieh,Construction and contracting,"Tebnine, Lebanon",Tebnine,,,https://www.google.com/maps/search/?api=1&query=%D8%AE%D9%84%D8%A9%20%D8%A7%D9%84%D8%AD%D9%85%D8%A9&query_place_id=ChIJ_d1m8QCbHhURdP0m1PGKvw0
pilot-0289,Tamerieh,irrelevant_non_employer,"Category ""Housing society"" with a generic place/residence-like name and no website; no employer evidence.",Housing society,Nabatieh,Construction and contracting,"6FQ2+6P, Touline, Lebanon",Touline,,,https://www.google.com/maps/search/?api=1&query=Tamerieh&query_place_id=ChIJOcdcGgCbHhUR5wQV9SijYC8
pilot-0290,Al Amine house,irrelevant_non_employer,"Category ""Housing society"" with a generic place/residence-like name and no website; no employer evidence.",Housing society,Nabatieh,Construction and contracting,"5FQ9+4J, Chaqra, Lebanon",Chaqra,,,https://www.google.com/maps/search/?api=1&query=Al%20Amine%20house&query_place_id=ChIJWRuLi1ybHhUR0aO6jCqMjMM
pilot-0342,Parking,irrelevant_non_employer,"Google category ""Parking lot"" is generic infrastructure/location, not a company.",Parking lot,Saida/South Lebanon,Logistics and transportation,"H96H+93W, Sidon, Lebanon",Sidon,,,https://www.google.com/maps/search/?api=1&query=Parking&query_place_id=ChIJaVIb2RfwHhURUFETRoNEOfU
pilot-0344,Parking - Saida,irrelevant_non_employer,"Google category ""Parking"" is generic infrastructure/location, not a company.",Parking,Saida/South Lebanon,Logistics and transportation,"H93G+VQC, Sidon, Lebanon",Sidon,,,https://www.google.com/maps/search/?api=1&query=Parking%20-%20Saida&query_place_id=ChIJSZY8CjvwHhUR7zv7hN7ZkhY
pilot-0345,مرآب علي فاضل,irrelevant_non_employer,"Google category ""Parking lot"" is generic infrastructure/location, not a company.",Parking lot,Saida/South Lebanon,Logistics and transportation,"H95J+747, Sidon, Lebanon",Sidon,+961 3 313 711,,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B1%D8%A2%D8%A8%20%D8%B9%D9%84%D9%8A%20%D9%81%D8%A7%D8%B6%D9%84&query_place_id=ChIJ_fJEagDxHhUR-PaKnSp-E8Q
pilot-0349,Sidon Courts,irrelevant_non_employer,"Google category ""Bus stop"" is generic infrastructure/location, not a company.",Bus stop,Saida/South Lebanon,Logistics and transportation,"Sidon, Lebanon",Sidon,,,https://www.google.com/maps/search/?api=1&query=Sidon%20Courts&query_place_id=ChIJ5xdcCAfwHhURSTjx9CibL2o
pilot-0350,Aust,irrelevant_non_employer,"Google category ""Bus stop"" is generic infrastructure/location, not a company.",Bus stop,Saida/South Lebanon,Logistics and transportation,"Sidon, Lebanon",Sidon,,,https://www.google.com/maps/search/?api=1&query=Aust&query_place_id=ChIJdxWGg6n6HhURH9Izyt2z4EU
pilot-0358,Sidon Nejmeh Square,irrelevant_non_employer,"Google category ""Bus stop"" is generic infrastructure/location, not a company.",Bus stop,Saida/South Lebanon,Logistics and transportation,"Sidon, Lebanon",Sidon,,,https://www.google.com/maps/search/?api=1&query=Sidon%20Nejmeh%20Square&query_place_id=ChIJkwjqyBbwHhURUpis-NjXfCk
