review_id,lead_number,raw_name,normalized_name,official_domain,blocker,evidence_urls,action_needed
KW-HOLD-001,1,stc Kuwait,stc Kuwait,https://www.stc.com.kw,"RECLASSIFIED: stc/VIVA Kuwait is a definitely-real, major Kuwait telecom operator (correct domain stc.com.kw) -- the /careers path returned HTTP 403, a bot-block technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] stc.com.kw/careers path returned HTTP 403 this pass; stc/VIVA Kuwait is a well-known real telecom operator but no working page was fetched. No WebSearch available (session budget exhausted) to find an alternate path.

RECOVERY PASS 2 (2026-09-13): Official URL re-confirmed via two independent WebSearch queries as the real, search-engine-indexed official careers portal. Direct WebFetch failed both times (DNS resolution failure; HTTP 403) -- appears to be a tool-side network issue, not a real reachability problem, since search engines crawl it fine. A human opening https://careers.stc.com.kw/ directly in a browser will very likely succeed immediately.

PASS 3 (2026-09-13): Re-attempted via the official sitemap (stc.com.kw/en/sitemap) as a first-party fallback -- also HTTP 403 to direct fetch. The domain-wide block appears to affect all stc.com.kw paths from this tool's network, not just /careers. WebSearch itself continues to index careers.stc.com.kw as live and real. Unresolved by automated means this pass; a human opening it directly in a browser will very likely succeed.",https://careers.stc.com.kw/,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-002,3,Anton,Anton,,"Could not independently confirm a distinct 'Anton' entity separate from Anton Oilfield Services (#4) without WebSearch. Not merged with #4 without evidence per the no-auto-combine rule.

RECOVERY PASS 2 (2026-09-13): Fresh search found a specific 'Anton-OSS' entity actively recruiting in Kuwait (6 Oil, Gas, HSE, Engineering and Administration roles per aggregator). Likely Anton Oilfield Services Group's (#4) Kuwait-specific operating subsidiary/branch, but the relationship is not confirmed first-party -- NOT merged per the no-auto-combine rule.

PASS 3 (2026-09-13): Strengthened. Anton-OSS confirmed to have sustained, recurring Kuwait recruiting activity (multiple postings across 2023 and 2026 per aggregators: '14 fursa 2023', '6 jobs 2026' -- Oil/Gas/HSE/Engineering/Administration roles), not a one-off. Still no dedicated official Anton-OSS domain found (parent Anton Group's domain remains antonoil.com) -- relationship to #4 (Anton Oilfield Services Group) still not first-party confirmed.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-003,4,Anton Oilfield Services / Anton-OSS,Anton Oilfield Services Group,https://en.antonoil.com,"RECLASSIFIED per recovery-pass rule: Anton Oilfield Services Group is a real, HK-listed (ticker 3337), China-based oilfield-services company -- the guessed domain (antonoil.com) failed DNS resolution, which is a wrong-domain/technical problem, not evidence the company is fake. Needs the correct official domain. [RECOVERY PASS 2026-09-13] antonoil.com does not resolve (DNS failure); Wikipedia page URL guess 404'd. Real HK-listed China-based oilfield-services company (public knowledge) but no Kuwait-specific evidence obtained this pass. Relationship to #3 'Anton' not confirmed -- not merged without evidence.

RECOVERY PASS 2 (2026-09-13): Own domain still not directly fetchable (TLS certificate error). Found extremely strong independent confirmation instead: Kuwait Oil Company (KOC) awarded Anton Oilfield Services DMCC a KD35 million (~$113M) maintenance contract for Jurassic Production Facilities 1/2/3 in North Kuwait (RFP-2140425), reported independently by GDN, TradeArabia, Zawya, SaudiGulfProjects, and IndexBox. Real, substantial, verifiable Kuwait operations; only the first-party careers page remains technically blocked.",https://www.zawya.com/en/projects/koc-awards-maintenance-contract-for-north-kuwait-jurassic-plant-410489;https://tradearabia.com/News/465615/KOC-awards-maintenance-contract-for-North-Kuwait-Jurassic-plant/CONS,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-004,7,Majid Al Futtaim,Majid Al Futtaim,https://www.majidalfuttaim.com,"Careers page fetched but only references Dubai HQ and UAE-national programs; no Kuwait mention found, but MAF is a very large Gulf-wide mall/retail/cinema conglomerate with plausible Kuwait operations (VOX Cinemas, Carrefour franchise) -- absence of Kuwait mention on one page is not conclusive negative evidence. Needs a human/future pass with working search to check MAF's specific Kuwait retail/mall operations.

RECOVERY PASS 2 (2026-09-13): Confirmed VOX Cinemas operates one cinema in Kuwait (own-brand fact). No Kuwait-specific careers/job confirmed via direct fetch this pass; MAF's careers portal remains generic.",https://www.majidalfuttaim.com/en/careers,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-005,8,Syntys,Syntys,,"No confident official domain identified without WebSearch. Relationship to Kuwait Digital Hub (#9) not resolved -- not merged without evidence.

RECOVERY PASS 2 (2026-09-13): Real entity confirmed: Syntys is Ooredoo's rebranded data-center business (formed 2025, following an investment from Iron Mountain, #6), HQ Doha, Qatar, but operates a real physical data center in Kuwait City (Ooredoo Tower, Al-Soor St). Relationship to Kuwait Digital Hub (#9) remains unconfirmed. No official careers page found; presence is a data-center facility, not confirmed as a local hiring employer.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-006,10,Emerson,Emerson Electric Co.,https://www.emerson.com,"RECLASSIFIED: Emerson is a definitely-real global industrial-automation company -- careers page fetch was inconclusive (generic content only), a technical/interaction limitation of static fetching, not an identity problem. [RECOVERY PASS 2026-09-13] Careers page fetch succeeded but showed only generic global content (no location search results retrievable); a follow-up attempt at a different URL 404'd. Real global company, Kuwait presence plausible but not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation obtained beyond aggregator mentions (jobs.laimoon.com/kuwait/emerson).",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-007,11,IHG Hotels & Resorts,IHG Hotels & Resorts,https://www.ihg.com,"Reservation/location-listing page returned HTTP 403. IHG is known to operate multiple Gulf-region hotel brands; Kuwait-specific properties not independently confirmed this pass -- needs a human/future pass to identify named Kuwait properties before any row is staged (per policy, the parent brand itself should not be staged separately from confirmed individual properties).

RECOVERY PASS 2 (2026-09-13): Official URL identified via WebSearch (careers.ihg.com/en/search-and-apply/?area=kuwait), snippet confirms 'Holiday Inn' Kuwait postings, but direct WebFetch returned HTTP 403 both attempts. Brand-level lead per task policy -- parent brand should not be staged separately from a confirmed individual property; 'Holiday Inn' Kuwait flagged for a future pass.

PASS 3 (2026-09-13): Two specific named IHG Kuwait properties now confirmed via IHG's own official hotel-detail pages (tier-1): 'Holiday Inn Kuwait Salmiya' (ihg.com/holidayinn/hotels/us/en/kuwait/kwime/hoteldetail, hotel code kwime) and 'Holiday Inn Kuwait Al Thuraya City' (kwikw). Logged as new independent-discovery candidates (see independent-discovery-candidates.csv) rather than promoting the brand-level lead itself, per the established group/property policy. careers.ihg.com remains 403-blocked to direct fetch.",https://careers.ihg.com/en/search-and-apply/?area=kuwait,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-008,16,Apave International,Apave International,https://www.apave.com,"RECLASSIFIED: Apave International is a definitely-real French inspection/testing/certification company -- the specific /en/careers path 404'd, likely a wrong-path problem. [RECOVERY PASS 2026-09-13] Careers page URL guess 404'd. Real French inspection/testing/certification company; Kuwait presence not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): No Kuwait-specific confirmation found; Apave's own site only generically references Middle East expansion.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-009,17,ZainTECH,ZainTECH,https://www.zaintech.com,"Careers page confirmed real (Workable-linked, 'View Open Positions'), but does not itself name Kuwait as an office. ZainTECH is the digital/tech-services subsidiary of Zain Group, whose Kuwait telecom operations are extremely well-established -- plausible Kuwait presence via parent Zain, needs human confirmation before staging.

RECOVERY PASS 2 (2026-09-13): TheOrg.com (business-directory source) lists a 'ZainTECH - Kuwait' office with 13 staff -- secondary evidence, not first-party. Official careers.zaintech.com page and its linked Workable board do not themselves name Kuwait or show a location-filtered listing.",https://www.zaintech.com/careers;https://theorg.com/org/zaintech/offices/kuwait,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-010,18,Kuwait Foundation for the Advancement of Sciences (KFAS),Kuwait Foundation for the Advancement of Sciences (KFAS),https://www.kfas.org.kw,"Direct fetch of kfas.org.kw failed with an expired-certificate error (a technical/access issue, not evidence the organization is not real). KFAS is a well-known, real, prominent Kuwait government-linked science-funding foundation. Needs a re-fetch (certificate issue may be transient) before staging.

RECOVERY PASS 2 (2026-09-13): Not re-attempted this pass; kfas.org.kw's TLS certificate problem was already documented as persistent across https/http in the prior pass. No new information.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
