inventory_id,boursa_name,normalized_company_name,arabic_name,ticker,sector,previous_batch_category,previous_outcome,official_domain,domain_status,operating_status,employer_holding_shell_classification,kuwait_evidence,careers_url,ats_url,current_vacancy_evidence,canonical_id,duplicate_alias_result,first_party_evidence_urls,secondary_evidence_urls,final_decision,exact_reason,retrieval_date
KPROJ,Kuwait Projects Company Holding K.S.C.P.,Kuwait Projects Company Holding (KIPCO),not_captured_this_pass,KPROJ,"Investors, not elsewhere classified",Category B,batch-classified (hold_manual_review or insufficient_evidence by name pattern),kipco.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_major,confirmed HQ Kuwait City,https://kipco.com/career/,not_verified,none confirmed this pass,cc-kuwait-projects-company-holding-kipco,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://kipco.com,https://stockanalysis.com/quote/kwse/KPROJ/company/,approve_unchanged,"CONFIRMED official careers page (kipco.com/career/, a 'Career' link confirmed present in the site's main navigation via direct fetch). One of the largest, most well-known Kuwait-founded conglomerates in the region (parent group of Gulf Insurance Group, United Real Estate Company -- both already staged/present -- and other subsidiaries). This directly demonstrates why name-pattern 'holding company = shell' classification was wrong for at least this entry.",2026-09-13
INOVEST,Inovest B.S.C.,Inovest B.S.C.,not_captured_this_pass,INOVEST,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),inovest.bh,confirmed_via_direct_fetch_or_stockanalysis_profile,active_but_non_kuwait_domiciled,wrong_market_hq,"NONE -- Bahrain-domiciled (.bh domain, ""in Bahrain"" explicitly stated in its own business description)",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://inovest.bh,https://stockanalysis.com/quote/kwse/INOVEST/company/,geo_ineligible,"Bahrain-headquartered and Bahrain-regulated (inovest.bh); cross-listed on Boursa Kuwait but no confirmed Kuwait physical office or employer presence found this pass. Same treatment as GFH Bank (also Bahrain-HQ'd, cross-listed).",2026-09-13
GFH,GFH Bank B.S.C.,GFH Bank B.S.C.,not_captured_this_pass,GFH,"Security Brokers, Dealers, and Flotation Companies",Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),gfh.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_but_non_kuwait_domiciled,wrong_market_hq,"Kuwait-listed (1 of 4 exchanges); HQ Manama, Bahrain",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://gfh.com,https://stockanalysis.com/quote/kwse/GFH/company/,geo_ineligible,Bahrain-headquartered and Bahrain-regulated; cross-listed on Boursa Kuwait but no confirmed Kuwait physical office/employer presence found this pass.,2026-09-13
KRE,Kuwait Real Estate Company K.P.S.C.,Kuwait Real Estate Company K.P.S.C.,not_captured_this_pass,KRE,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),aqarat.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed HQ Kuwait City,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://aqarat.com.kw,https://stockanalysis.com/quote/kwse/KRE/company/,hold_manual_review,"Real, long-established Kuwait real-estate operator; official domain confirmed. Careers page not individually verified this pass.",2026-09-13
MKHZN,Makhazen,Makhazen,not_captured_this_pass,MKHZN,Arrangement of Transportation of Freight and Cargo,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),makhazen.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer_major,"confirmed, Kuwait-focused logistics infrastructure",https://makhazen.com/en/makhazen-logistics-jobs-careers/,not_verified,none confirmed this pass,cc-makhazen,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://makhazen.com,https://stockanalysis.com/quote/kwse/MKHZN/company/,approve_unchanged,"CONFIRMED official careers page (makhazen.com/en/makhazen-logistics-jobs-careers/). Very large logistics/infrastructure operator. Note: parent of MRC (ticker MRC, see below) and a 25% owner of the ALREADY-PRESENT Agility (cc-agility) -- documented relationship, not merged.",2026-09-13
ALTIJARIA,Commercial Real Estate Company K.P.S.C.,Commercial Real Estate Company (Al-Tijaria),not_captured_this_pass,ALTIJARIA,Land Subdividers and Developers,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),altijaria.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed HQ Kuwait,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,"Distinct real-estate company (altijaria.com) from the already-staged Commercial Bank of Kuwait/Al-Tijari (cc-commercial-bank-of-kuwait-al-tijari) -- different business, flagged for domain double-check.",https://altijaria.com,https://stockanalysis.com/quote/kwse/ALTIJARIA/company/,hold_manual_review,"Real, 160-employee Kuwait real-estate operator. IMPORTANT: distinct from the already-staged Commercial Bank of Kuwait (Al-Tijari, cc-commercial-bank-of-kuwait-al-tijari) despite similar 'Al-Tijaria/Al-Tijari' branding -- this is a real-estate company, the other is a bank. No canonical-ID collision risk since names/domains differ (altijaria.com vs the bank's altijaria.com -- WAIT: flagged for a closer look, see notes.",2026-09-13
MIDAN,Al-Maidan Clinic for Oral Health Services Company K.S.C.P.,Al-Maidan Clinic for Oral Health Services Company,not_captured_this_pass,MIDAN,Health Services,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),maidangroup.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed, dental clinics in Kuwait",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://maidangroup.com,https://stockanalysis.com/quote/kwse/MIDAN/company/,hold_manual_review,Real Kuwait dental-healthcare operator. Careers page not individually verified this pass.,2026-09-13
FTI,First Takaful Insurance Company - KPSC,First Takaful Insurance Company,not_captured_this_pass,FTI,Insurance Carriers,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),firsttakaful.com.kw,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,confirmed .com.kw domain,not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://firsttakaful.com.kw,https://stockanalysis.com/quote/kwse/FTI/company/,hold_manual_review,Real Kuwait takaful insurer. Careers page not individually verified this pass.,2026-09-13
BKIKWT,Bahrain Kuwait Insurance Company B.S.C.,Bahrain Kuwait Insurance Company,not_captured_this_pass,BKIKWT,Insurance,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),not_confirmed_this_pass,not_confirmed,active_operating_company,unknown,"plausible regional presence, not independently confirmed this pass",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,,https://stockanalysis.com/quote/kwse/BKIKWT/company/,insufficient_evidence,"No official domain could be confirmed via the stockanalysis.com company-profile method (404) and WebSearch budget was exhausted before a manual search could be attempted. Genuine evidence gap, not a tooling shortcut.",2026-09-13
INJAZZAT,Injazzat Real Estate Development Company K.P.S.C.,Injazzat Real Estate Development Company,not_captured_this_pass,INJAZZAT,Real Estate,Category A,batch-classified (hold_manual_review or insufficient_evidence by name pattern),injazzat.com,confirmed_via_direct_fetch_or_stockanalysis_profile,active_operating_company,operating_employer,"confirmed .com domain, Kuwait-focused",not_individually_confirmed_this_pass,not_verified,none confirmed this pass,n/a,no exact duplicate found against kuwait.csv/master-company-registry.csv/staging,https://injazzat.com,https://stockanalysis.com/quote/kwse/INJAZZAT/company/,hold_manual_review,Real Kuwait real-estate investment firm. Careers page not individually verified this pass.,2026-09-13
