internal_row_id,canonical_name,linkedin_company_url,linkedin_status,linkedin_evidence_url,linkedin_identity_confidence,linkedin_notes
pilot-0003,Optimal Solutions,,ambiguous_multiple_matches,,low,"WebSearch surfaced 'Optimal Solutions Inc.' and 'Optimal Solutions Group' LinkedIn pages, but neither was confirmed as this Beirut entity; no Lebanon-specific company page identified within budget."
pilot-0004,Scope for IT services,https://www.linkedin.com/company/scope-for-it-services,verified_official_company_page,https://www.linkedin.com/company/scope-for-it-services,high,WebSearch directly returned 'Scope for IT Services | LinkedIn' matching the canonical company name exactly; page itself was not fetched per policy.
pilot-0006,EDM - Beirut,https://www.linkedin.com/company/engineering-design-&-manufacturing/,verified_official_company_page,https://www.linkedin.com/company/engineering-design-&-manufacturing/,medium,"WebSearch returned 'EDM - Software Solutions | LinkedIn' at this URL, matching the full legal name (Engineering Design & Manufacturing) confirmed on the company website; the '&' in the URL is as returned by search and may be an encoding artifact of the actual LinkedIn slug (page itself not fetched per policy)."
pilot-0014,ROY TECH,,ambiguous_multiple_matches,,low,"WebSearch found 'Roytech Solutions' on the India-region LinkedIn subdomain (in.linkedin.com) plus several unrelated 'RoyTech' entities (aerospace, automation, plastics recycling) in other countries; no confirmed Beirut-specific company page."
pilot-0015,FitnessForce Software,https://in.linkedin.com/company/fitnessforce-club-management-software,likely_match_needs_review,https://in.linkedin.com/company/fitnessforce-club-management-software,medium,"Found LinkedIn page is the global parent company's India-region page ('FitnessForce Gym Management Software'); no separate Lebanon-specific subsidiary page exists, but it represents the same corporate entity behind the Maps listing."
pilot-0017,Esri Lebanon,https://www.linkedin.com/company/esri-lebanon,verified_official_company_page,https://www.linkedin.com/company/esri-lebanon,high,"Exact name match; independently corroborates company existence, Lebanon location, and GIS/software industry."
pilot-0018,ISS - Software Hive,https://www.linkedin.com/company/iss-lebanon,verified_official_company_page,https://www.linkedin.com/company/iss-lebanon,high,"28 employees, Australia Street Beirut Raouche address matches; part of ICC Group."
pilot-0019,Terabyte Computers - Msaytbeh,https://www.linkedin.com/company/terabyte-computers,likely_match_needs_review,https://www.linkedin.com/company/terabyte-computers,medium,"Exact name match on the company-page URL, but search snippet did not surface independent corroborating detail (address/employee count) to raise confidence to high."
pilot-0020,The Eighth Miracle s.a.r.l,https://www.linkedin.com/company/theeighthmiracle,verified_official_company_page,https://www.linkedin.com/company/theeighthmiracle,high,"LinkedIn page name 'The Eighth Miracle (S.A.R.L)' matches candidate name including legal suffix exactly; 11-50 employees, Beirut + Qatar offices."
pilot-0021,Blue Boost Agency,,ambiguous_multiple_matches,,low,"Search surfaced 'Blue Boost' (India) and 'Blue Boost Ai', neither clearly matching this Lebanon-based agency; no confident company page identified."
pilot-0023,Xpertise.Agency,,ambiguous_multiple_matches,,low,"Only a weak name-similarity hit ('Xpertise LLC', 75 followers) was found; not confidently the same entity as 'Xpertise.Agency'."
pilot-0024,PromoMedia Lebanon,https://www.linkedin.com/company/promomedia-advertising-&-production,verified_official_company_page,https://www.linkedin.com/company/promomedia-advertising-&-production,high,"13,430-follower page for 'PromOmedia Advertising & Production', part of JGroup Holding (Beirut); described as Lebanon's leading outdoor-advertising media supplier, matching the marketing-agency category and Beirut location exactly."
