internal_row_id,canonical_name,relevance_status,reason_for_review,google_category,address,city,website,google_maps_url,batch_status
uae-pilot-0002,+971 Architects,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Architecture firm,Oud Metha - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=%2B971%20Architects&query_place_id=ChIJVSQTdnlDXz4RB2l9rEJ0lDo,not_enriched_this_pass
uae-pilot-0004,3 Square Interior Design L.L.C.,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Interior designer,67QC+7FH - 30A St - Jumeirah - Jumeira First - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=3%20Square%20Interior%20Design%20L.L.C.&query_place_id=ChIJ2-3HFQBDXz4Rui2dSClEb-I,not_enriched_this_pass
uae-pilot-0005,360 Degree Contracting,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,67PG+V2F - Al Diyafah Street - Al Bada' - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=360%20Degree%20Contracting&query_place_id=ChIJXcAccABDXz4RpJMS5sBaRGk,not_enriched_this_pass
uae-pilot-0015,Abu Talha,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,32 4B St - Al Jafiliya - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Abu%20Talha&query_place_id=ChIJxxdCKABDXz4RFZglIqqzr2o,not_enriched_this_pass
uae-pilot-0019,Accounttax Bookkeepers UAE,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Accounting firm,"Abuhail, Al Zarooni Building - office number 103 - dubai First floor - Ayal Nasir - Deira - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Accounttax%20Bookkeepers%20UAE&query_place_id=ChIJ31nWxI3cvCYRnrJBKjGIjk0,not_enriched_this_pass
uae-pilot-0022,ADHQ Project,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,"E23, الإتحاد - Abu Dhabi - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=ADHQ%20Project&query_place_id=ChIJS1HWhJJpXj4Razra_e0ej_c,not_enriched_this_pass
uae-pilot-0025,AHMAD BIN DESMAL CONTRACTING CO. (L.L.C.),eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Contractor,Dubai Dry Docks - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=AHMAD%20BIN%20DESMAL%20CONTRACTING%20CO.%20(L.L.C.)&query_place_id=ChIJuZQXUwZDXz4Rb_nH3iCifDI,not_enriched_this_pass
uae-pilot-0034,Al Amana Medical center LLC,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Medical Center,"Villa # 183P,Al Wasl Road,Al Badaa - Dubai - United Arab Emirates",,,https://www.google.com/maps/search/?api=1&query=Al%20Amana%20Medical%20center%20LLC&query_place_id=ChIJPQ_KlP9CXz4RvxYzBG7aPUo,not_enriched_this_pass
uae-pilot-0039,Al Ghaith & Co,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Accounting firm,67PH+QX9 - Al Mankhool Rd - Al Jafiliya - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Al%20Ghaith%20%26%20Co&query_place_id=ChIJI1r4IP1CXz4R1nAlTs8H2QQ,not_enriched_this_pass
uae-pilot-0044,Al Hudaiba Contracting J#401,eligible_employer_no_website,No website field returned by Google Maps - cannot verify an official source.,Construction company,10 8A St - Al Bada' - Dubai - United Arab Emirates,,,https://www.google.com/maps/search/?api=1&query=Al%20Hudaiba%20Contracting%20J%23401&query_place_id=ChIJRdDMQwBDXz4RYAQQNKrs3n8,not_enriched_this_pass
