source_name,official_domain,source_category,saudi_coverage,remote_onsite_hybrid_coverage,employer_identity_disclosed,job_urls_stable,pagination_exists,login_required,robots_txt_status,terms_status,anti_bot_notes,recommended_mode,evidence_urls,notes
Jadarat (جدارات) National Employment Platform,jadarat.sa,official_government_job_portal,Country-wide,onsite_primarily,unknown_not_directly_observed,unknown,unknown,unknown_not_confirmed,blocked_http_403_on_robots_fetch_itself,unknown_not_directly_tested,"HTTP 403 on both robots.txt and homepage direct fetch, 2 attempts",manual_review_only,https://jadarat.sa/AboutUs;https://www.spa.gov.sa/en/N2156625;https://my.gov.sa/en/services/19019,"Official HRDF-run national platform replacing legacy Taqat; claims 70,000+ initial vacancies; genuinely the highest-value gap in the existing catalog but not automatable this pass - needs manual browser access."
Taqat (طاقة) Employment Support Program,taqat.sa,official_government_job_portal,Country-wide,onsite,unknown,unknown,unknown,unknown,not_fetched_this_pass,not_fetched_this_pass,not directly tested,discovery_only,https://saudipedia.com/en/taqat-employment-support-program,Historical/legacy note only: multiple independent sources confirm Taqat has been superseded by Jadarat as the primary platform - flagged so it isn't mistakenly treated as a second live portal.
HRDF (Human Resources Development Fund) main site,hrdf.org.sa,government_program_information_site,Country-wide,not_applicable,not_applicable,not_applicable,not_applicable,no,not_checked,not_checked,"none observed, direct fetch succeeded",discovery_only,https://www.hrdf.org.sa/,"Confirmed accessible, no login. Informational gateway to Jadarat/Tamheer/Doroob programs, not itself a job listing surface - useful for program context (Tamheer internship eligibility, Saudization subsidy rules), not for ingesting vacancies."
PIF (Public Investment Fund) portfolio-companies page,pif.gov.sa,government_investment_directory,Country-wide,not_applicable,yes_when_accessible,unknown,unknown,unknown,blocked_http_403,unknown,"HTTP 403 on both /en/ homepage and /en/our-investments/portfolio-companies/, 2 attempts",manual_review_only,https://www.pif.gov.sa/en/;https://saudipedia.com/en/public-investment-fund-investment-portfolios,"Official portfolio-company list would be extremely high-value (93 companies across 13 sectors per third-party sources) but the official domain itself blocked automated fetch both times; third-party mirrors (Saudipedia, vision2030.ai, investriyadh.ai) exist but are secondary evidence only."
Saudi Exchange (Tadawul) Listed Companies Directory,saudiexchange.sa,stock_exchange_listed_company_directory,Country-wide,not_applicable,yes_when_accessible,unknown,unknown,unknown,blocked_http_403,unknown,HTTP 403 on direct fetch,manual_review_only,https://www.saudiexchange.sa/,Analogous to the UAE pass's stock-exchange-directory gap; officially the authoritative list of all Tadawul-listed public companies but blocked this pass - needs a manual browser visit or retry.
Jeddah Chamber of Commerce & Industry (JCCI),jcci.org.sa,chamber_of_commerce_directory,Jeddah_Mecca_region,not_applicable,partial,unknown,unknown,no_for_public_browsing,not_checked,not_checked,"none observed, direct fetch succeeded",discovery_only,https://www.jcci.org.sa/,"Genuine geographic gap fill: existing catalog only had Riyadh/Asharqia/national-umbrella chambers, zero Jeddah-specific coverage before this. Directs to a separate Blue Pages directory (next row) for actual company listings."
BluePages Business Directory (Saudi Chambers-partnered),bluepages.com.sa,general_business_directory,Country-wide_city_and_category_filterable,not_applicable,yes,unknown,yes,no_for_browsing_optional_for_registration,not_checked,not_checked,"none observed, direct fetch succeeded",discovery_only,https://bluepages.com.sa/,"Business directory explicitly partnered with Saudi chambers of commerce; filterable by country/city/category, Arabic-language interface, no mandatory login. Good candidate for a future deeper pass (individual field structure not confirmed this pass)."
Mihnati.com,mihnati.com,job_board,Country-wide_70_plus_cities_filterable,onsite_primarily,yes,unknown,yes_read_more_link,no,robots_txt_disallows_ar_path_among_others,not_checked,none on homepage fetch itself,manual_review_only,https://www.mihnati.com/,"Public, no-login job board (claims 100K+ jobs, 52K+ companies) with real employer names visible and city/salary/sector filters. robots.txt disallows /ar/ path (likely the Arabic listing path) plus several other directories; sitemap points to rozee.pk, suggesting Mihnati runs on the same platform as the Pakistani job board Rozee.pk. Because the disallow may cover the actual listing pages, do not treat as approved without confirming the exact listing URL structure against robots.txt."
Wadhefa.com (وظيفة.كوم),wadhefa.com,job_board,Country-wide,onsite_primarily,yes,unknown,yes,no,robots_txt_confirmed_crawl_delay_30s_specific_disallows,not_checked,none observed on fetch,manual_review_only,https://www.wadhefa.com/,"Public, no-login board mixing government/major-employer announcements (e.g., Aramco) with private employer postings. robots.txt sets a 30s crawl-delay and disallows admin/internal paths plus /list_featured_jobs/ specifically - that disallowed path may be a core listing surface, so treat as needing manual confirmation before automation."
Tanqeeb Saudi Arabia (تنقيب),saudi.tanqeeb.com,job_board,Country-wide_Riyadh_specific_pages_seen,onsite_primarily,unknown,unknown,unknown,unknown,empty_or_unreachable_on_fetch,not_checked,WebFetch of both /robots.txt and /ar returned empty content - likely JS-rendered or silently blocking automated fetchers,manual_review_only,https://saudi.tanqeeb.com/ar,"Confirmed as a real, actively-indexed Saudi job board via search snippets (city-specific pages found, e.g. Riyadh jobs), but direct automated fetch returned no usable content this pass - needs a manual browser visit or JS-capable method."
GulfTalent Saudi Arabia (dedicated jobs page),gulftalent.com,job_board,Country-wide,onsite_primarily,yes,unknown,yes_numbered_pages,no_for_browsing,robots_txt_explicitly_blocks_ClaudeBot_and_similar_AI_bots,not_checked,"Generic User-agent: * allows crawling, but ClaudeBot is explicitly named and blocked",manual_review_only,https://www.gulftalent.com/saudi-arabia/jobs;https://www.gulftalent.com/robots.txt,"High-volume (6,367 live Saudi postings observed), real employer/agency names shown, paginated, no login to browse. IMPORTANT: robots.txt explicitly disallows ClaudeBot by name even though it allows generic crawlers - this directly blocks a Claude-based automated ingestion pipeline regardless of the general Allow: / rule, so this cannot be approved_for_automated_ingestion for this project's tooling specifically."
NADIA Global (Saudi Arabia recruitment agency),nadiaglobal.sa,recruitment_agency,Riyadh_Jeddah_Dammam,onsite_and_remote_placements,no,not_applicable,no,not_applicable,not_checked,not_checked,main .sa domain has no listing surface; linked candidate portal (nadia-me.com/jobs) 404'd on the guessed path,manual_review_only,https://www.nadiaglobal.sa/;https://www.nadiaglobal.com/recruitment-agency-in-saudi-arabia/,"B2B executive-search/RPO firm operating in Saudi Arabia since well-established presence; client employer names are NOT disclosed on the main site (anonymized testimonials only) - this is a real, reusable-adjacent recruitment source but not an ingestible job board as currently confirmed. Candidate job-listing portal exists (nadia-me.com) but correct path not located this pass."
Avensys Consulting,aven-sys.com,recruitment_agency,Riyadh,onsite_and_remote_placements,no,unknown,unknown,unknown,not_checked,not_checked,none observed on fetch,manual_review_only,https://aven-sys.com/recruitment-agency-in-saudi-arabia/;https://aven-sys.com/careers/,"Singapore-HQ IT staffing/recruitment agency; self-describes as leading Recruitment Agency in Riyadh. Client vacancies, not a direct employer -- surfaced via the supplied LinkedIn lead list rather than independent source discovery."
Scout Global,scout-global.com,recruitment_agency,not_confirmed,unknown,no,unknown,unknown,unknown,not_checked,not_checked,none observed on fetch,discovery_only,https://scout-global.com/vacancies/;https://scout-global.com/,Global GTM talent-recruitment firm; no Saudi Arabia-specific presence confirmed this pass -- kept at discovery_only pending confirmation of actual Saudi coverage.
SmartChoice International GCC,smartchoice-international.com,recruitment_agency,Riyadh,onsite,no,unknown,unknown,unknown,not_checked,not_checked,none observed on fetch,manual_review_only,https://www.smartchoice-international.com/about;https://sabbar.com/en/jobs/c-riyadh-r-business-development-manager,Doha-based IT staffing/consulting firm with a confirmed Riyadh hire; client identity not disclosed on own site.
Jobgether,jobgether.com,remote_job_board,Country-wide_remote,remote_only,yes,unknown,yes,no,not_checked,not_checked,none observed on fetch,manual_review_only,https://jobgether.com/remote-jobs/saudi-arabia,"Remote-job aggregator with Saudi Arabia-specific category pages (data, cybersecurity, sales); reusable source, employer identity disclosed per listing."
