lead_number,raw_name,relationship_type,points_to,decision,notes
98,"Nalco Water, an Ecolab Company",brand_division_or_subsidiary,#99,not staged separately,"Nalco Water is publicly documented as Ecolab's water-treatment division/brand globally (corporate-structure fact, independent of Kuwait-specific confirmation). Treated as an alias of Ecolab (#99) rather than a separate row. Ecolab's own Kuwait presence is itself only hold_manual_review pending confirmation -- if Ecolab is not ultimately staged for Kuwait, this alias entry would not be staged either."
114,Marriott International,brand_division_or_subsidiary,"#50,#13,#80",not staged separately,"Parent brand of the individually-named Kuwait properties supplied separately (JW Marriott Kuwait #50, Courtyard by Marriott #13, Marriott Executive Apartments Kuwait City #80). Per the group/property reconciliation policy (consistent with the Qatar-pass precedent for Accor/Minor Hotels brands), the parent brand itself is not staged as a separate row -- only individually-confirmed properties would be, if evidence supports them. None of the three named Kuwait properties were independently confirmed via direct fetch this pass (Marriott property-search returned HTTP 403 each time)."
115,Alghanim Industries – Food and Beverage,brand_division_or_subsidiary,#14,not staged separately,"A business division of the already-present Alghanim Industries (#14, cc-alghanim-industries), not an independently confirmed distinct legal entity. Not staged as a separate row."
116,Kuwait National Bank/NBK employer entry,exact_restatement_in_supplied_list,#81,not staged separately,"Explicit naming-variant restatement of the already-present National Bank of Kuwait (#81, cc-national-bank-of-kuwait). Not a separate row."
120,Millennium Hotels Kuwait group/property relationship,meta_group_reconciliation,"#37,#41",not staged separately,"Meta-item, not an independent lead. Each individually-named Kuwait property (Millennium Hotel & Convention Centre Kuwait #37, Millennium Central Kuwait Downtown Hotel #41) is treated as a distinct potential legal/operating entity at its own address; there is no single umbrella 'Millennium Hotels Kuwait' company to separately stage."
121,Hyatt Kuwait group/property relationship,meta_group_reconciliation,"#59,#90",not staged separately,"Meta-item, not an independent lead. Points to the two individually-named properties: Grand Hyatt Kuwait (#59) and Hyatt Regency Kuwait (#90). No separate umbrella 'Hyatt Kuwait' company to stage."
122,Marriott Kuwait group/property relationship,meta_group_reconciliation,"#114,#50,#13,#80",not staged separately,"Meta-item, not an independent lead. Points to the individually-named properties under parent Marriott International (#114): JW Marriott Kuwait (#50), Courtyard by Marriott (#13), Marriott Executive Apartments Kuwait City (#80)."
123,Hilton Kuwait group/property relationship,meta_group_reconciliation,#20,not staged separately,"Meta-item, not an independent lead. Points to the 4 confirmed Hilton-brand Kuwait properties found under lead #20: Hilton Garden Inn Kuwait, Waldorf Astoria Kuwait, Hampton by Hilton Kuwait Salmiya, and Hilton Kuwait Mangaf Resort (Coming Soon)."
128,Spa Staff.com,exact_restatement_in_supplied_list,"#87,#87",not staged separately,"Exact restatement of item #87 (SpaStaff / Spa Staff.com), supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #87."
129,SSC HR Solutions,exact_restatement_in_supplied_list,"#44,#44",not staged separately,"Exact restatement of item #44, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #44."
130,Libera Consultants,exact_restatement_in_supplied_list,"#76,#76",not staged separately,"Exact restatement of item #76, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #76."
131,HRInvest/HRIInvest,exact_restatement_in_supplied_list,"#29,#29",not staged separately,"Exact restatement of item #29, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #29."
