internal_row_id,canonical_name,relevance_status,reason_for_review,google_category,address,city,website,google_maps_url,batch_status
pilot-0377,"Masbanat Awaida, Since 1880",likely_employer_needs_verification,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Historical landmark,"الشارع الرئيسي, Tripoli, Lebanon",Tripoli,http://www.masbanatawaida.com/,https://www.google.com/maps/search/?api=1&query=Masbanat%20Awaida%2C%20Since%201880&query_place_id=ChIJU9xVyR30IRURdzhMWeI0shU,web_verification_complete
pilot-0029,ReKreate Digital Marketing Agency,eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=no_company_page_found,Marketing agency,,,http://www.rekreateagency.com/,https://www.google.com/maps/search/?api=1&query=ReKreate%20Digital%20Marketing%20Agency&query_place_id=ChIJ1xKwWDdepYgR_qfgHIJvRBk,web_verification_complete
pilot-0030,Focus Far - Digital Marketing Agency,eligible_employer,website=inaccessible; careers=unavailable_not_found; linkedin=no_company_page_found,Marketing agency,"Silver Tower, Tamer Mallat Street, 4th floor, Lebanon",4th floor,http://www.wefocusfar.com/,https://www.google.com/maps/search/?api=1&query=Focus%20Far%20-%20Digital%20Marketing%20Agency&query_place_id=ChIJgwzzsaYXHxURTerhBunsZWc,web_verification_complete
pilot-0031,Loewe Digital,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Marketing agency,"Baalbaki Building, Makdisi, Beirut, Lebanon",Beirut,https://loewedigital.com/,https://www.google.com/maps/search/?api=1&query=Loewe%20Digital&query_place_id=ChIJI-usX1eAOYoRPLQPeTzjP6Y,web_verification_complete
pilot-0032,IIS E-Solutions Digital Marketing agency,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Marketing agency,"Al-Markazia building, Lebanon",Lebanon,https://www.iislb.com/,https://www.google.com/maps/search/?api=1&query=IIS%20E-Solutions%20Digital%20Marketing%20agency&query_place_id=ChIJ87QZOmQXHxURqGI2ibHZzO0,web_verification_complete
pilot-0035,Scent it,eligible_employer,website=likely_official_needs_review; careers=unavailable_not_found; linkedin=no_company_page_found,Promotional products supplier,"Cola, Beirut, Lebanon",Beirut,https://xlhyimcjkkpg.manus.space/#contact,https://www.google.com/maps/search/?api=1&query=Scent%20it&query_place_id=ChIJPfxMYhgXHxURjaGcW1srY6M,web_verification_complete
pilot-0040,Incoding,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"St 3rd Floor, Le Bureau Building, Pierre Gemayel, Mathaf, Beirut, Lebanon",Beirut,https://incoding.dev/,https://www.google.com/maps/search/?api=1&query=Incoding&query_place_id=ChIJKY98Or4XHxUR7PxrT63NOD4,web_verification_complete
pilot-0041,Ciatek IT Services,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"Mazraa, Beirut, Lebanon",Beirut,https://ciatek.net/,https://www.google.com/maps/search/?api=1&query=Ciatek%20IT%20Services&query_place_id=ChIJE6k5GAgXHxUR7SCIMbYZrI0,web_verification_complete
pilot-0042,ArabiaGIS K&A Plus sal,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=verified_official_company_page,Software company,"K&A building، Al Akhtal Al Saghir, Jnah, Lebanon",Jnah,http://www.arabiagis.com/,https://www.google.com/maps/search/?api=1&query=ArabiaGIS%20K%26A%20Plus%20sal&query_place_id=ChIJ7Tx-PigXHxURwek47jPpqmo,web_verification_complete
pilot-0043,XiomLabs,eligible_employer,website=verified_official; careers=unavailable_not_found; linkedin=no_company_page_found,Software company,"VGX5+67C, Beirut, Lebanon",Beirut,https://www.xiomlab.com/,https://www.google.com/maps/search/?api=1&query=XiomLabs&query_place_id=ChIJW-vCUgAXHxURDBij3PJ3tuQ,web_verification_complete
