raw_email,normalized_email,apparent_company,first_party_evidence_found,evidence_type,final_status,changed_from_prior_pass,evidence_urls,notes
CV@Arabianfal.com,cv@arabianfal.com,Arabian Fal,no,none,third_party_or_free_mail_unverified,no,https://arabianfal.com/apply_cv/,"Careers page uses a web form + lists info@arabianfal.com; not re-fetched this pass, reasoning reviewed and upheld."
Cv@aldawaa.com.sa,cv@aldawaa.com.sa,Al-Dawaa Pharmacies,no,none,domain_mismatch_or_suspicious,no,https://careers.al-dawaa.com/,Re-fetch of aldawaa.com.sa returned an empty/inconclusive response this pass; classification upheld.
Hr.qrm@hotmail.com,hr.qrm@hotmail.com,unknown (free mail),no,none,third_party_or_free_mail_unverified,no,none,"Free mail, upheld."
Rec@alojaimi.com,rec@alojaimi.com,Alojaimi Holding,no,none,third_party_or_free_mail_unverified,no,https://alojaimi.com,Not re-fetched; reasoning upheld.
Recruitment@rawabiholding.com,recruitment@rawabiholding.com,Rawabi Holding,no,none,third_party_or_free_mail_unverified,no,https://careers.rawabiholding.com/en/login,"Login-gated ATS, no public email; upheld."
Job.s6@hotmail.com,job.s6@hotmail.com,unknown (free mail),no,none,third_party_or_free_mail_unverified,no,none,"Free mail, upheld."
Careers@dnata.com,careers@dnata.com,dnata (Emirates Group),no,none,third_party_or_free_mail_unverified,no,https://www.dnata.com/en/careers/,FLAG: Saudi presence remains unclear/weak; recommend deprioritizing on promotion.
Hr@alesayi_motors.com,hr@alesayi_motors.com,Alesayi Motors,no,none,domain_mismatch_or_suspicious,no,https://careers.alesayi.com/,Underscore invalid in DNS hostname; upheld.
Hr@alarayan.com,hr@alarayan.com,unknown,no,none,company_identity_unresolved,no,none,Upheld.
Recruiting.ksa@mcmermott.com,recruiting.ksa@mcmermott.com,possibly McDermott (unconfirmed),no,none,domain_mismatch_or_suspicious,no,https://www.mcdermott.com/careers/search-apply,RE-VERIFIED: fresh fetch of mcmermott.com returned DNS ENOTFOUND (domain does not resolve). Strengthens the suspicious classification.
Recruitment@aytb.com,recruitment@aytb.com,AYTB,no,none,third_party_or_free_mail_unverified,no,https://www.gulftalent.com/companies/aytb,Upheld.
Wadaef@gtecorp.com,wadaef@gtecorp.com,GTE,no,none,third_party_or_free_mail_unverified,no,https://gte.sa/careers,Upheld.
Careers@nesr.com,careers@nesr.com,NESR,no,none,third_party_or_free_mail_unverified,no,https://www.nesr.com/careers.html,"Form-based application, not email; upheld."
Recruit@farm.com.sa,recruit@farm.com.sa,Farm/SAMCO,no,none,third_party_or_free_mail_unverified,no,https://www.farm.com.sa/en/Contact_Us,Upheld.
Info@alhumamlaw.com,info@alhumamlaw.com,Al-Hamam Law Firm,yes,official_page,official_general_contact_not_recruitment,no,http://alhumamlaw.com/,"Generic firm inbox, upheld."
Hr1@gulfteksaudi.com,hr1@gulfteksaudi.com,GulfTek Saudi,no,none,third_party_or_free_mail_unverified,no,http://www.gulfteksaudi.com/,Upheld.
Catcosa@catcosa.com,catcosa@catcosa.com,unknown,no,none,domain_mismatch_or_suspicious,yes (upgraded from company_identity_unresolved),none,"RE-VERIFIED: fresh fetch returned a TLS cert mismatch (cert for *.sucuri.net, not catcosa.com) -- new red flag found this pass."
Cv@tafear.com,cv@tafear.com,TAFE Arabia,no,none,third_party_or_free_mail_unverified,no,https://www.linkedin.com/company/tafear,"DATA-QUALITY FLAG: official_domain_confirmed=yes is only backed by a LinkedIn page, not a fetched company domain -- recommend downgrading to partial."
Recruitment@sraco.com.sa,recruitment@sraco.com.sa,SRACO,no,none,third_party_or_free_mail_unverified,no,https://sraco.com.sa/careers/,Upheld.
Career@sidco.com.sa,career@sidco.com.sa,SIDCO,no,none,third_party_or_free_mail_unverified,no,https://sidco.com.sa/,Upheld.
Info@atco.com.sa,info@atco.com.sa,ATCO Group,yes,official_page,official_general_contact_not_recruitment,no,"https://www.glassdoor.com/Overview/Working-at-ATCO-Group-EI_IE1101852.11,21.htm",Upheld.
HRdepartmental@sa.yokogawa.com,hrdepartmental@sa.yokogawa.com,Yokogawa Saudi Arabia,no,none,third_party_or_free_mail_unverified,no,https://www.yokogawa.com/about/careers/,Upheld.
Recruitment@shadeco.com,recruitment@shadeco.com,SHADE Corporation,no,none,third_party_or_free_mail_unverified,no,https://shadeco.com/careers,Upheld.
