source_name,official_domain,source_category,saudi_coverage_real_or_generic,employer_identity_disclosed,posts_direct_vacancies_or_discovery_only,job_urls_stable,robots_txt_findings,anti_bot_notes,final_status,changed_from_prior_pass,evidence_urls,notes
Jadarat National Employment Platform,jadarat.sa,official_government_job_portal,real_saudi_specific,unknown,direct_vacancies,unknown,"HTTP 403 on robots.txt itself, re-confirmed this pass","403 on homepage and robots.txt, 2nd independent re-check",manual_review_only,no -- re-confirmed identical,https://jadarat.sa/AboutUs;https://www.spa.gov.sa/en/N2156625,Re-fetch of https://jadarat.sa/robots.txt returned HTTP 403 again. No change.
Taqat Employment Support Program,taqat.sa,official_government_job_portal,real_saudi_specific_legacy,unknown,discovery_only,unknown,connection reset (ECONNRESET) on robots.txt fetch,"domain appears unstable/decommissioned, consistent with legacy status",discovery_only,"no -- newly attempted, consistent with superseded status",https://saudipedia.com/en/taqat-employment-support-program,"First robots.txt fetch attempt this pass (prior pass never tried); ECONNRESET reinforces that this is a legacy platform, not a second live portal."
HRDF main site,hrdf.org.sa,government_program_information_site,real_saudi_specific,not_applicable,discovery_only,not_applicable,"User-agent: * / Allow: / -- fully open, no AI-bot blocks",none,discovery_only,"no (status unchanged) but robots.txt now positively confirmed fully open, was not_checked before",https://www.hrdf.org.sa/,"Technically unrestricted, but still informational-only (no vacancy listings) so status doesn't change."
PIF portfolio-companies page,pif.gov.sa,government_investment_directory,real_saudi_specific,yes_when_accessible,discovery_only,unknown,"HTTP 403 on robots.txt itself, re-confirmed","403 on homepage and robots.txt, 2nd independent re-check",manual_review_only,no -- re-confirmed identical,https://www.pif.gov.sa/en/;https://saudipedia.com/en/public-investment-fund-investment-portfolios,Re-fetch of https://www.pif.gov.sa/robots.txt returned HTTP 403 again. No change.
Saudi Exchange (Tadawul) Listed Companies Directory,saudiexchange.sa,stock_exchange_listed_company_directory,real_saudi_specific,yes_when_accessible,discovery_only,unknown,"HTTP 403 on robots.txt itself, re-confirmed",403 confirmed on 2nd independent re-check,manual_review_only,no -- re-confirmed identical,https://www.saudiexchange.sa/,Re-fetch of https://www.saudiexchange.sa/robots.txt returned HTTP 403 again. No change.
Jeddah Chamber of Commerce & Industry (JCCI),jcci.org.sa,chamber_of_commerce_directory,real_saudi_specific_jeddah,partial,discovery_only,unknown,"User-agent: * / Disallow: -- fully open, no AI-bot blocks","none, HTTP 200",discovery_only,no (status unchanged) but robots.txt now positively confirmed fully open (was not_checked),https://www.jcci.org.sa/,"Technical access is clean and fully open, but JCCI itself has no job listings (links out to BluePages) -- discovery_only remains correct."
BluePages Business Directory,bluepages.com.sa,general_business_directory,real_saudi_specific_filterable,yes,discovery_only,unknown,"User-agent: * / Allow: / -- fully open, no AI-bot blocks","none, HTTP 200","approved_for_automated_ingestion (UPGRADED, for company-directory data only -- not job vacancies)","yes -- upgraded from discovery_only after confirming fully open robots.txt, no login required for browsing, employer identity disclosed, filterable",https://bluepages.com.sa/,"Genuine upgrade: technical access + policy evidence both now confirmed clean. Caveat: this ingests company/business directory data, not job vacancies -- do not conflate with vacancy-source approval."
Mihnati.com,mihnati.com,job_board,real_saudi_specific_70plus_cities,yes,direct_vacancies,unknown,"User-agent: * disallows /hiring/, /people/, /ar/, plus /page/, /symbol/, beta/demo paths -- NO AI-bot-specific block found",none beyond the disallow list,manual_review_only,"yes -- STRENGTHENED finding: prior pass only flagged the /ar/ disallow; this re-check found /hiring/ and /people/ are ALSO disallowed, and those read as far more likely to be the actual job-listing/employer-profile paths than /ar/",https://www.mihnati.com/;https://www.mihnati.com/robots.txt,"Correction to prior pass: the disallowed paths most likely to matter for ingestion are /hiring/ and /people/, not just /ar/. This makes the case for manual_review_only stronger, not weaker."
Wadhefa.com,wadhefa.com,job_board,real_saudi_specific,yes,direct_vacancies,unknown,"User-agent: *, crawl-delay 30, disallows /list_featured_jobs/, /resumes/, /search_resumes/, admin/dev paths -- no AI-bot-specific block",30s crawl-delay enforced,manual_review_only,"no -- re-confirmed identical, plus newly noted /resumes/ and /search_resumes/ disallow (candidate data, not relevant to job ingestion but worth flagging as sensitive)",https://www.wadhefa.com/,Re-fetch matches prior pass exactly. /list_featured_jobs/ disallow still the key blocker for automated ingestion of the likely core listing surface.
Tanqeeb Saudi Arabia,saudi.tanqeeb.com,job_board,real_saudi_specific_claimed,unknown,direct_vacancies,unknown,"empty response on robots.txt fetch, re-confirmed",likely JS-rendered or silently blocking; re-attempt gave zero content again,manual_review_only,no -- re-confirmed identical (still unreachable via automated fetch),https://saudi.tanqeeb.com/ar,No change; still needs a JS-capable/manual browser method.
GulfTalent Saudi Arabia (dedicated jobs page),gulftalent.com,job_board,real_saudi_specific,yes,direct_vacancies,unknown,"EXPLICIT block list: ClaudeBot, anthropic-ai, GPTBot, CCBot, AI2Bot, Google-Extended, and ~15 more named AI crawlers all get Disallow: /; ChatGPT-User/OAI-SearchBot/PerplexityBot are explicitly ALLOWED","generic Allow:/ for other crawlers, 30s delay for SEO bots",manual_review_only,"yes -- CONFIRMED AND STRENGTHENED: re-fetch verifies ClaudeBot is blocked exactly as claimed, AND found this extends to anthropic-ai plus ~15 other named AI/LLM crawlers",https://www.gulftalent.com/saudi-arabia/jobs;https://www.gulftalent.com/robots.txt,"This is a hard, explicit, deliberate policy block against Claude-based tooling specifically -- cannot be approved_for_automated_ingestion for this project under any circumstance while this robots.txt stands."
NADIA Global,nadiaglobal.sa,recruitment_agency,real_saudi_specific,no,discovery_only,not_applicable,"standard WordPress robots.txt (Disallow: /wp-admin/ etc.), no AI-bot block",none,manual_review_only,yes -- DOMAIN CORRECTION: https://www.nadiaglobal.sa/ (recorded in the prior pass) fails DNS resolution (ENOTFOUND); the working domain is the bare https://nadiaglobal.sa/ (no www),https://nadiaglobal.sa/;https://www.nadiaglobal.com/recruitment-agency-in-saudi-arabia/,Before: www.nadiaglobal.sa (broken). After: nadiaglobal.sa (working). Client employer names still not disclosed -- status unchanged otherwise.
Avensys Consulting,aven-sys.com,recruitment_agency,real_saudi_specific_riyadh,no,discovery_only,unknown,"standard WordPress robots.txt, no AI-bot block",none,manual_review_only,"no -- re-confirmed, no material change",https://aven-sys.com/recruitment-agency-in-saudi-arabia/;https://aven-sys.com/careers/,No change.
Scout Global,scout-global.com,recruitment_agency,not_confirmed_generic,no,discovery_only,unknown,"User-agent: * / Disallow: -- fully open, no AI-bot block",none,discovery_only,no -- re-confirmed identical; still no Saudi-specific coverage evidence found,https://scout-global.com/vacancies/;https://scout-global.com/,Technical access clean but Saudi coverage remains unconfirmed -- status correctly stays discovery_only rather than being upgraded on robots.txt alone.
SmartChoice International GCC,smartchoice-international.com,recruitment_agency,real_saudi_specific_riyadh,no,discovery_only,unknown,User-agent: * / Allow: / Disallow: /api/; blocks PetalBot; references a dedicated /llms.txt for language models; no ClaudeBot/GPTBot/CCBot block,10s delay for dotbot/AhrefsBot only,manual_review_only,"yes -- new finding: site explicitly publishes an /llms.txt (LLM-facing summary file), an unusually AI-crawler-friendly signal, though client employer identity is still undisclosed",https://www.smartchoice-international.com/about;https://sabbar.com/en/jobs/c-riyadh-r-business-development-manager,Notable for future reference (llms.txt) but status unchanged since no job listings are disclosed on their own site.
Jobgether,jobgether.com,remote_job_board,real_saudi_category_pages,yes,direct_vacancies,unknown,"Allow: /, 2s crawl-delay, explicitly declares search=yes ai-input=yes ai-train=no, and explicitly ALLOWS a structured JSON API at /astroapi/ai/jobs.json (confirmed live and returning real job data: id/title/company/url/location/remote/contractType/experience/postedAt fields)","Disallow: /offer/ (likely human-facing job-detail pages) and query-string paths, but the /astroapi/ai/jobs.json API path is NOT covered by that disallow","approved_for_automated_ingestion (UPGRADED, technical+policy access confirmed) -- with an open coverage caveat","yes -- MAJOR UPGRADE: prior pass only saw none observed on fetch and left this at manual_review_only. This pass found a live, explicitly AI-permitted structured JSON API with real job fields and employer names disclosed.",https://jobgether.com/remote-jobs/saudi-arabia;https://jobgether.com/robots.txt;https://jobgether.com/astroapi/ai/jobs.json,"CAVEAT: the default API call returned 10 US/India jobs, zero Saudi Arabia listings -- the query-parameter mechanism to reach the Saudi-specific subset shown on the human-facing /remote-jobs/saudi-arabia page was not identified this pass. Approving the ACCESS METHOD, not yet confirming Saudi COVERAGE through it -- a follow-up pass should find the right query params before relying on this for Saudi ingestion."
