canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-qatar-airways,sr-qa-qatar-airways,Qatar Airways,Qatar Airways Q.C.S.C.,government_owned,aviation,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://www.qatarairways.com,https://careers.qatarairways.com/,active_with_open_jobs,Taleo (Oracle Taleo),qa_external_cs,unknown,suitable_public_ats,yes,medium,yes_current,https://www.linkedin.com/company/qatar-airways/,https://www.linkedin.com/company/qatar-airways/jobs,likely_official_needs_review,discovery_and_verification_only,https://careers.qatarairways.com/global/SearchJobs; https://www.qatarairways.com/en-qa/nationalisation.html,high,suitable_public_ats,verified,,"Confirmed Taleo-hosted site (aa115.taleo.net) with 188 live postings at verification time. Al Darb is a Qatari-nationalisation program, not open early-career; general junior/ground roles do appear.",2026-09-03,"WebFetch confirmed Taleo platform and live listings (e.g. UX Lead, Turnaround Coordinator, Doha)."
cc-qnb,sr-qa-qnb,Qatar National Bank,Qatar National Bank Q.P.S.C. (QNB Group),public_joint_stock,banking_finance,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://www.qnb.com,https://www.qnb.com/sites/qnb/qnbglobal/page/en/encareer.html,careers_page_found,unknown,,unknown,suitable_public_html_subject_to_review,unknown,medium,unknown,https://www.linkedin.com/company/qatar-national-bank-group/,https://www.linkedin.com/company/qatar-national-bank-group/jobs,likely_official_needs_review,discovery_and_verification_only,https://qnb.com/sites/qnb/qnbglobal/page/en/encareer.html,medium,unknown,needs_manual_review,"Official domain and careers URL confirmed to exist, but the page returned HTTP 403 Forbidden to automated fetch on 2026-09-03 (likely bot-blocking). Requires a manual browser visit to verify ATS/live listings.","Largest bank in Qatar; global career portal covers all countries of operation, needs a Qatar-specific filter check.",2026-09-03,"Kept at needs_manual_review rather than no_official_source_found - the official domain/URL itself is a known, real QNB page, just inaccessible to automated tools this pass."
cc-ooredoo,sr-qa-ooredoo,Ooredoo Qatar,Ooredoo Q.P.S.C.,public_joint_stock,telecommunications,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://www.ooredoo.qa,https://www.ooredoo.qa/web/en/careers/,active_no_open_jobs,Sniper Hire,ooredoo,https://ooredoo.sniperhire.net,suitable_public_ats,no,medium,unknown,https://www.linkedin.com/company/ooredooqatar/,https://www.linkedin.com/company/ooredooqatar/jobs,likely_official_needs_review,discovery_and_verification_only,https://www.ooredoo.qa/web/en/careers/;https://ooredoo.sniperhire.net,medium,suitable_public_ats,verified,,"Qatari state-owned telecom operator, distinct from Ooredoo Group parent entity page.",2026-09-03,"Official Ooredoo Qatar careers page (ooredoo.qa/web/en/careers) links to a structured ATS at ooredoo.sniperhire.net with functioning department/contract-type/location filters, directly fetched 2026-09-03. The board explicitly showed ""No vacancies available now"" at verification time - a real, structured, currently-empty ATS rather than an unofficial or fabricated source."
cc-qatarenergy,sr-qa-qatarenergy,QatarEnergy,Qatar Energy (formerly Qatar Petroleum),government_owned,energy_oil_gas,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://www.qatarenergy.qa,https://careerportal.qatarenergy.qa/jobs,active_with_open_jobs,unknown,,https://careerportal.qatarenergy.qa/jobs,suitable_public_html_subject_to_review,yes,high,yes_current,https://www.linkedin.com/company/qatarenergy/,https://www.linkedin.com/company/qatarenergy/jobs/,likely_official_needs_review,discovery_and_verification_only,https://careerportal.qatarenergy.qa/jobs; https://careerportal.qatarenergy.qa/graduates/jobs; https://careers.qatarenergylng.qa/,high,suitable_public_html_subject_to_review,verified,,"Separate career portals exist for QatarEnergy (careerportal.qatarenergy.qa) and its LNG operating unit, historically branded Qatargas (careers.qatarenergylng.qa, uses SuccessFactors per sibling Nakilat confirmation pattern). Has dedicated Graduates and National Graduate Development Program (NGDP) tracks plus an Internship Program.",2026-09-03,Strong early-career signal: explicit graduate/internship portal sections found.
cc-vodafone,sr-qa-vodafone,Vodafone Qatar,Vodafone Qatar Q.P.S.C.,public_joint_stock,telecommunications,large_enterprise,United Kingdom,Qatar,QA,Doha,country_wide,https://www.vodafone.qa,https://www.vodafone.qa/en/about-us/careers,careers_page_found,Taleo (Oracle Taleo),,unknown,suitable_public_ats,unknown,high,yes_current,https://www.linkedin.com/company/vodafone-qatar/,not_found,likely_official_needs_review,discovery_and_verification_only,https://www.vodafone.qa/en/about-us/careers; https://careers.vodafone.com/qatar; https://www.vodafone.qa/en/about-us/careers/qatarization/recruitment,medium,suitable_public_ats,verified,,"Search results explicitly state HR/recruitment is processed through the Taleo portal; category list includes Graduate Programme, Intern and Apprentice tracks, strong early-career signal.",2026-09-03,ATS inferred from source text (Taleo) rather than direct WebFetch confirmation of the login URL; recommend a direct check before automation.
cc-commercial-bank-of-qatar,sr-qa-commercial-bank-of-qatar,Commercial Bank of Qatar,The Commercial Bank (P.S.Q.C.),public_joint_stock,banking_finance,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://www.cbq.com.qa,https://www.cbq.com.qa/en/about-us/careers,careers_page_found,SAP SuccessFactors,thecommerc,https://career2.successfactors.eu/career?company=thecommerc,suitable_public_ats,unknown,low,unknown,https://www.linkedin.com/company/commercial-bank-of-qatar/,not_found,not_verified,discovery_and_verification_only,https://www.cbq.com.qa/en/about-us/careers/working-with-us;https://career2.successfactors.eu/career?company=thecommerc,medium,suitable_public_ats,verified,,,2026-09-03,"Official CBQ careers page (cbq.com.qa/en/about-us/careers) directly links to a SAP SuccessFactors tenant (career2.successfactors.eu/career?company=thecommerc), confirmed 2026-09-03. Live job count could not be confirmed (JS-rendered listing), but the ATS tenant itself is real, official, and structured."
cc-pwc,sr-qa-pwc,PwC,"PricewaterhouseCoopers (Middle East region, Qatar practice)",professional_services_network,consulting_professional_services,large_enterprise,United Kingdom,Qatar,QA,Doha,country_wide,https://www.pwc.com/m1/en.html,https://www.pwc.com/m1/en/careers.html,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,yes,high,yes_current,https://www.linkedin.com/company/pwc-middle-east/,https://www.linkedin.com/jobs/search?keywords=PwC&location=Qatar,likely_official_needs_review,discovery_and_verification_only,https://www.pwc.com/m1/en/careers.html; https://www.pwc.com/m1/en/careers/experienced-jobs.html,medium,suitable_public_html_subject_to_review,verified,,"Careers portal is regional (Middle East), not Qatar-only; a dedicated PwC Graduate Programme 2026 for Qatari nationals was referenced. Qatar-specific filtering needs confirmation.",2026-09-03,~34 PwC roles reported live in Qatar via secondary job boards at verification time; not independently recounted by researcher.
cc-deloitte,sr-qa-deloitte,Deloitte,Deloitte & Touche (M.E.) — Qatar practice,professional_services_network,consulting_professional_services,large_enterprise,United Kingdom,Qatar,QA,Doha,country_wide,https://www2.deloitte.com/qa/en.html,https://www2.deloitte.com/qa/en/careers/students.html,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,yes,high,yes_current,https://www.linkedin.com/company/deloitte/,not_found,likely_official_needs_review,discovery_and_verification_only,https://www2.deloitte.com/qa/en/careers/experienced-hires.html; https://www2.deloitte.com/qa/en/careers/students.html,high,suitable_public_html_subject_to_review,verified,,"Has a distinct 'Students' careers track separate from Experienced Hires, strong early-career signal. Openings across Audit, Tax, Cyber, Consulting confirmed via multiple secondary sources.",2026-09-03,Country-specific (qa) Deloitte careers subdomain confirms official Qatar practice presence.
cc-kpmg,sr-qa-kpmg,KPMG,KPMG Qatar Branch,professional_services_network,consulting_professional_services,large_enterprise,United Kingdom,Qatar,QA,Doha,country_wide,https://kpmg.com/qa/en/home.html,https://kpmg.com/qa/en/home/careers.html,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,unknown,high,yes_current,https://www.linkedin.com/company/kpmg-qatar/,not_found,likely_official_needs_review,discovery_and_verification_only,https://kpmg.com/qa/en/home/careers.html; https://assets.kpmg.com/content/dam/kpmg/qa/pdf/archive/01/qa-kpmg-in-qatar-graduate-careers.pdf,high,suitable_public_html_subject_to_review,verified,,"A dedicated 'KPMG in Qatar Graduate Careers' PDF brochure exists, direct evidence of a structured graduate program. 300+ locally based staff, 40-year Qatar presence.",2026-09-03,"Separate legacy careers portal kpmgcareersqatar.com also seen in results; treat as secondary/unverified alias of the same employer, not a different company."
cc-ey,sr-qa-ey,EY,Ernst & Young — Qatar practice,professional_services_network,consulting_professional_services,large_enterprise,United Kingdom,Qatar,QA,Doha,country_wide,https://www.ey.com/en_qa,https://www.ey.com/en_qa/careers,careers_page_found,unknown,,unknown,unknown,unknown,medium,yes_current,https://www.linkedin.com/company/ey/,https://www.linkedin.com/jobs/ey-jobs-qatar,likely_official_needs_review,discovery_and_verification_only,https://www.linkedin.com/jobs/ey-jobs-qatar;https://www.ey.com/en_qa/careers;https://careers.ey.com,low,suitable_public_html_subject_to_review,verified,,EY presence in Qatar is well established regionally (Big Four); a targeted follow-up search of ey.com/en_qa/careers is required before this entry can be marked verified.,2026-09-03,"Direct fetch of ey.com/en_qa/careers on 2026-09-03 (the exact follow-up the prior researcher pass called for) confirmed this is EY's real MENA/Qatar careers gateway, linking directly to the centralized careers.ey.com portal and to an 'Early careers' / eyglobal.yello.co early-talent board. Regional rather than Qatar-exclusive, consistent with the evidence bar already used for the verified Deloitte/KPMG/PwC Qatar rows in this file."
