query_id,market,sector_or_function,source_type_target,query_string,tool_or_engine,purpose,sample_evidence_url,tested,notes
q-lb-001,Lebanon,cross_sector,job_board,Lebanon job board site careers listings Bayt Hirelebanese Akhtaboot,WebSearch,discover_general_lebanon_job_boards,https://www.beirut.com/en/55050/14-websites-and-online-platforms-for-job-hunting-in-lebanon/,true,"Returned a curated 14-site roundup article, used directly to seed several source-catalog rows (Bayt, HireLebanese, Akhtaboot, Jobs.com.lb, Amaken)."
q-lb-002,Lebanon,tech_startup_ecosystem,company_directory,Lebanon startup company directory Beirut Digital District member companies,WebSearch,discover_curated_company_directory_for_pilot_sampling,https://beirutdigitaldistrict.com/community-members-entrepreneurs-lebanon/,true,"Led to the BDD members page, which became the primary source for pilot-company-candidates.csv."
q-lb-003,Lebanon,cross_sector,apify_actor,Apify store Indeed scraper actor pricing,WebSearch,establish_a_pricing_baseline_for_generic_job_board_actors,https://apify.com/factden/indeed-jobs-scraper,true,"Indeed itself is not Lebanon-specific and low-relevance for this market, but the pricing survey (5 competing actors, $0.05-$20/mo+usage per 1000 jobs) is a useful baseline for apify-discovery-design.md."
q-lb-004,Lebanon,cross_sector,apify_actor,Apify store Google Maps business scraper actor Lebanon companies,WebSearch,evaluate_geography_based_generic_company_discovery_actor,https://apify.com/compass/crawler-google-places,true,Confirmed the leading Google Maps actor works for any location including Lebanon with no Lebanon-specific customization available or needed; pricing and output fields captured directly via WebFetch.
q-lb-005,Lebanon,cross_sector,apify_actor,"Apify store ""Bayt.com"" scraper OR ""Wuzzuf"" scraper actor",WebSearch,find_a_dedicated_actor_for_the_top_lebanon_relevant_job_board,https://apify.com/blackfalcondata/bayt-scraper,true,Found multiple actively maintained Bayt.com actors with native country-level filtering - the strongest Apify candidate identified this pass.
q-lb-006,Lebanon,cross_sector,apify_actor,Apify store Akhtaboot scraper actor,WebSearch,find_a_dedicated_actor_for_a_secondary_lebanon_job_board,none_found,true,Returned only unrelated 'Apify Store meta-scraper' actors (tools that scrape Apify's own store listings) - confirmed no dedicated Akhtaboot actor exists; a generic crawler would be required instead.
q-lb-007,Lebanon,cross_sector_SME,chamber_of_commerce_directory,Chamber of Commerce Industry Beirut CCIB member companies directory search,WebSearch,discover_a_high_volume_chamber_of_commerce_company_directory,https://www.ccib.org.lb/en/membership-directory,true,"Found CCIB's own public materials claiming 15,000+ member firms - the highest potential-volume source identified this pass, but the direct WebFetch attempt was rate-limited (HTTP 429)."
q-lb-008,Lebanon,cross_sector,apify_actor,"Apify ""Website Content Crawler"" actor generic pricing pagination",WebSearch,evaluate_the_fallback_generic_crawler_for_sites_with_no_dedicated_actor,https://apify.com/apify/website-content-crawler,true,"Confirmed as the realistic fallback for HireLebanese, Akhtaboot, BDD, CCIB, and Daleel Madani (none of which have a dedicated actor) - automated pagination handling, $0.5-$5 per 1,000 pages (compute-unit based)."
q-lb-009,Lebanon,government_investment,government_investment_directory,"IDAL Lebanon investors directory companies list ""Investment Development Authority of Lebanon""",WebSearch,discover_a_government_backed_investment_company_directory,https://investinlebanon.gov.lb/,true,"Identified IDAL's official site and an indexed /search/form path, but did not directly WebFetch it this pass - flagged for future verification rather than used as evidence."
q-sa-001,Saudi Arabia,fintech,sector_ecosystem_directory,Fintech Saudi directory member companies list official ecosystem,WebSearch,discover_an_official_sector_specific_company_directory,https://fintechsaudi.com/,true,Returned a curated ~28-name fintech list via search snippet; direct WebFetch of the map page itself was blocked (redirect then cert error) - see source-catalog notes.
q-sa-002,Saudi Arabia,sme_cross_sector,government_sme_directory,Monsha'at Saudi SME authority startup directory companies,WebSearch,discover_a_government_backed_sme_directory,https://www.monshaat.gov.sa/en,true,"Confirmed Monsha'at as the national SME regulator and Biban organizer, but found no direct company-level export/directory this pass."
q-sa-003,Saudi Arabia,technology_cross_sector,trade_show_exhibitor_directory,LEAP Saudi Arabia tech conference exhibitor list companies,WebSearch,discover_a_high_volume_trade_show_exhibitor_list,https://onegiantleap.com/exhibit/our-2026-exhibitors,true,"Found claims of 1,800-2,296 exhibitors and a handful of named companies via snippet; both the official page and a third-party mirror (10times.com) were blocked (403) on direct fetch."
q-sa-004,Saudi Arabia,cross_sector_SME,chamber_of_commerce_directory,Riyadh Chamber of Commerce Industry membership directory search companies,WebSearch,discover_the_capital_regions_chamber_directory,https://www.chamber.sa/en/Pages/default.aspx,true,Identified chamber.sa as the official site; direct WebFetch of 2 different paths both failed with a connection reset.
