lead_name,screenshot_outcome,notes
Qatar Airways,already_present_qatar_registry,cc-qatar-airways already verified in qatar.csv
Al Sharq Technology,new_employer_candidate,See manual-review-queue.csv - real, own official domain unconfirmed
Snoonu,already_present_qatar_registry,cc-snoonu already in qatar.csv (needs_manual_review status, unchanged)
Commercial Bank of Qatar,already_present_qatar_registry,cc-commercial-bank-of-qatar already verified in qatar.csv
The Flex,insufficient_evidence,No matching Qatar coworking/flex-space entity confirmed
malomatia,new_employer_candidate,Staged in proposed-qatar-staging.csv
ProgressSoft Corporation,new_employer_candidate,Staged in proposed-qatar-staging.csv
Information & Communication Technology (ICT),insufficient_evidence,Reads as an industry/category label, not an employer
The Utopia Studio,new_employer_candidate,Staged in proposed-qatar-staging.csv
Forvis Mazars in Qatar,new_employer_candidate,Staged in proposed-qatar-staging.csv
Advanced Business Computing,new_employer_candidate,See manual-review-queue.csv - real company, careers page unconfirmed
North Oil Company,new_employer_candidate,Staged in proposed-qatar-staging.csv
International Schools Partnership,new_employer_candidate,Staged in proposed-qatar-staging.csv
Nozomi Networks,insufficient_evidence,See manual-review-queue.csv - real company, no Qatar presence confirmed
EPAM Systems,new_employer_candidate,Staged in proposed-qatar-staging.csv
Ali Bin Ali,new_employer_candidate,Staged in proposed-qatar-staging.csv
Thaura,insufficient_evidence,No entity match found
Regency Technology Qatar,new_employer_candidate,Staged in proposed-qatar-staging.csv
QNB Group,already_present_qatar_registry,Matches cc-qnb (Qatar National Bank) already verified in qatar.csv
NODA AI,insufficient_evidence,See manual-review-queue.csv - forward-deployed defense role, no confirmed Qatar entity/office
KBR,new_employer_candidate,Staged in proposed-qatar-staging.csv
Galfar Al Misnad Engineering and Contracting,new_employer_candidate,See manual-review-queue.csv - real company, exact careers URL unconfirmed
Milaha,already_present_qatar_registry,cc-milaha already verified in qatar.csv
Mowasalat Qatar,new_employer_candidate,Staged in proposed-qatar-staging.csv
ATNS InfoTech,insufficient_evidence,See manual-review-queue.csv - name conflates two unrelated real entities
QatarEnergy,already_present_qatar_registry,cc-qatarenergy already verified in qatar.csv
Manforce Group,recruitment_or_staffing_source,See source-candidate-inventory.csv
University of Doha for Science and Technology,new_employer_candidate,Staged in proposed-qatar-staging.csv
MACH Consultants,recruitment_or_staffing_source,See source-candidate-inventory.csv
Lucidya,insufficient_evidence,Real company (Riyadh HQ) but no Qatar evidence found
Starlink Qatar,new_employer_candidate,See manual-review-queue.csv - real company, exact careers URL unconfirmed
Tech Ladies,insufficient_evidence,No specific community/employer entity confirmed in Qatar
