supplied_lead_name,likely_identity,evidence_summary,reason_for_manual_review,candidate_official_url,evidence_urls
Al Sharq Technology,"Al Sharq Technology (Dar Al-Sharq Media Group subsidiary)","Real Doha-based tech subsidiary of Dar Al-Sharq (35+ year media group); live Naukrigulf listings (Technical Lead, Technician, Doha).","No distinct official Al Sharq Technology domain was confirmed this pass - only the parent Dar Al-Sharq shared careers portal (jobs.al-sharq.com) was found. Needs a manual check of whether Al Sharq Technology has its own domain/careers page or genuinely shares the parent's.",https://jobs.al-sharq.com/en/,"https://jobs.al-sharq.com/en/; https://www.naukrigulf.com/technical-lead-jobs-in-doha-qatar-in-al-sharq-technology-7-to-10-years-n-cd-40004274-jid-090126502115; https://www.linkedin.com/company/alsharqtech"
Advanced Business Computing,"Advanced Business Computing (ABC), an MDS Holding / MiDiS Group affiliate","Real Doha IT solutions company (The Pearl Doha office), MDS Qatar established 1987; Dell/VMware/Google Cloud/Microsoft/Apple partner.","Official domain (abc.com.qa) confirmed but no dedicated careers page/ATS was located this pass - only third-party listing aggregators (Bayt, ZoomInfo) were found.",https://www.abc.com.qa,"https://www.zoominfo.com/c/advanced-business-computing/372630896; https://www.bayt.com/en/company/advanced-business-computing-938491/; https://www.qataroilandgasdirectory.com/company/advanced-business-computing"
Galfar Al Misnad,"Galfar Al Misnad Engineering and Contracting W.L.L.","Real, large Qatar construction/engineering firm (est. 1995); secondary aggregator reports 183 open Qatar roles across Oil & Gas, Engineering, MEP, Infrastructure.","Official domain confirmed (galfarqatar.com.qa) but the exact careers/ATS subpage URL was not independently confirmed this pass - only a general description of ""their official career portal"" from search snippets.",https://www.galfarqatar.com.qa,"https://www.galfarqatar.com.qa/contact-us; https://gulfjobs.el7far.com/2026/08/galfar-al-misnad-qatar-careers-2026-183.html; https://www.naukrigulf.com/galfar-al-misnad-careers-cid-302441"
Starlink Qatar,"Starlink Qatar (Ooredoo Group tech retailer/outsourced-services provider)","Real, est. 2006, part of Ooredoo Group; distinct from SpaceX's Starlink satellite service. Official domain confirmed as starlink.qa.","No dedicated careers/ATS URL was independently confirmed this pass - only third-party job-board listings (Instahyre, GulfTalent, Glassdoor) were found referencing openings.",https://www.starlink.qa,"https://www.starlink.qa/en; https://www.ooredoo.qa/web/en/business/starlink/; https://www.linkedin.com/company/starlink-qatar"
beIN Media Group,beIN Media Group LLC,"Real, Doha-headquartered global sports/media broadcaster; official domain confirmed (beinmediagroup.com).","No exact careers-page URL was independently confirmed this pass - only a general statement that the official site hosts career opportunities, plus GulfTalent aggregation.",https://www.beinmediagroup.com,"https://www.beinmediagroup.com; https://www.gulftalent.com/companies/bein-media-group-careers"
Wood,"Wood (formerly John Wood Group plc), acquired by Sidara Nov 2025","Real, large global engineering/energy consultancy; multiple live Doha job postings independently observed via secondary boards (Bayt, Glassdoor) for Lead/Senior Subsea, Pipelines, Process, Electrical Engineer roles.","The official careers-page URL for Wood's Qatar operations was not independently confirmed this pass - evidence is secondary-board postings, not a direct fetch of an official woodplc.com/Sidara careers page.",https://www.woodplc.com,"https://www.bayt.com/en/qatar/jobs/wood-jobs/; https://www.bayt.com/en/qatar/jobs/wood-group-jobs/"
Nozomi Networks,Nozomi Networks Inc.,"Real global OT/IoT cybersecurity company (HQ San Francisco); careers.nozominetworks.com confirmed as the official global board.","No Qatar-specific office, location filter, or Doha job posting was found this pass - the supplied lead may reference a regional/remote role rather than a Qatar office.",https://www.nozominetworks.com,https://www.nozominetworks.com/company/careers
ATNS InfoTech,Unresolved - name conflates two distinct real entities,"Search results returned two unrelated real companies: (1) ATNS (Air Traffic & Navigation Services), South Africa's air-navigation authority, whose careers page (atns.io/careers) shows Vietnam-based roles, not Qatar; (2) Infotech Qatar (infotech.qa), a Doha-based IoT/smart-security company unrelated to ATNS.","Cannot confirm which entity (if either) the supplied ""ATNS InfoTech"" lead refers to; needs a direct LinkedIn/screenshot re-check.",unknown,"https://atns.io/careers/; https://infotech.qa/; https://www.atns.com/AboutUsMain/whyWorkforUs"
NODA AI,"NODA (NODA Intelligence, defense/autonomous-systems technology)","Real US veteran-owned defense-tech company; search results reference a Qatar-located ""Forward Deployed Engineer"" role.","No permanent Qatar office or entity was confirmed - the role reads as a deployed/on-site defense-contractor placement rather than evidence of a Qatar corporate presence; needs manual confirmation of employment structure before staging.",https://www.nodaintelligence.ai,https://www.nodaintelligence.ai/careers
TAQAT,Unresolved - name ambiguity between multiple distinct Qatar-linked entities,"Search results surfaced at least two different ""Taqat""-named entities: a small (2-10 employee) Doha startup (taqat.qa, B2B/real-estate/AI/big-data) with Procurement/Web-Design vacancies, and a separate Qatar Charity-linked ""Taqat"" employability initiative for Palestinian youth remote work.","Cannot confirm which entity (if either, or both) the supplied lead refers to without a direct LinkedIn/screenshot re-check.",https://taqat.qa,"https://app.dealroom.co/companies/taqat_employability; https://www.gulftalent.com/companies/taqat-technologies-careers"
