supplied_lead_name,matched_canonical_id,matched_registry_file,relationship,outcome,notes
Qatar Airways,cc-qatar-airways,qatar.csv,exact_match,already_present,"Verified row already exists (review_status=verified)."
Snoonu,cc-snoonu,qatar.csv,exact_match,already_present,"Existing row is needs_manual_review, not verified - no change proposed to the production file, but flagged for a future dedicated Snoonu careers-URL follow-up."
Commercial Bank of Qatar,cc-commercial-bank-of-qatar,qatar.csv,exact_match,already_present,"Verified row already exists."
QNB Group,cc-qnb,qatar.csv,name_variant,already_present,"Supplied name ""QNB Group"" matches existing row company_name ""Qatar National Bank""."
Milaha,cc-milaha,qatar.csv,exact_match,already_present,"Verified row already exists."
QatarEnergy,cc-qatarenergy,qatar.csv,exact_match,already_present,"Verified row already exists."
Vodafone Qatar,cc-vodafone,qatar.csv,exact_match,already_present,"Verified row already exists."
Qatar Insurance Group,cc-qic,qatar.csv,exact_match,already_present,"Verified row already exists (legal name Qatar Insurance Company)."
Doha Bank,cc-doha-bank,qatar.csv,exact_match,already_present,"Existing row is needs_manual_review, not verified - no change proposed."
QatarEnergy LNG,cc-qatarenergy,qatar.csv,brand_alias,duplicate_or_alias,"Historically branded Qatargas; already documented as an access-note (careers.qatarenergylng.qa) inside the existing verified cc-qatarenergy row's researcher_notes. Not staged as a separate row per the registry's existing convention of tracking such notes as access-note text, not a duplicate canonical ID."
Minor Hotels,(none - see cc-anantara-qatar / cc-tivoli-qatar),proposed-qatar-staging.csv (this pass),parent_brand_umbrella,duplicate_or_alias,"Minor Hotels is the parent group; its two confirmed Qatar footprints (Banana Island Resort Doha by Anantara; the 9-property Tivoli portfolio in the Doha old town) are staged separately as cc-anantara-qatar and cc-tivoli-qatar, consistent with this registry's existing convention of tracking brands/properties as distinct rows rather than one parent-group row (e.g. Msheireb Properties vs. Qatar Foundation). CORRECTION-PASS CROSS-REFERENCE (2026-09-10): this Anantara/Tivoli per-property split was re-examined during the correction pass alongside the Accor consolidation below and NOT changed - Minor Hotels was not previously represented anywhere else in master-company-registry.csv, so there is no existing conflicting precedent (unlike Accor/Hilton) requiring a merge. Recorded here for consistency-policy traceability only."
"Pullman Doha West Bay (former candidate cc-pullman-doha-west-bay, internal audit ID C27)",cc-accor,"proposed-qatar-staging.csv (this pass, post-correction)",brand_property_consolidated,duplicate_or_alias,"CORRECTION PASS (2026-09-10), product-owner decision: consolidated into one brand-level ""Accor Qatar"" row reusing the existing shared canonical_company_id cc-accor already established in master-company-registry.csv/uae.csv (same cross-market-ID-reuse convention already used for cc-newtecx, cc-netways, cc-people365). Pullman Doha West Bay is preserved as a named covered property in the consolidated row's researcher_notes; its own live-posting evidence could not be re-confirmed this pass (the only prior evidence pointed to an unfiltered Accor portal and two search hits that were actually about Pullman Dubai, a different property) and should be independently re-verified in a future pass before being cited as strong per-property evidence."
"ibis Doha / ibis and Adagio Doha (former candidate cc-ibis-doha, internal audit ID C35)",cc-accor,"proposed-qatar-staging.csv (this pass, post-correction)",brand_property_consolidated,duplicate_or_alias,"CORRECTION PASS (2026-09-10), product-owner decision: consolidated into the same ""Accor Qatar"" row (cc-accor) as Pullman Doha West Bay above. Unlike Pullman, ibis Doha's own live-posting evidence (Driver, Room Attendant, and others) IS directly re-confirmed and preserved in the consolidated row's evidence_urls - this property has the strongest individual hiring evidence of any Accor-brand property found in Qatar this pass."
"Hilton Salwa Beach Resort & Villas (former candidate cc-hilton-salwa, internal audit ID C29)",cc-hilton,"proposed-qatar-staging.csv (this pass, final-verification)",brand_normalization_resolved,duplicate_or_alias,"FINAL-VERIFICATION PASS (2026-09-10): RESOLVED per product-owner decision (market-neutral cc-hilton preferred; do not mint cc-hilton-qatar; do not reuse cc-hilton-uae). Impact check confirmed the normalization was safe: full-repository search found canonical_company_id referenced only in documentation/CSV files (zero application code, database, or script references); cc-hilton was not already assigned to any other company; the change preserves the same employer identity and creates no cross-market collision. Production uae.csv and master-company-registry.csv rows were normalized from cc-hilton-uae to cc-hilton (canonical_company_id field only, all other fields unchanged, full before/after record kept in that row's own researcher_notes and in final-verification-and-promotion-report.md). Hilton Salwa Beach Resort & Villas re-staged and promoted under the now-shared cc-hilton ID."
