internal_audit_id,original_canonical_id,final_canonical_id,final_location,status,correction_applied,notes
C01,cc-malomatia,cc-malomatia,proposed-qatar-staging.csv,promoted,yes,company_type public_joint_stock -> government_owned
C02,cc-progressoft,cc-progressoft,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C03,cc-the-utopia-studio,cc-the-utopia-studio,proposed-qatar-staging.csv,promoted,yes,evidence_urls: replaced LinkedIn job-view link with specific Ashby job-ID URL
C04,cc-forvis-mazars-qatar,cc-forvis-mazars-qatar,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C05,cc-north-oil-company,cc-north-oil-company,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C06,cc-international-schools-partnership,cc-international-schools-partnership,proposed-qatar-staging.csv,promoted,yes,company_type ngo_nonprofit -> private
C07,cc-epam-systems,cc-epam-systems,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C08,cc-ali-bin-ali,cc-ali-bin-ali,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C09,cc-regency-technology-qatar,cc-regency-technology-qatar,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C10,cc-kbr,cc-kbr,proposed-qatar-staging.csv,promoted,yes,evidence_urls: replaced secondary-board citation with a directly re-fetched live official Workday requisition (Senior Quality Engineer R2058968)
C11,cc-mowasalat,cc-mowasalat,proposed-qatar-staging.csv,promoted,yes,company_type public_joint_stock -> government_owned
C12,cc-udst,cc-udst,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C13,cc-tgp-international-qatar,cc-tgp-international-qatar,proposed-qatar-staging.csv,promoted,yes,evidence_urls: added bayt.com Night Club Manager posting citation (plus fixed a pre-existing unquoted-comma CSV formatting defect in legal_or_official_name)
C14,cc-cisco-qatar,cc-cisco-qatar,proposed-qatar-staging.csv,promoted,yes,RESOLVED FROM HOLD: re-verified via direct search of jobs.cisco.com; 4 live Doha/Qatar-tagged official postings found and cited; official_careers_url and evidence_urls replaced with directly-confirmed URLs
C15,cc-bae-systems-qatar,cc-bae-systems-qatar,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C16,cc-qatar-stock-exchange,cc-qatar-stock-exchange,proposed-qatar-staging.csv,promoted,no,approve_unchanged
C17,cc-millennium-hotel-doha,cc-millennium-hotel-doha,proposed-qatar-staging.csv,promoted,no,approve_unchanged
