raw_email,normalized_email,apparent_company,official_domain_confirmed,saudi_presence_confirmed,status,evidence_urls,notes
CV@Arabianfal.com,cv@arabianfal.com,Arabian Fal (Aramco-affiliated O&M contractor),yes,yes,third_party_or_free_mail_unverified,https://arabianfal.com/apply_cv/,Official careers page uses a web form + lists info@arabianfal.com as general contact; CV@ not found on-site.
Cv@aldawaa.com.sa,cv@aldawaa.com.sa,"Al-Dawaa Pharmacies (DMSCO, Tadawul-listed)",partial,yes,domain_mismatch_or_suspicious,https://careers.al-dawaa.com/,"Company's confirmed official domain/ATS is al-dawaa.com (hyphen, no .sa) via Talentera; that portal does not reference aldawaa.com.sa or this mailbox. Real company, but the supplied domain variant is unconfirmed as company-owned."
Hr.qrm@hotmail.com,hr.qrm@hotmail.com,unknown (free mail),no,unknown,third_party_or_free_mail_unverified,none,Free-mail domain; cannot carry first-party evidence.
Rec@alojaimi.com,rec@alojaimi.com,Alojaimi Holding (Dammam conglomerate),yes,yes,third_party_or_free_mail_unverified,https://alojaimi.com,Domain/company real; no page found citing this mailbox.
Recruitment@rawabiholding.com,recruitment@rawabiholding.com,"Rawabi Holding (oilfield services, Khobar)",yes,yes,third_party_or_free_mail_unverified,https://careers.rawabiholding.com/en/login;https://careers.rawabi.com/,"Domain matches their SmartRecruiters-linked ATS domain exactly, but the ATS is login-gated with no public email listed."
Job.s6@hotmail.com,job.s6@hotmail.com,unknown (free mail),no,unknown,third_party_or_free_mail_unverified,none,Free mail.
Careers@dnata.com,careers@dnata.com,dnata (Emirates Group),yes,unclear,third_party_or_free_mail_unverified,https://www.dnata.com/en/careers/,"Domain real; official careers page uses a job-board/filter UI, not email, and did not mention Saudi Arabia specifically in the fetched excerpt."
Hr@alesayi_motors.com,hr@alesayi_motors.com,Alesayi Motors (Mitsubishi KSA distributor),no,yes,domain_mismatch_or_suspicious,https://careers.alesayi.com/,"Company is real, but its confirmed domains are alesayi-motors.com (hyphen) / alesayi.com; ""alesayi_motors.com"" contains an underscore, which is not valid in a DNS hostname -- likely a corrupted/typo'd domain."
Hr@alarayan.com,hr@alarayan.com,unknown,no,unknown,company_identity_unresolved,none,No identifiable real company found at this domain.
Recruiting.ksa@mcmermott.com,recruiting.ksa@mcmermott.com,possibly McDermott International (unconfirmed),no,unknown,domain_mismatch_or_suspicious,https://www.mcdermott.com/careers/search-apply,"McDermott's real domain is mcdermott.com; ""mcmermott.com"" does not independently resolve to any indexed company and reads as a plausible typosquat. McDermott's own site explicitly warns to verify recruiter emails come from its real domain. Per task instruction, not silently attributed to McDermott without proof -- flagged as suspicious instead."
Recruitment@aytb.com,recruitment@aytb.com,AYTB / Al-Yusr Industrial Contracting (Jubail),yes,yes,third_party_or_free_mail_unverified,https://www.gulftalent.com/companies/aytb,"Real, Saudi-based; no official-domain page found citing this mailbox (applications appear to run through job boards)."
Wadaef@gtecorp.com,wadaef@gtecorp.com,GTE / General Trading & Equipment Co. (gte.sa),yes,yes,third_party_or_free_mail_unverified,https://gte.sa/careers;https://www.zoominfo.com/p/Waheed-Quadri/-1615469187,"gtecorp.com confirmed as a real internal email domain for GTE (employee address on file); ""Wadaef"" plausibly ties to the government Saudization platform, but not confirmed as a public recruitment channel on GTE's own site."
Careers@nesr.com,careers@nesr.com,NESR / National Energy Services Reunited (NASDAQ-listed),yes,yes,third_party_or_free_mail_unverified,https://www.nesr.com/careers.html;https://www.nesr.com/location-saudiarabia.html,"Direct fetch of the careers page shows only info@nesr.com; applications go through a form, not email."
Recruit@farm.com.sa,recruit@farm.com.sa,"Farm / SAMCO (Saudi Marketing Co., Dammam retailer)",yes,yes,third_party_or_free_mail_unverified,https://www.farm.com.sa/en/Contact_Us,Contact page lists info@/sales@/support@farm.com.sa but not recruit@; domain and company are real.
Info@alhumamlaw.com,info@alhumamlaw.com,Saud Ibrahim Al-Hamam Law Firm (Dammam),yes,yes,official_general_contact_not_recruitment,http://alhumamlaw.com/,"Real firm, exact domain confirmed; this is a generic firm inbox, not a recruitment-specific one."
Hr1@gulfteksaudi.com,hr1@gulfteksaudi.com,GulfTek Saudi / Gulf Technical Factory (Dammam),yes,yes,third_party_or_free_mail_unverified,http://www.gulfteksaudi.com/;https://www.gulftekarabia.com/careers,Domain confirmed exact; separate careers portal exists (gulftekarabia.com) with no email listed.
Catcosa@catcosa.com,catcosa@catcosa.com,unknown (possibly Cat-dealer-adjacent),no,unknown,company_identity_unresolved,none,Could not confirm this domain belongs to Zahid Tractor (the actual Saudi Cat dealer) or any other specific real entity.
Cv@tafear.com,cv@tafear.com,"TAFE Arabia (technical/vocational training, Dammam)",yes,yes,third_party_or_free_mail_unverified,https://www.linkedin.com/company/tafear,Real company and domain; mailbox not independently confirmed.
Recruitment@sraco.com.sa,recruitment@sraco.com.sa,SRACO / Saeed R. Al-Zahrani Corp (Aramco contractor),yes,yes,third_party_or_free_mail_unverified,https://sraco.com.sa/careers/,"Careers page fetched directly; only Info@sraco.com.sa is listed, not this address."
Career@sidco.com.sa,career@sidco.com.sa,"Saudi Industrial Detergent Co. (SIDCO, Dammam)",yes,yes,third_party_or_free_mail_unverified,https://sidco.com.sa/,"Careers section confirmed on-site; listed contact is sscs@sidco.com.sa, not career@."
Info@atco.com.sa,info@atco.com.sa,"A.A. Turki Group (ATCO), Dammam",yes,yes,official_general_contact_not_recruitment,"https://www.glassdoor.com/Overview/Working-at-ATCO-Group-EI_IE1101852.11,21.htm","Real, large Saudi conglomerate; ""info@"" pattern read as general contact rather than recruitment-specific (direct fetch failed this pass with a connection error)."
HRdepartmental@sa.yokogawa.com,hrdepartmental@sa.yokogawa.com,Yokogawa Saudi Arabia,yes,yes,third_party_or_free_mail_unverified,https://www.yokogawa.com/about/careers/,Real subsidiary of the global company; specific mailbox not found cited on Yokogawa's own careers pages.
Recruitment@shadeco.com,recruitment@shadeco.com,"SHADE Corporation Ltd (EPC contractor, Dammam)",yes,yes,third_party_or_free_mail_unverified,https://shadeco.com/careers,"Direct fetch of the careers page shows only info@shadeco.com; a third-party snippet claimed careers@shadeco.com but that was not confirmed first-party, and the supplied address (recruitment@) matches neither."
Klc.hr@alkafaa.com,klc.hr@alkafaa.com,"Al Kafaa Limited Co. (steel/pipe distributor, Dammam)",yes,yes,official_recruitment_email_verified,https://alkafaa.com/careers-page/,"Directly fetched: the official careers page's ""Apply Now"" links are literally mailto:klc.hr@alkafaa.com -- first-party confirmation."
Kbr-amcdehr@kbr.com,kbr-amcdehr@kbr.com,KBR / KBR-AMCDE (Aramco GES+ JV),yes,yes,third_party_or_free_mail_unverified,https://www.linkedin.com/company/kbr-amcde,kbr.com is KBR's real global domain and the AMCDE Saudi JV is confirmed real; this specific alias not found on an official page.
Recruitment@batook.com,recruitment@batook.com,Batook Chewing Gum / Batook Holding (Dammam),yes,yes,third_party_or_free_mail_unverified,http://www.batook.com/career/,Careers page confirmed; no email listed on it.
Career@shawarmer.com,career@shawarmer.com,"Shawarmer (QSR chain, Riyadh)",yes,yes,third_party_or_free_mail_unverified,https://shawarmer.referrals.selectminds.com/,"Real, large KSA chain; official careers channel is a SelectMinds ATS portal, not email."
Hrsupport@archirodon.net,hrsupport@archirodon.net,"Archirodon Group (EPC contractor, Jeddah office)",yes,yes,third_party_or_free_mail_unverified,https://www.archirodon.net/careers/building-the-future-together/;https://careers.smartrecruiters.com/ArchirodonGroup,"Real, confirmed Jeddah/KSA operations; official channel is a SmartRecruiters ATS, not this mailbox. Note: Archirodon's own site warns of fake impersonating sites."
Jobs@binajinah.com,jobs@binajinah.com,"Bin Ajinah Group (roads/bridges contractor, Khobar)",yes,yes,third_party_or_free_mail_unverified,https://binajinah.com/about-us/,"Real company; confirmed general contact is info@binajinah.com, not jobs@."
Marketing.np@nesma.com,marketing.np@nesma.com,"Nesma (major Saudi conglomerate, Jeddah)",yes,yes,official_general_contact_not_recruitment,https://www.nesma.com/en/careers,"Real company with its own dedicated careers page; this is a marketing-department mailbox, explicitly not a recruitment channel per task instruction."
Wadaef2019@abdulla-fouad.com,wadaef2019@abdulla-fouad.com,Abdulla Fouad Group (Ras Tanura-founded conglomerate),yes,yes,third_party_or_free_mail_unverified,https://www.abdulla-fouad.com/careers.html,Directly fetched: careers page links to an Oracle Cloud HR ATS; no email addresses listed at all.
Careers@innosoft.sa,careers@innosoft.sa,"Innosoft (tech company, Dhahran)",no,yes,domain_mismatch_or_suspicious,https://innosoft.com/careers;https://is.sa/,"Company real, but its confirmed domains are innosoft.com.sa (per registrar record), innosoft.com, and is.sa -- ""innosoft.sa"" (no ""com"") does not match any confirmed domain."
M@startime.com.sa,m@startime.com.sa,"Startime (event management, Riyadh)",no,yes,domain_mismatch_or_suspicious,https://startime.sa/discover-us/,"Company real, but its confirmed domain is startime.sa, not startime.com.sa."
job@musk.sa.com,job@musk.sa.com,"MUSK Perfumes (35 branches, Riyadh/Jeddah)",yes,yes,third_party_or_free_mail_unverified,https://musk.sa.com/en,Exact domain match confirmed; mailbox itself not independently verified.
Shababwatansa@gmail.com,shababwatansa@gmail.com,unknown (free mail),no,unknown,third_party_or_free_mail_unverified,none,Free mail.
j@sabksa.com,j@sabksa.com,unknown,no,unknown,company_identity_unresolved,none,"Could not confirm which real company (if any) ""SAB KSA"" refers to; Saudi Awwal Bank's real domain is sab.com, not sabksa.com."
al.alshaikh@bonyan.sa,al.alshaikh@bonyan.sa,Bonyan (Saudi entity -- exact business line unresolved),yes,yes,third_party_or_free_mail_unverified,https://bonyan.sa/,"Domain confirmed live; individual-style address, and which specific ""Bonyan"" business this belongs to is ambiguous (multiple same-named Saudi entities exist)."
ymohammed@innovest.com.sa,ymohammed@innovest.com.sa,"Innovest Properties (real estate, Khobar)",yes,yes,third_party_or_free_mail_unverified,https://www.arabnews.com/node/1906171/business-economy,"Company confirmed real; individual-style employee address, not a general recruitment alias."
s.alwadi@nhc.sa,s.alwadi@nhc.sa,"National Housing Company (NHC, government-linked developer)",yes,yes,third_party_or_free_mail_unverified,https://nhc.sa/en/careers/,"Real, confirmed careers page, but it uses a portal/form; individual-style address not confirmed as a channel."
i.atassi@artar.com.sa,i.atassi@artar.com.sa,ARTAR / Abdulrahman Saad AlRashid & Sons (Riyadh),yes,yes,third_party_or_free_mail_unverified,https://www.artar.com.sa/en/contact-us,"Real, confirmed general contact is artar@artar.com.sa; this is a different, individual-style address."
oalkhunaizi@darwaemaar.com,oalkhunaizi@darwaemaar.com,"Dar Wa Emaar (real estate developer, Khobar)",yes,yes,third_party_or_free_mail_unverified,https://darwaemaar.com/en/contact/,Real company/domain; individual-style address not independently confirmed.
jobs@almasah.net,jobs@almasah.net,unknown (ambiguous -- multiple similarly-named Al Masah entities exist),no,unknown,company_identity_unresolved,none,"Found ""almasah.sa"" (tents/events) and ""Al Masah United General Contracting"" as real but distinct entities; ""almasah.net"" itself not confirmed to either."
recruitment.amjad@gmail.com,recruitment.amjad@gmail.com,unknown (free mail),no,unknown,third_party_or_free_mail_unverified,none,Free mail.
jobrydlaw@gmail.com,jobrydlaw@gmail.com,"unknown (free mail, reads as Riyadh law)",no,unknown,third_party_or_free_mail_unverified,none,Free mail.
Job@almoosahospital.com.sa,job@almoosahospital.com.sa,Al Moosa Specialist Hospital / Almoosa Health Group (Al-Ahsa),yes,yes,third_party_or_free_mail_unverified,https://almoosahealthgroup.org/about-us-en/careers/,"Real, well-known hospital group; direct fetch of the careers page returned HTTP 410, so this exact mailbox could not be first-party confirmed this pass."
recruitment@almoosahospital.com.sa,recruitment@almoosahospital.com.sa,Al Moosa Specialist Hospital / Almoosa Health Group,yes,yes,third_party_or_free_mail_unverified,https://almoosahealthgroup.org/about-us-en/careers/,"A secondary (aggregator) source states this is their recruitment email, but the official page itself returned HTTP 410 on direct fetch this pass -- not independently first-party confirmed."
jobs@sghgroup.net,jobs@sghgroup.net,Saudi German Hospitals Group,yes,yes,third_party_or_free_mail_unverified,https://career.saudigermanhealth.com/,"Real, large healthcare group; the recruiter contact actually found (via their own LinkedIn recruiting page) was an individual address (agammal@sghgroup.net), not jobs@."
career.dmm@sghgroup.net,career.dmm@sghgroup.net,Saudi German Hospitals Group (Dammam branch),yes,yes,third_party_or_free_mail_unverified,https://career.saudigermanhealth.com/,Same reasoning as above; plausible Dammam-branch alias but not confirmed.
