canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-malomatia,sr-qa-malomatia,malomatia,malomatia Q.S.C.,government_owned,information_technology,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://www.malomatia.com,https://malomatia.com/careers/,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,yes,medium,unknown,https://www.linkedin.com/company/malomatia,not_found,likely_official_needs_review,discovery_and_verification_only,https://malomatia.com/careers/; https://www.malomatia.com,medium,suitable_public_html_subject_to_review,verified,,"Government/Government-linked IT services provider (Government, Healthcare, Education sectors); 70+ vacancies referenced via secondary boards at verification time. CORRECTION PASS (2026-09-10): company_type corrected from public_joint_stock to government_owned - malomatia was founded as a Qatar Foundation/government-linked joint venture and is not QSE-listed; public_joint_stock incorrectly implied stock-exchange-listed status. ""government_owned"" confirmed as an existing valid value in this file's own documented company_type set (already used for Qatar Airways, QatarEnergy, North Oil Company, Ashghal, Kahramaa, Qatar Development Bank, Katara Hospitality, Qatar Rail, Al Jazeera Media Network) before applying.",2026-09-10,"Round Qatar-expansion candidate (user-supplied LinkedIn lead list, screenshots unavailable this session). WebSearch confirmed official domain and a dedicated /careers/ page. Audit-corrected 2026-09-10 (candidate C01)."
cc-progressoft,sr-qa-progressoft,ProgressSoft Corporation,ProgressSoft Corporation,private,fintech_investment,mid_size,Jordan,Qatar,QA,Doha,regional_middle_east,https://www.progressoft.com,https://www.progressoft.com/careers,active_with_open_jobs,Workable,progressoft,https://apply.workable.com/progressoft/,suitable_public_ats,yes,medium,unknown,https://www.linkedin.com/company/progresssoftcorp,not_found,likely_official_needs_review,discovery_and_verification_only,https://www.progressoft.com/careers; https://apply.workable.com/progressoft/; https://www.cra.gov.qa/en/Services/ICT-Business/ICT-Business-List/ICT-Business-Directory/Progress-soft-qatar,medium,suitable_public_ats,verified,,"Jordan-HQ'd real-time payments/imaging software vendor with a confirmed Qatar office (progressoftqatar@qa.com; listed in Qatar's Communications Regulatory Authority ICT business directory). Careers page is a shared global Workable board, not Qatar-exclusive.",2026-09-10,"Qatar-expansion candidate. Same evidentiary pattern already accepted in this registry for NewtecX/Netways (regional multi-market employer, confirmed Qatar office, shared regional careers channel)."
cc-the-utopia-studio,sr-qa-the-utopia-studio,The Utopia Studio,The Utopia Venture Platform,startup,technology_startup,small,Qatar,Qatar,QA,Doha,country_wide,https://www.utopia-studio.co,https://jobs.ashbyhq.com/the-studio,active_with_open_jobs,Ashby,the-studio,https://jobs.ashbyhq.com/the-studio,suitable_public_ats,yes,high,unknown,not_found,not_found,not_verified,discovery_and_verification_only,https://jobs.ashbyhq.com/the-studio; https://jobs.ashbyhq.com/the-studio/fc7cd0ca-47fa-4ad4-970e-4a8382860dd7; https://www.utopia-studio.co/,medium,suitable_public_ats,verified,,"Doha-based AI venture-building studio (""Qatar's first AI venture studio"" per own marketing); small team, live Ashby-hosted roles (Design Lead, Founder's Associate) confirmed with Doha location tags. CORRECTION PASS (2026-09-10): replaced the original LinkedIn job-view citation with the specific official Ashby job-posting URL (Head of Venture Success & Strategic Partnerships) already found during discovery but not previously cited, per audit finding.",2026-09-10,Qatar-expansion candidate. Audit-corrected 2026-09-10 (candidate C03).
cc-forvis-mazars-qatar,sr-qa-forvis-mazars,Forvis Mazars in Qatar,Forvis Mazars (Qatar practice),professional_services_network,consulting_professional_services,large_enterprise,France,Qatar,QA,Doha,country_wide,https://www.forvismazars.com/qa/en,https://www.forvismazars.com/qa/en/join-us/job-offers,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,yes,medium,unknown,https://www.linkedin.com/company/forvismazarsqatar,not_found,likely_official_needs_review,discovery_and_verification_only,https://www.forvismazars.com/qa/en/join-us/job-offers; https://www.forvismazars.com/qa/en,medium,suitable_public_html_subject_to_review,verified,,"Same evidence tier already used for the verified Deloitte/KPMG/PwC/EY Qatar rows in this registry: dedicated country-code careers subpage confirmed on the official global domain.",2026-09-10,Qatar-expansion candidate.
cc-north-oil-company,sr-qa-north-oil-company,North Oil Company,North Oil Company (NOC),government_owned,energy_oil_gas,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://www.noc.qa,https://www.noc.qa/en/Careers/Career-Opportunities,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,yes,high,yes_current,https://www.linkedin.com/company/north-oil-company-qatar,https://www.linkedin.com/company/north-oil-company-qatar/jobs/,likely_official_needs_review,discovery_and_verification_only,https://www.noc.qa/en/Careers/Career-Opportunities,high,suitable_public_html_subject_to_review,verified,,"Al Shaheen offshore oil-field operator (TotalEnergies 30% JV, est. 2017). Official careers page explicitly names an NOC Internship Programme for students plus roles for new Qatari graduates.",2026-09-10,Qatar-expansion candidate.
cc-international-schools-partnership,sr-qa-international-schools-partnership,International Schools Partnership,International Schools Partnership Ltd,private,education,large_enterprise,United Kingdom,Qatar,QA,Doha,country_wide,https://internationalschoolspartnership.com,https://careers.internationalschoolspartnership.com/search/jobs/in/country/qatar,active_with_open_jobs,unknown,,https://careers.internationalschoolspartnership.com/search/jobs/in/country/qatar,suitable_public_html_subject_to_review,yes,high,unknown,not_found,not_found,not_verified,discovery_and_verification_only,https://careers.internationalschoolspartnership.com/search/jobs/in/country/qatar,high,suitable_public_html_subject_to_review,verified,,"Global school-group operator; official careers portal has a working country=Qatar filter showing live teaching/admin roles across its two Qatar schools, Park House English School and The Hamilton International School. CORRECTION PASS (2026-09-10): company_type corrected from ngo_nonprofit to private - ISP is a for-profit, private-equity-backed (Partners Group majority stake since 2021) school group, not a nonprofit/NGO. ""private"" confirmed as the existing valid value in this file's documented company_type set representing a private for-profit company.",2026-09-10,Qatar-expansion candidate. Audit-corrected 2026-09-10 (candidate C06).
cc-epam-systems,sr-qa-epam-systems,EPAM Systems,EPAM Systems Inc. (Qatar office),multinational_subsidiary,information_technology,large_enterprise,United States,Qatar,QA,Doha,country_wide,https://www.epam.com,https://www.epam.com/careers/locations/qatar,active_with_open_jobs,unknown,,https://www.epam.com/careers/locations/qatar,suitable_public_html_subject_to_review,yes,medium,unknown,not_found,not_found,not_verified,discovery_and_verification_only,https://www.epam.com/careers/locations/qatar; https://www.epam.com/careers/job-listings/job.89931.technical-lead-net_doha_qatar,high,suitable_public_html_subject_to_review,verified,,"Confirmed Doha office address (D Ring Rd); dedicated Qatar-location careers page lists live on-site/hybrid Doha roles (Technical Lead .NET, Senior Software Engineer - AEM).",2026-09-10,Qatar-expansion candidate.
cc-ali-bin-ali,sr-qa-ali-bin-ali,Ali Bin Ali,Ali Bin Ali Holding,private,retail_consumer_goods,large_enterprise,Qatar,Qatar,QA,Doha,country_wide,https://alibinali.com,https://alibinali.com/careers/,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,unknown,medium,unknown,not_found,not_found,not_verified,discovery_and_verification_only,https://alibinali.com/careers/,medium,suitable_public_html_subject_to_review,verified,,One of Qatar's largest retail/distribution conglomerates representing many global brands; official careers page confirmed.,2026-09-10,Qatar-expansion candidate.
cc-regency-technology-qatar,sr-qa-regency-technology,Regency Technology Qatar,Regency Technology (Al Asmakh / Regency Group Holding),private,information_technology,small,Qatar,Qatar,QA,Doha,country_wide,https://regencytechno.com,https://regencytechno.com/career.html,active_with_open_jobs,unknown,,unknown,suitable_public_html_subject_to_review,yes,low,unknown,https://www.linkedin.com/company/regency-technology---qatar,not_found,likely_official_needs_review,discovery_and_verification_only,https://regencytechno.com/career.html,medium,suitable_public_html_subject_to_review,verified,,"Est. 2012, Doha-based IT infrastructure/AV/security integrator (part of Regency Group Holding, ~21 staff). Career page lists live openings (IT Support Technician, Junior SharePoint Administrator).",2026-09-10,Qatar-expansion candidate.
cc-kbr,sr-qa-kbr,KBR,KBR Qatar Trading & Contracting,multinational_subsidiary,engineering_construction,large_enterprise,United States,Qatar,QA,Doha,country_wide,https://www.kbr.com,https://kbr.wd5.myworkdayjobs.com/KBR_Careers,active_with_open_jobs,Workday,KBR_Careers,https://kbr.wd5.myworkdayjobs.com/KBR_Careers,suitable_public_ats,yes,low,unknown,https://www.linkedin.com/company/kbr-qatar-trading-contracting,not_found,likely_official_needs_review,discovery_and_verification_only,https://kbr.wd5.myworkdayjobs.com/en-US/KBR_Careers/job/Ad-Dawhah-Qatar/Senior-Quality-Engineer_R2058968,high,suitable_public_ats,verified,,"Global engineering/government-services contractor; confirmed Workday-hosted board with live Doha technician roles (Mechanical/Electrical/Instrument Technician). CORRECTION PASS (2026-09-10): audit flagged that the specific Doha postings originally cited came from secondary aggregators, not the primary Workday board directly. RE-FETCH COMPLETED this pass: a live requisition directly on the official Workday board was independently confirmed (Senior Quality Engineer, req R2058968, location tagged ""Ad-Dawhah-Qatar""), replacing the weaker secondary-board evidence.",2026-09-10,"Qatar-expansion candidate. Audit-corrected 2026-09-10 (candidate C10) - correction fully completed with a confirmed live official posting."
