internal_row_id,canonical_name,relevance_status,relevance_reason,google_category,mapped_industry_guess,mapped_company_type_guess,regions,categories,address,city,country_code,phone,google_maps_url,google_place_ids,google_rating,google_reviews_count,google_supplied_website,official_website_url,website_verification_status,website_evidence_url,website_notes,verification_date,careers_source_type,careers_page_url,ats_provider_detected,careers_evidence_url,careers_notes,linkedin_company_url,linkedin_status,linkedin_evidence_url,linkedin_identity_confidence,linkedin_notes,current_open_jobs_detected,source_confidence,automation_eligibility,review_status,enrichment_batch_status,researcher_notes
uae-pilot-0306,Modern Home Engineering consultant,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Architecture firm;Engineering consultant;Carpet store,engineering architecture design,private,,Architecture firm;Engineering consultant;Carpet store,"MBZ- Mazyad mall, Tower 3, floor 3 of(304 - Abu Dhabi - United Arab Emirates",Abu Dhabi,AE,+971 2 585 8440,https://www.google.com/maps/search/?api=1&query=Modern%20Home%20Engineering%20consultant&query_place_id=ChIJgf0lEycxXj4R8LTF3EFGAI0,,4.8,215,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,social_media_only_no_website,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,"Google Maps supplied only an Instagram profile link, not an official website - insufficient for verification per this project rules (a social profile alone is not an official site).",2026-09-07,not_applicable,,not_applicable,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,"Google Maps supplied only an Instagram profile link, not an official website - insufficient for verification per this project rules (a social profile alone is not an official site).",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,not_applicable,medium,suitable_public_ats,no_official_source_found,enriched_2026-09-07,"Google Maps supplied only an Instagram profile link, not an official website - insufficient for verification per this project rules (a social profile alone is not an official site)."
uae-pilot-0301,MF Architect | LEED | Estidama | Acoustics | Training,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Architecture firm,engineering architecture design,private,,Architecture firm,Incubator Building Fr. Floor - Masdar City - SE45 05 - Abu Dhabi - United Arab Emirates,Abu Dhabi,AE,+971 50 642 8767,https://www.google.com/maps/search/?api=1&query=MF%20Architect%20%7C%20LEED%20%7C%20Estidama%20%7C%20Acoustics%20%7C%20Training&query_place_id=ChIJT46o429nXj4RtWH_Y8jsfX0,,5.0,89,https://www.archmfrancis.com/,https://www.archmfrancis.com/,confirmed_official,https://www.archmfrancis.com/,"Real architecture firm (30+ yrs, LEED/Estidama), but only a general contact form found, no careers page or hiring-specific email.",2026-09-07,none_found_general_contact_only,,none,https://www.archmfrancis.com/,"Real architecture firm (30+ yrs, LEED/Estidama), but only a general contact form found, no careers page or hiring-specific email.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,medium,unknown,needs_manual_review,enriched_2026-09-07,"Real architecture firm (30+ yrs, LEED/Estidama), but only a general contact form found, no careers page or hiring-specific email."
uae-pilot-0129,Capital Engineering Consultancy LLC,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Engineering consultant;Consultant,engineering architecture design,private,,Engineering consultant;Consultant,"Unit M 1,2, 3 & 4,Building No.: C402 - Building no 9 Al Du St - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates",Abu Dhabi,AE,+971 2 553 7568,https://www.google.com/maps/search/?api=1&query=Capital%20Engineering%20Consultancy%20LLC&query_place_id=ChIJ77dln-VAXj4RGXeALFWrLwE,,4.7,85,http://www.capitalengg.com/,http://www.capitalengg.com/,confirmed_official,http://www.capitalengg.com/,"Multi-disciplinary engineering consultancy, est. 2006, ISO/ICV certified, MENA Winner Award 2024, operations in 7 countries. HQ address shown is Sharjah (Abu Shagara) even though discovered via an Abu Dhabi Google Maps search - flagged in researcher_notes, kept as Abu Dhabi market presence per the Google Maps evidence rather than guessed away.",2026-09-07,dedicated_careers_page,http://www.capitalengg.com/careers,unknown_not_itemized,http://www.capitalengg.com/careers,"Multi-disciplinary engineering consultancy, est. 2006, ISO/ICV certified, MENA Winner Award 2024, operations in 7 countries. HQ address shown is Sharjah (Abu Shagara) even though discovered via an Abu Dhabi Google Maps search - flagged in researcher_notes, kept as Abu Dhabi market presence per the Google Maps evidence rather than guessed away.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,high,suitable_public_ats,new_verified,enriched_2026-09-07,"Multi-disciplinary engineering consultancy, est. 2006, ISO/ICV certified, MENA Winner Award 2024, operations in 7 countries. HQ address shown is Sharjah (Abu Shagara) even though discovered via an Abu Dhabi Google Maps search - flagged in researcher_notes, kept as Abu Dhabi market presence per the Google Maps evidence rather than guessed away."
uae-pilot-0009,AAMER Logistics L.L.C. Tasheel - Taw-jeeh / تسهيل - توجيه,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Logistics service,construction accounting logistics,private,,Logistics service,HSBC Building - Sheikh Rashid Bin Saeed - 3rd Floor - Abu Dhabi - United Arab Emirates,Abu Dhabi,AE,+971 2 651 9000,https://www.google.com/maps/search/?api=1&query=AAMER%20Logistics%20L.L.C.%20Tasheel%20-%20Taw-jeeh%20%2F%20%D8%AA%D8%B3%D9%87%D9%8A%D9%84%20-%20%D8%AA%D9%88%D8%AC%D9%8A%D9%87&query_place_id=ChIJj6wSaBPm1qcR3EMzIryXRjk,,5.0,720,https://aamergroup.ae/,https://aamergroup.ae/,confirmed_official,https://aamergroup.ae/,"Real logistics group with several subsidiaries (Aamer Consultancy/Logistics/Business/Delivery/Digital Hub), but no careers page found - hiring may vary by division.",2026-09-07,none_found_general_contact_only,,none,https://aamergroup.ae/,"Real logistics group with several subsidiaries (Aamer Consultancy/Logistics/Business/Delivery/Digital Hub), but no careers page found - hiring may vary by division.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,medium,unknown,needs_manual_review,enriched_2026-09-07,"Real logistics group with several subsidiaries (Aamer Consultancy/Logistics/Business/Delivery/Digital Hub), but no careers page found - hiring may vary by division."
uae-pilot-0278,Logical Accounting & Tax Solutions (LATS),eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Accounting firm,construction accounting logistics,private,,Accounting firm,near Indian Model School - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Abu Dhabi,AE,+971 55 326 6530,https://www.google.com/maps/search/?api=1&query=Logical%20Accounting%20%26%20Tax%20Solutions%20(LATS)&query_place_id=ChIJ36ClD8s5Xj4RIt9cJYWRCS8,,4.9,269,http://lats.ae/,http://lats.ae/,confirmed_official,http://lats.ae/,"Real accounting/tax firm, but no careers page found.",2026-09-07,none_found_general_contact_only,,none,http://lats.ae/,"Real accounting/tax firm, but no careers page found.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,medium,unknown,needs_manual_review,enriched_2026-09-07,"Real accounting/tax firm, but no careers page found."
uae-pilot-0079,AMA Global Audit Tax Advisory,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Accounting firm,construction accounting logistics,private,,Accounting firm,"F9P7+FPQ Office 204, Al Otaiba Tower - Electra St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates",Abu Dhabi,AE,+971 58 574 3224,https://www.google.com/maps/search/?api=1&query=AMA%20Global%20Audit%20Tax%20Advisory&query_place_id=ChIJVzhMJDNnXj4RhGgVuwuhG7I,,4.8,260,https://www.amaaudit.com/,https://www.amaaudit.com/,confirmed_official,https://www.amaaudit.com/,"Audit/tax/advisory firm est. 1999, PrimeGlobal network member, offices in Abu Dhabi, Dubai, India, Singapore, USA.",2026-09-07,dedicated_careers_page,https://amaaudit.com/careers/,unknown_not_itemized,https://amaaudit.com/careers/,"Audit/tax/advisory firm est. 1999, PrimeGlobal network member, offices in Abu Dhabi, Dubai, India, Singapore, USA.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,high,suitable_public_ats,new_verified,enriched_2026-09-07,"Audit/tax/advisory firm est. 1999, PrimeGlobal network member, offices in Abu Dhabi, Dubai, India, Singapore, USA."
uae-pilot-0023,ADMA Consulting and Accounting LLC,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Accounting firm,construction accounting logistics,private,,Accounting firm,Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates,Abu Dhabi,AE,+971 2 628 0778,https://www.google.com/maps/search/?api=1&query=ADMA%20Consulting%20and%20Accounting%20LLC&query_place_id=ChIJw7iRhmRnXj4R8bHUCOr8aaI,,4.9,191,http://www.admauae.com/,http://www.admauae.com/,confirmed_official,http://www.admauae.com/,"Real accounting/consulting firm, but no careers page found.",2026-09-07,none_found_general_contact_only,,none,http://www.admauae.com/,"Real accounting/consulting firm, but no careers page found.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,medium,unknown,needs_manual_review,enriched_2026-09-07,"Real accounting/consulting firm, but no careers page found."
uae-pilot-0199,Eurolink Safety,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Training center,other,private,,Training center,Golf Park Building - Ste 309 - Sheikh Rashid Rd - Al Garhoud - Dubai - United Arab Emirates,Dubai,AE,+971 4 282 4263,https://www.google.com/maps/search/?api=1&query=Eurolink%20Safety&query_place_id=ChIJbwmn6hhdXz4Rh9YP2pBlHhM,,4.9,3575,http://www.eurolinksafety.com/,http://www.eurolinksafety.com/,confirmed_official,http://www.eurolinksafety.com/,"Real HSE training/consultancy est. 1992, offices in Dubai, Abu Dhabi, RAK, and Riyadh (multi-emirate coverage), but no careers page found - only functional business/head-office emails.",2026-09-07,none_found_general_contact_only,,none,http://www.eurolinksafety.com/,"Real HSE training/consultancy est. 1992, offices in Dubai, Abu Dhabi, RAK, and Riyadh (multi-emirate coverage), but no careers page found - only functional business/head-office emails.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,medium,unknown,needs_manual_review,enriched_2026-09-07,"Real HSE training/consultancy est. 1992, offices in Dubai, Abu Dhabi, RAK, and Riyadh (multi-emirate coverage), but no careers page found - only functional business/head-office emails."
uae-pilot-0123,Brands For Less - Burjuman,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Discount store,other,private,,Discount store,Burjuman Mall - 2nd Floor - Khalid Bin Al Waleed Rd - Mankhool - Dubai - United Arab Emirates,Dubai,AE,+971 4 546 3784,https://www.google.com/maps/search/?api=1&query=Brands%20For%20Less%20-%20Burjuman&query_place_id=ChIJL3AtRIRDXz4RKYjAZC3anD0,,4.1,1735,http://www.brandsforless.com/,http://www.brandsforless.com/,blocked_technical,http://www.brandsforless.com/,"brandsforless.com returned HTTP 403 this pass (likely bot-protection). Brands For Less is a well-known large regional discount-retail chain - high-value target for a future pass via a different method. This specific Google Maps hit was one mall branch (Burjuman); a future pass should verify the group entity, not the branch.",2026-09-07,not_confirmed_this_pass,,unknown,http://www.brandsforless.com/,"brandsforless.com returned HTTP 403 this pass (likely bot-protection). Brands For Less is a well-known large regional discount-retail chain - high-value target for a future pass via a different method. This specific Google Maps hit was one mall branch (Burjuman); a future pass should verify the group entity, not the branch.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,medium,unknown,needs_manual_review,enriched_2026-09-07,"brandsforless.com returned HTTP 403 this pass (likely bot-protection). Brands For Less is a well-known large regional discount-retail chain - high-value target for a future pass via a different method. This specific Google Maps hit was one mall branch (Burjuman); a future pass should verify the group entity, not the branch."
uae-pilot-0062,AL TAJ CARGO - Dubai,eligible_employer,"Selected for full enrichment: plausible genuine employer in a UAE-baseline gap sector, ranked by Google review count/rating within its sector-cluster x city cell.",Freight forwarding service,construction accounting logistics,private,,Freight forwarding service,near Hot Fish Restaurant - Al Karama - Dubai - United Arab Emirates,Dubai,AE,+971 4 320 8494,https://www.google.com/maps/search/?api=1&query=AL%20TAJ%20CARGO%20-%20Dubai&query_place_id=ChIJG_gPSsBDXz4RMx5SBzs3Vvs,,4.9,208,https://www.altajcargo.com/,https://www.altajcargo.com/,confirmed_official,https://www.altajcargo.com/,"Real freight/cargo company, Sharjah HQ with a Dubai office, 11+ yrs claimed, but no careers page found.",2026-09-07,none_found_general_contact_only,,none,https://www.altajcargo.com/,"Real freight/cargo company, Sharjah HQ with a Dubai office, 11+ yrs claimed, but no careers page found.",,not_verified,,not_applicable,Not researched this pass - LinkedIn is never scraped or used for verification per project policy.,unknown,medium,unknown,needs_manual_review,enriched_2026-09-07,"Real freight/cargo company, Sharjah HQ with a Dubai office, 11+ yrs claimed, but no careers page found."
