item,relationship_type,related_entity_or_canonical_id,decision,evidence_urls,notes
"QuantumBlack, AI by McKinsey",subsidiary_brand_of_already_present,cc-mckinsey,treated as duplicate_or_alias -- not staged separately,https://www.mckinsey.com/capabilities/quantumblack/careers-and-community,"QuantumBlack is McKinsey's AI/analytics division; live Riyadh roles run through McKinsey's own careers site. Same corporate entity as the already-verified cc-mckinsey row in saudi-arabia.csv. Consistent with existing registry precedent of not double-counting a parent's branded division unless it has its own distinct legal/ATS identity (contrast with BCG Platinion below, which was kept separate)."
Emdad by Elm,existing_evidence_already_on_file,cc-elm,treated as duplicate_or_alias -- not staged separately,https://career.elm.sa/emdad,"career.elm.sa/emdad is literally the public_jobs_endpoint_or_feed value already recorded on the existing verified cc-elm row in saudi-arabia.csv (row 32). Not a new employer -- Elm's own HR-staffing subsidiary/portal, already documented."
"BCG Platinion / Boston Consulting Group",subsidiary_brand_distinct_ATS_kept_separate,cc-bcg-platinion-sa (newly staged),staged separately -- not merged into a generic BCG row,https://careers.bcg.com/global/en/job/56326/AI-Tech-Consultant-Enterprise-Solutions-Riyadh-BCG-Platinion,"BCG has no pre-existing row in saudi-arabia.csv to alias against. Kept as its own row per existing multi-market registry precedent for branded regional consulting divisions (cf. KPMG's Hamaat program and EY's Yello tenant, both kept under the parent firm's own row rather than split further) -- BCG Platinion is the deepest split level actually evidenced (10 live Riyadh listings under its own branding), so staged at that level. A human may choose to fold it under a future plain 'BCG' row if one is added."
HUMAIN,confirmed_NOT_a_duplicate_or_alias,cc-humai (United Arab Emirates -- unrelated),no relationship -- HUMAIN kept as its own distinct manual_review candidate,https://www.pif.gov.sa/en/our-investments/our-portfolio/humain/;https://en.wikipedia.org/wiki/Humai,"Explicit disambiguation check requested by the task brief. HUMAIN (Saudi PIF-owned AI company, humain.ai, launched 2025) and Humai (existing UAE registry row cc-humai) are two different, independently-confirmed real companies that merely sound similar. HUMAIN itself is held at manual_review (not verified_stage_employer) because its own careers/ATS URL was not directly confirmed this pass -- see manual-review-queue.csv."
Noon – Education for Everyone,confirmed_NOT_a_duplicate_or_alias,noon.com (e-commerce -- unrelated),no relationship -- staged as its own distinct employer (Noon Academy),https://careers.learnatnoon.com/,"Explicit disambiguation check requested by the task brief. The supplied lead is Noon Academy (learnatnoon.com), a Riyadh-HQ EdTech company, confirmed unrelated to the Noon.com e-commerce marketplace. Staged as cc-noon-academy in saudi-promotion-staging.csv under the company_name ""Noon (Noon Academy)"" to avoid future confusion with Noon.com."
Scale AI,multi_market_brand_existing_row_different_country,cc-scale-ai-qatar (Qatar only),NOT staged for Saudi -- kept at insufficient_evidence,n/a,"Scale AI already has a verified row for Qatar (cc-scale-ai-qatar). No Saudi-specific office, job posting, or careers-page evidence was found this pass, so this is genuinely new-market-evidence-needed rather than a duplicate to resolve -- see rejected-candidates.csv."
Amazon Web Services / Amazon,multi_market_brand_existing_row_different_country,cc-amazon-uae (United Arab Emirates),NOT a duplicate -- staged as a new Saudi row (cc-amazon-sa),https://www.amazon.jobs/,"Amazon already has a verified UAE row (cc-amazon-uae). Per repo convention, the same canonical brand may have separate rows per target_country as long as the (id, country) pair is unique. Staged for Saudi as cc-amazon-sa, following the existing '-uae' suffix pattern used for the UAE row."
Accenture Middle East,multi_market_brand_existing_row_different_country,cc-accenture-qatar (Qatar),NOT a duplicate -- staged as a new Saudi row (cc-accenture-sa),https://www.accenture.com/sa-en/careers,"Same multi-market pattern as Amazon above. Staged for Saudi as cc-accenture-sa, consistent with the existing '-qatar' suffix convention."
SLB,multi_market_brand_existing_row_different_country,cc-slb-qatar (Qatar),NOT a duplicate -- staged as a new Saudi row using the market-neutral id cc-slb,https://apply.slb.com/careers/*/multi_location_saudi_arabia,"Qatar's existing row uses a '-qatar' suffix (cc-slb-qatar). No bare 'cc-slb' id exists anywhere in the registry yet, so the Saudi row was staged under the clean market-neutral id 'cc-slb' rather than minting a redundant '-saudi' suffix, per the task rule against minting market-suffixed ids when a safe market-neutral id is available. (id, target_country) uniqueness confirmed: cc-slb||Saudi Arabia does not collide with cc-slb-qatar||Qatar."
KBR,multi_market_brand_existing_row_different_country,cc-kbr (Qatar -- unsuffixed),NOT a duplicate -- staged as a new Saudi row REUSING the exact same id cc-kbr,https://www.glassdoor.com/Jobs/KBR-Saudi-Arabia-Jobs-EI_IE18604.0,3_IL.4,16_IN207.htm,"KBR's existing Qatar row already uses the bare, unsuffixed id 'cc-kbr'. The Saudi row was staged reusing that IDENTICAL id 'cc-kbr' with target_country=Saudi Arabia -- this is explicitly allowed per the task rule that the same canonical_company_id may legitimately repeat across markets as long as (id, target_country) is unique, which was verified (cc-kbr||Saudi Arabia does not collide with cc-kbr||Qatar). Flagging only so a human confirms this is the intended convention before merge, since it differs from how Scale AI/Accenture/Amazon (all market-suffixed) were staged."
