internal_row_id,canonical_name,city,sector_label,verification_classification,website_verification_status,careers_source_type,careers_page_url,ats_provider_detected,linkedin_company_url,linkedin_usable,researcher_notes,official_website_url,normalized_domain,google_maps_url,verification_date
uae-pilot-0100,Assist Plus,Abu Dhabi,Accounting/Audit,new_verified,confirmed_official,dedicated_careers_page,https://www.assistplus.ae/careers,unknown,https://www.linkedin.com/company/assist-plus-accounting-and-auditing-services/,company_page_usable,"Accounting/audit firm regulated by UAE Ministry of Economy, DIFC, FTA. Site states it is ""An Assist Plus Group Company"" with a separate Subsidiaries menu - flagged as a group structure, not a blocker. Offices in Abu Dhabi (HQ), Dubai, Sharjah.",https://www.assistplus.ae/,assistplus.ae,https://www.google.com/maps/search/?api=1&query=Assist%20Plus&query_place_id=ChIJT0FT4M1pXj4RCsd8IxSAjQQ,2026-09-07
uae-pilot-0018,Accountspro Accounting Tax Consultancy L. L. C - S. P. C,Abu Dhabi,Accounting/Audit,needs_more_evidence,confirmed_official,none_found_general_contact_only,,none,"https://www.linkedin.com/company/105158793 (unverified slug, numeric id only)",not_confirmed,"Real independent accounting firm, Abu Dhabi. No careers page found.",http://www.accountspro.ae/,accountspro.ae,https://www.google.com/maps/search/?api=1&query=Accountspro%20Accounting%20Tax%20Consultancy%20L.%20L.%20C%20-%20S.%20P.%20C&query_place_id=ChIJ48HzewA5Xj4RqcN5R9I4kmw,2026-09-07
uae-pilot-0434,Vitruvius Accounting Records and Books Keeping Organisation,Abu Dhabi,Accounting/Audit,needs_more_evidence,confirmed_official,none_found_general_contact_only,,none,[personal LinkedIn profile URL - redacted, not used as evidence per policy],personal_profile_not_usable,"Real independent firm (LLC OPC), Abu Dhabi, 15+ yrs claimed. Only a personal linkedin.com/in/ profile self-referenced - not usable per policy (company pages only). No careers page.",https://www.vitruvius.ae/,vitruvius.ae,https://www.google.com/maps/search/?api=1&query=Vitruvius%20Accounting%20Records%20and%20Books%20Keeping%20Organisation&query_place_id=ChIJcYX41iZnXj4RCKbWHc84iok,2026-09-07
uae-pilot-0450,Yemnak Management Consultancy L.L.C.,Abu Dhabi,Accounting/Audit,needs_more_evidence,blocked_technical,not_confirmed_this_pass,,unknown,,not_confirmed,"Two fetch attempts returned only a page title (""Business Consulting & Advisory Services UAE | Yemnak""), no substantive content - likely a JS-rendered page. Needs a manual browser check.",https://www.yemnak.ae/,yemnak.ae,https://www.google.com/maps/search/?api=1&query=Yemnak%20Management%20Consultancy%20L.L.C.&query_place_id=ChIJSf-Zr-BlXj4R1nB2GJnSFjQ,2026-09-07
uae-pilot-0458,Zero Accounting,Abu Dhabi,Accounting/Audit,needs_more_evidence,blocked_technical,not_confirmed_this_pass,,unknown,,not_confirmed,"Two fetch attempts returned only a page title (""Zero Accounting — Dubai & Abu Dhabi Auditing and Accounting Firm""), no substantive content - likely a JS-rendered page. Needs a manual browser check.",https://zeroaccounting.ae/,zeroaccounting.ae,https://www.google.com/maps/search/?api=1&query=Zero%20Accounting&query_place_id=ChIJcdHpJd9nXj4R9FnIcWqLKMI,2026-09-07
uae-pilot-0156,Darji Accounting,Dubai,Accounting/Audit,new_verified,confirmed_official,dedicated_careers_page,https://darjiaccounting.ae/careers/,unknown,[personal LinkedIn profile URL - redacted, not used as evidence per policy],personal_profile_not_usable_but_careers_page_sufficient,"Independent accounting firm, Dubai + London offices, 25+ yrs collective experience. Careers page directly confirmed. Self-referenced LinkedIn is the founder's personal profile (not used per policy) but the dedicated careers page alone is sufficient evidence.",http://www.darjiaccounting.ae/,darjiaccounting.ae,https://www.google.com/maps/search/?api=1&query=Darji%20Accounting&query_place_id=ChIJIXSqdSJDXz4Rgu6sxd5ia-4,2026-09-07
uae-pilot-0112,Bericht Audit & Advisory,Dubai,Accounting/Audit,new_verified,confirmed_official,dedicated_careers_page,https://bericht.ae/Career,unknown,https://www.linkedin.com/company/bericht-audit-advisory/,company_page_usable,"Independent audit/advisory firm est. 2014, 50+ staff claimed, DDA/DMCC-approved auditor, PrimeGlobal member. Careers link confirmed in site footer; sub-page content not independently rendered this pass.",https://bericht.ae/,bericht.ae,https://www.google.com/maps/search/?api=1&query=Bericht%20Audit%20%26%20Advisory&query_place_id=ChIJA-SNdANfXz4RFG8Cg6nOYls,2026-09-07
uae-pilot-0230,Hampshire Accountants Dubai,Dubai,Accounting/Audit,needs_more_evidence,confirmed_official,none_found_general_contact_only,,none,,not_confirmed,"Real independent firm (also UK-based), Dubai branch, ACCA/AAT affiliated. No careers page or LinkedIn self-reference found.",http://www.hampshire.ae/,hampshire.ae,https://www.google.com/maps/search/?api=1&query=Hampshire%20Accountants%20Dubai&query_place_id=ChIJWYoZUABDXz4R_Hk0tBNTsvA,2026-09-07
uae-pilot-0052,Al Marona Accounting and Bookkeeping,Dubai,Accounting/Audit,needs_more_evidence,confirmed_official,none_found_general_contact_only,,none,"referenced generically, no direct URL captured",not_confirmed,"Real independent business-advisory firm, two Dubai offices. No careers page found; LinkedIn mentioned only in body text, no direct URL captured.",https://www.almarona.com/,almarona.com,https://www.google.com/maps/search/?api=1&query=Al%20Marona%20Accounting%20and%20Bookkeeping&query_place_id=ChIJIfcYWHZDXz4RY14OaM4Qc-Q,2026-09-07
uae-pilot-0083,AMZ Consultants,Dubai,Accounting/Audit,needs_more_evidence,blocked_technical,not_confirmed_this_pass,,unknown,,not_confirmed,"Two fetch attempts (homepage + /about-us, which 404d) returned only a page title, no substantive content. Needs a manual browser check.",https://www.amzconsultants.ae/,amzconsultants.ae,https://www.google.com/maps/search/?api=1&query=AMZ%20Consultants&query_place_id=ChIJyzWYxzVDXz4Rta7jxWTYpiM,2026-09-07
uae-pilot-0416,TalaweenInteriors,Abu Dhabi,Architecture,needs_more_evidence,blocked_technical,not_confirmed_this_pass,,unknown,,not_confirmed,SSL error (TLSV1_ALERT_INTERNAL_ERROR) on fetch - could not verify content this pass. Needs a manual browser check or retry.,https://talaween.ae/,talaween.ae,https://www.google.com/maps/search/?api=1&query=TalaweenInteriors&query_place_id=ChIJt2VLbtEH0EYRGbMVdBBLswA,2026-09-07
