internal_row_id,canonical_name,relevance_status,review_status_source,proposed_action,reason,matched_destination_row,proposed_destination_status,automation_eligibility,confidence_level,official_website_url,careers_page_url
uae-pilot-0001,.قواعد للأستشارات الهندسية - QEC Engineering Consultants abu dhabi.,eligible_employer,eligible_employer,hold_manual_review,"Real, plausible candidate; evidence remains insufficient for verification (see manual-review-queue.csv for exact reason).",,needs_manual_review,see staging/manifest,n/a,https://qec-uae.com/ar,
uae-pilot-0002,+971 Architects,eligible_employer_no_website,eligible_employer_no_website,hold_manual_review,"Real, plausible candidate; evidence remains insufficient for verification (see manual-review-queue.csv for exact reason).",,needs_manual_review,see staging/manifest,n/a,,
uae-pilot-0003,2 FAR ROBOTICS,irrelevant_small_retail_or_generic,irrelevant_small_retail_or_generic,exclude_rejected,Rejected - see rejected-candidates.csv for exact reason.,,not_applicable,see staging/manifest,n/a,http://www.2fr.co/store,
uae-pilot-0004,3 Square Interior Design L.L.C.,eligible_employer_no_website,eligible_employer_no_website,hold_manual_review,"Real, plausible candidate; evidence remains insufficient for verification (see manual-review-queue.csv for exact reason).",,needs_manual_review,see staging/manifest,n/a,,
uae-pilot-0005,360 Degree Contracting,eligible_employer_no_website,eligible_employer_no_website,hold_manual_review,"Real, plausible candidate; evidence remains insufficient for verification (see manual-review-queue.csv for exact reason).",,needs_manual_review,see staging/manifest,n/a,,
uae-pilot-0006,7md Store Al Falah Central Mall حمد ستور الفلاح سنترال مول,irrelevant_small_retail_or_generic,irrelevant_small_retail_or_generic,exclude_rejected,Rejected - see rejected-candidates.csv for exact reason.,,not_applicable,see staging/manifest,n/a,https://www.7md.ae/,
uae-pilot-0007,"A Super Fast Cargo & Logistics - -UK,US,NZ,AUS,GER,CANADA,GCC & ALL OTHER COUNTRIES",eligible_employer,eligible_employer,exclude_rejected,Rejected - see rejected-candidates.csv for exact reason.,,not_applicable,see staging/manifest,n/a,https://superfastcargo.ae/,
uae-pilot-0008,A&T Group Interiors,eligible_employer,new_verified,promote_now,Directly WebFetch-confirmed official website + careers page/ATS/equivalent hiring channel.,cc-at-group-interiors,verified,see staging/manifest,high,https://www.atginteriors.com/,
uae-pilot-0009,AAMER Logistics L.L.C. Tasheel - Taw-jeeh / تسهيل - توجيه,eligible_employer,eligible_employer,hold_manual_review,"Real, plausible candidate; evidence remains insufficient for verification (see manual-review-queue.csv for exact reason).",,needs_manual_review,see staging/manifest,n/a,https://aamergroup.ae/,
uae-pilot-0010,Aashiyana Accounting & Bookkeeping,eligible_employer,eligible_employer,hold_manual_review,"Real, plausible candidate; evidence remains insufficient for verification (see manual-review-queue.csv for exact reason).",,needs_manual_review,see staging/manifest,n/a,https://www.aashiyanaaccounting.com/,
