canonical_name,normalized_domain,website,place_ids,regions,categories,address,city,phone,rating,reviews_count,google_maps_url,duplicate_count,flagged_for_review,source,scraped_at
Index of Solutions,indexofsolutions.com,https://www.indexofsolutions.com/,ChIJnw339PEXHxURt9iObDUOGgs,Beirut,Software and IT services,"VFHR+WQM Cornish el, Beirut, Lebanon",Beirut,+961 3 865 174,5,48,https://www.google.com/maps/search/?api=1&query=Index%20of%20Solutions&query_place_id=ChIJnw339PEXHxURt9iObDUOGgs,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.827Z
CODERS - ERP systems and solutions - Microsoft Dynamics 365 Lebanon - Microsoft Gold Partner,coders.solutions,https://coders.solutions/,ChIJ9T1e0UIXHxUR-yWOUnJwx24,Beirut,Software and IT services,"Sa'eb Salam Avenue Owaini Building, 4th Floor, Beirut, Lebanon",Beirut,+961 1 303 189,4.7,3,https://www.google.com/maps/search/?api=1&query=CODERS%20-%20ERP%20systems%20and%20solutions%20-%20Microsoft%20Dynamics%20365%20Lebanon%20-%20Microsoft%20Gold%20Partner&query_place_id=ChIJ9T1e0UIXHxUR-yWOUnJwx24,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.828Z
Optimal Solutions,optimalsolutionscorp.com,https://optimalsolutionscorp.com/,ChIJTxYPqwsXHxURDNGsuvjfzQE,Beirut,Software and IT services,"Columbia Center Block A 11th floor Cornish, Mazraa, Beirut, Lebanon",Beirut,+961 3 755 614,4.9,14,https://www.google.com/maps/search/?api=1&query=Optimal%20Solutions&query_place_id=ChIJTxYPqwsXHxURDNGsuvjfzQE,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.828Z
Scope for IT services,scopeexperts.com,http://www.scopeexperts.com/,ChIJs2oogDkXHxURd9TI0inpkHo,Beirut,Software and IT services,"Corniche al Mazraa, Facing LibanPost, Al-Sabbah Center, 2nd Floor, Beirut, Lebanon",Beirut,+961 1 303 575,5,16,https://www.google.com/maps/search/?api=1&query=Scope%20for%20IT%20services&query_place_id=ChIJs2oogDkXHxURd9TI0inpkHo,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.829Z
TechnoWare,,,ChIJl6NTcgAXHxURtLeAuYhb-Rg,Beirut,Software and IT services,"VFJQ+FX2, Beirut, Lebanon",Beirut,+961 3 493 249,5,1,https://www.google.com/maps/search/?api=1&query=TechnoWare&query_place_id=ChIJl6NTcgAXHxURtLeAuYhb-Rg,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.829Z
EDM - Beirut,edm-tech.com,https://edm-tech.com/,ChIJ9QBYfToXHxURjZiHWuNBhcM|ChIJJ_Kl1FwXHxUR7GRTbDRT3mA,Beirut,Software and IT services,"Unesco, Saeb Salam Av., Saiidi Bldg., 1st & 2nd floors, Beirut, Lebanon",Beirut,+961 78 929 664,4.2,32,https://www.google.com/maps/search/?api=1&query=EDM%20-%20Beirut&query_place_id=ChIJ9QBYfToXHxURjZiHWuNBhcM,1,false,apify_google_maps_pilot,2026-09-05T10:44:50.829Z
"Anzimaty, Digital Solutions Enabled",,,ChIJTY1igTwXHxURfM5Bv4D4JIY,Beirut,Software and IT services,"Saeb Salam Av, Riviera Building, 3rd Floor, Beirut, Lebanon",Beirut,+961 3 074 628,4.3,6,https://www.google.com/maps/search/?api=1&query=Anzimaty%2C%20Digital%20Solutions%20Enabled&query_place_id=ChIJTY1igTwXHxURfM5Bv4D4JIY,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.829Z
Consolidated Contractors Company,cctintl.com,http://www.cctintl.com/,ChIJ1UqlRDgXHxURBSxchnokCLI,Beirut,Software and IT services,"VFGR+RF4, Khalil Motrane, Beirut, Lebanon",Beirut,+961 1 819 500,4.7,20,https://www.google.com/maps/search/?api=1&query=Consolidated%20Contractors%20Company&query_place_id=ChIJ1UqlRDgXHxURBSxchnokCLI,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.829Z
Edgineers,,,ChIJYXBKjykXHxURNMXrmTsn4sg,Beirut,Software and IT services,"Mar Elias, Al-Hassan Center, Beirut Block B, 7th Floor, Beirut, Lebanon",Beirut,+961 1 790 054,5,2,https://www.google.com/maps/search/?api=1&query=Edgineers&query_place_id=ChIJYXBKjykXHxURNMXrmTsn4sg,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.829Z
HISSABAT/ IT Solutions,,,ChIJm32YM2MXHxUR1_CyPJ_vcOQ,Beirut,Software and IT services,"Cornish Al, Beirut, Lebanon",Beirut,+961 70 199 446,4,1,https://www.google.com/maps/search/?api=1&query=HISSABAT%2F%20IT%20Solutions&query_place_id=ChIJm32YM2MXHxUR1_CyPJ_vcOQ,0,false,apify_google_maps_pilot,2026-09-05T10:44:50.829Z
