lead_number,normalized_name,official_domain,source_outcome,kuwait_coverage,evidence_urls,notes
14,Alghanim Industries,https://www.alghanim.com,already_present,covered_by_existing_row,https://careers.alghanim.com/,Exact match to existing verified Kuwait row cc-alghanim-industries in master-company-registry.csv.
22,Deloitte Kuwait,https://www2.deloitte.com/kw/en.html,already_present,covered_by_existing_row,https://www2.deloitte.com/kw/en/careers/experienced-hires.html,Exact match to existing verified Kuwait row cc-deloitte in master-company-registry.csv.
29,HRInvest,https://www.hrinvest.com,not_applicable,not_confirmed_this_pass,,"No confident official domain identified without WebSearch. Likely an HR/staffing-adjacent firm based on the name; both employer and source roles unresolved. Restated later in the supplied list as item #131 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): Official domain hrinvest.com confirmed (founded 2006, Kuwait HQ). Classified not_applicable as a SOURCE: it is a private placement/staffing consultancy (candidates apply directly to HRInvest for HRInvest's own client roles), not a public job board suitable for automated multi-employer job aggregation. Also staged as an employer (cc-hrinvest)."
31,Gulf Bank,https://www.e-gulfbank.com,already_present,covered_by_existing_row,https://www.e-gulfbank.com/en/about-us/careers/,Exact match to existing verified Kuwait row cc-gulf-bank in master-company-registry.csv.
44,SSC HR Solutions,,insufficient_evidence,not_confirmed_this_pass,,"No confident official domain identified without WebSearch. Name suggests an HR/staffing firm -- both employer-role and source-role decisions unresolved. Restated later in the supplied list as item #129 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): Fresh search found the real 'SSC HR Solutions' (ssc-hr.com) operates only in Saudi Arabia/Egypt/UAE, not Kuwait. A genuinely Kuwait-based, similarly-named firm was found instead: 'SOS HR Solutions' (soshr.net, est. 1975) -- likely an OCR/transcription mix-up between 'SSC' and 'SOS'. Flagged for human confirmation rather than silently substituted; source role remains genuinely unresolved for the exact supplied name."
76,Libera Consultants,https://www.liberaconsultants.com,not_applicable,not_confirmed_this_pass,,"No confident official domain identified without WebSearch. Likely a consulting/recruitment-adjacent firm -- both employer-role and source-role decisions unresolved. Restated later in the supplied list as item #130 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): Confirmed real: an oil & gas executive-search/recruitment firm established 2022, HQ Dubai, UAE, covering 'across the Middle East region.' No Kuwait-specific office confirmed. Classified not_applicable as a SOURCE: an executive-search firm serving employers directly, not a public job board."
81,National Bank of Kuwait (NBK),https://www.nbk.com,already_present,covered_by_existing_row,https://careers.nbk.com/,Exact match to existing verified Kuwait row cc-national-bank-of-kuwait in master-company-registry.csv.
87,SpaStaff.com,https://www.spastaff.com,hold_manual_review,confirmed_this_pass,https://www.spastaff.com/,"CONFIRMED: real self-service recruitment marketplace connecting spa/wellness professionals with employers (170,000+ professional database). Covers Oman, UAE, Qatar, Saudi Arabia, Bahrain -- but Kuwait is NOT mentioned as a covered market. Not an employer itself; as a source it does not appear to cover Kuwait. Restated later in the supplied list as item #128 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): CORRECTION to the prior pass's finding. Fresh direct check of spastaff.com/jobs/Kuwait found live Kuwait job listings across multiple categories (Receptionist, Hair Stylist, Massage Therapist, Beauty Therapist, Nail Technician) with Kuwait-specific compensation details (tax-free salary, medical, accommodation, 1 month paid vacation) -- Kuwait IS a covered market, contrary to the prior pass's conclusion. robots.txt check attempted (spastaff.com/robots.txt) but returned no discernible content this pass. Held rather than approved for automated ingestion pending a proper access-policy/ToS check."
89,American University of Kuwait (AUK),https://www.auk.edu.kw,already_present,covered_by_existing_row,https://careers.auk.edu.kw/,"Exact match to existing verified Kuwait row cc-american-university-of-kuwait in master-company-registry.csv. NOTE: distinct from American International University Kuwait (#67, aiu.edu.kw) -- two separate, similarly-named institutions, not conflated."
117,Al Mulla Group,https://www.almullagroup.com,already_present,covered_by_existing_row,https://careers.almullagroup.com,Exact match to existing verified Kuwait row cc-al-mulla-group in master-company-registry.csv.
