lead_number,normalized_name,official_domain,kuwait_presence_evidence_category,careers_or_ats_url,employer_outcome,evidence_urls,verification_date,notes
1,stc Kuwait,https://www.stc.com.kw,,https://careers.stc.com.kw/,hold_manual_review,https://careers.stc.com.kw/,2026-09-13,"RECLASSIFIED: stc/VIVA Kuwait is a definitely-real, major Kuwait telecom operator (correct domain stc.com.kw) -- the /careers path returned HTTP 403, a bot-block technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] stc.com.kw/careers path returned HTTP 403 this pass; stc/VIVA Kuwait is a well-known real telecom operator but no working page was fetched. No WebSearch available (session budget exhausted) to find an alternate path.

RECOVERY PASS 2 (2026-09-13): Official URL re-confirmed via two independent WebSearch queries as the real, search-engine-indexed official careers portal. Direct WebFetch failed both times (DNS resolution failure; HTTP 403) -- appears to be a tool-side network issue, not a real reachability problem, since search engines crawl it fine. A human opening https://careers.stc.com.kw/ directly in a browser will very likely succeed immediately.

PASS 3 (2026-09-13): Re-attempted via the official sitemap (stc.com.kw/en/sitemap) as a first-party fallback -- also HTTP 403 to direct fetch. The domain-wide block appears to affect all stc.com.kw paths from this tool's network, not just /careers. WebSearch itself continues to index careers.stc.com.kw as live and real. Unresolved by automated means this pass; a human opening it directly in a browser will very likely succeed."
2,Halliburton,https://www.halliburton.com,,https://www.halliburton.com,approve_unchanged,https://careers.halliburton.com/search-jobs?k=&l=Kuwait,2026-09-13,"CONFIRMED: careers.halliburton.com location filter shows 5 open positions in Kuwait, with 'Al Ahmadi, Kuwait' as a specific location filter option. Real global oilfield-services company, official domain confirmed."
3,Anton,,,,hold_manual_review,,2026-09-13,"Could not independently confirm a distinct 'Anton' entity separate from Anton Oilfield Services (#4) without WebSearch. Not merged with #4 without evidence per the no-auto-combine rule.

RECOVERY PASS 2 (2026-09-13): Fresh search found a specific 'Anton-OSS' entity actively recruiting in Kuwait (6 Oil, Gas, HSE, Engineering and Administration roles per aggregator). Likely Anton Oilfield Services Group's (#4) Kuwait-specific operating subsidiary/branch, but the relationship is not confirmed first-party -- NOT merged per the no-auto-combine rule.

PASS 3 (2026-09-13): Strengthened. Anton-OSS confirmed to have sustained, recurring Kuwait recruiting activity (multiple postings across 2023 and 2026 per aggregators: '14 fursa 2023', '6 jobs 2026' -- Oil/Gas/HSE/Engineering/Administration roles), not a one-off. Still no dedicated official Anton-OSS domain found (parent Anton Group's domain remains antonoil.com) -- relationship to #4 (Anton Oilfield Services Group) still not first-party confirmed."
4,Anton Oilfield Services Group,https://en.antonoil.com,,https://www.antonoil.com/index.php?m=content&c=index&a=lists&catid=12,hold_manual_review,https://www.zawya.com/en/projects/koc-awards-maintenance-contract-for-north-kuwait-jurassic-plant-410489;https://tradearabia.com/News/465615/KOC-awards-maintenance-contract-for-North-Kuwait-Jurassic-plant/CONS,2026-09-13,"RECLASSIFIED per recovery-pass rule: Anton Oilfield Services Group is a real, HK-listed (ticker 3337), China-based oilfield-services company -- the guessed domain (antonoil.com) failed DNS resolution, which is a wrong-domain/technical problem, not evidence the company is fake. Needs the correct official domain. [RECOVERY PASS 2026-09-13] antonoil.com does not resolve (DNS failure); Wikipedia page URL guess 404'd. Real HK-listed China-based oilfield-services company (public knowledge) but no Kuwait-specific evidence obtained this pass. Relationship to #3 'Anton' not confirmed -- not merged without evidence.

RECOVERY PASS 2 (2026-09-13): Own domain still not directly fetchable (TLS certificate error). Found extremely strong independent confirmation instead: Kuwait Oil Company (KOC) awarded Anton Oilfield Services DMCC a KD35 million (~$113M) maintenance contract for Jurassic Production Facilities 1/2/3 in North Kuwait (RFP-2140425), reported independently by GDN, TradeArabia, Zawya, SaudiGulfProjects, and IndexBox. Real, substantial, verifiable Kuwait operations; only the first-party careers page remains technically blocked."
5,Precision Drilling Corporation,https://www.precisiondrilling.com,,https://www.precisiondrilling.com,geo_ineligible,https://www.precisiondrilling.com/careers,2026-09-13,"CONFIRMED: official careers page lists only three office locations -- Calgary (Canada), Houston (USA), Dubai (UAE). No Kuwait office or roles referenced."
6,Iron Mountain,https://www.ironmountain.com,,https://ironmountain.jobs/jobs/,approve_unchanged,https://www.ironmountain.com/en-kw,2026-09-13,"RECLASSIFIED: Iron Mountain is a definitely-real global records-management company -- two location-page URL guesses 404'd (wrong paths), not evidence Kuwait presence does not exist. [RECOVERY PASS 2026-09-13] Two location-page URL guesses both 404'd. Real global records-management company; Kuwait presence not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official localized Kuwait site (ironmountain.com/en-kw) with a Kuwait phone number (+965 50936868) and a Careers link. Third-party listings corroborate specific Kuwait roles (Senior Financial Analyst, Kuwait City; Library & Archival Services Pre-Sales Specialist, Sulaibiya, Jahra)."
7,Majid Al Futtaim,https://www.majidalfuttaim.com,,https://www.majidalfuttaim.com/en/careers,hold_manual_review,https://www.majidalfuttaim.com/en/careers,2026-09-13,"Careers page fetched but only references Dubai HQ and UAE-national programs; no Kuwait mention found, but MAF is a very large Gulf-wide mall/retail/cinema conglomerate with plausible Kuwait operations (VOX Cinemas, Carrefour franchise) -- absence of Kuwait mention on one page is not conclusive negative evidence. Needs a human/future pass with working search to check MAF's specific Kuwait retail/mall operations.

RECOVERY PASS 2 (2026-09-13): Confirmed VOX Cinemas operates one cinema in Kuwait (own-brand fact). No Kuwait-specific careers/job confirmed via direct fetch this pass; MAF's careers portal remains generic."
8,Syntys,,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch. Relationship to Kuwait Digital Hub (#9) not resolved -- not merged without evidence.

RECOVERY PASS 2 (2026-09-13): Real entity confirmed: Syntys is Ooredoo's rebranded data-center business (formed 2025, following an investment from Iron Mountain, #6), HQ Doha, Qatar, but operates a real physical data center in Kuwait City (Ooredoo Tower, Al-Soor St). Relationship to Kuwait Digital Hub (#9) remains unconfirmed. No official careers page found; presence is a data-center facility, not confirmed as a local hiring employer."
9,Kuwait Digital Hub S.P.C.,,,,insufficient_evidence,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Fresh search covering Kuwait government digital-transformation bodies (CAIT, Ministry of Communications and IT, CITRA) found no distinct entity matching this exact name. Genuine identity gap.

PASS 3 (2026-09-13): Fresh Arabic search ('مركز الكويت الرقمي') found only tangential Kuwait digital-initiative bodies (Kuwait Business Center, KDCC/Kuwait Data Communications Company, the 'Kuwait Rise' Microsoft/CAIT program) -- none confidently matching 'Kuwait Digital Hub S.P.C.' Genuine identity gap persists after real bilingual search."
10,Emerson Electric Co.,https://www.emerson.com,,https://www.emerson.com/en/corporate/careers,hold_manual_review,,2026-09-13,"RECLASSIFIED: Emerson is a definitely-real global industrial-automation company -- careers page fetch was inconclusive (generic content only), a technical/interaction limitation of static fetching, not an identity problem. [RECOVERY PASS 2026-09-13] Careers page fetch succeeded but showed only generic global content (no location search results retrievable); a follow-up attempt at a different URL 404'd. Real global company, Kuwait presence plausible but not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): No new Kuwait-specific first-party confirmation obtained beyond aggregator mentions (jobs.laimoon.com/kuwait/emerson)."
