rank,internal_row_id,canonical_name,score,bucket,city,sector_label,website,normalized_domain,address,google_category,google_maps_url
1,uae-pilot-0038,Al Diyar General Contracting Co LLC,70,high_priority_verification,Abu Dhabi,Construction,http://aldiygen.ae/,aldiygen.ae,Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Al%20Diyar%20General%20Contracting%20Co%20LLC&query_place_id=ChIJX1iz61tmXj4RVgjCLfAWBO4
2,uae-pilot-0148,Copri Construction Ent Establishment,70,high_priority_verification,Abu Dhabi,Construction,https://copri.ae/,copri.ae,Al Danah - E11 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Copri%20Construction%20Ent%20Establishment&query_place_id=ChIJEXmP0nNmXj4RxRo5ayorD9E
3,uae-pilot-0013,Abu Dhabi Construction Company LLC (ADCC),69,high_priority_verification,Abu Dhabi,Construction,http://www.adcc.ae/,adcc.ae,F98F+M99 - New Airport Rd - Al Manhal - Zone 1 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Abu%20Dhabi%20Construction%20Company%20LLC%20(ADCC)&query_place_id=ChIJwcfZQ4hoXj4RNLNIlNMH8gs
4,uae-pilot-0161,Design Club LLC,69,high_priority_verification,Dubai,Interior Design (secondary),https://designclub.ae/,designclub.ae,GF Showroom of Wilson Building at 56th Street - close to - 2nd December St - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Design%20Club%20LLC&query_place_id=ChIJAZ6YCOZCXz4RmnUu-ymPYBU
5,uae-pilot-0330,Noor Al Sahara General Contracting – Sole Proprietorship L.L.C.,69,high_priority_verification,Abu Dhabi,Construction,https://www.nooralsahara.com/,nooralsahara.com,Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Road construction company,https://www.google.com/maps/search/?api=1&query=Noor%20Al%20Sahara%20General%20Contracting%20%E2%80%93%20Sole%20Proprietorship%20L.L.C.&query_place_id=ChIJTyPYPWw_Xj4RWGB7BE08kq4
6,uae-pilot-0357,Priority Relocations Dubai,67,high_priority_verification,Dubai,Logistics (secondary),https://www.priorityrelocations.ae/,priorityrelocations.ae,"Crystal Business Building, Mezzanine Floor - near ADCB Metro Station - Al Karama - Dubai - United Arab Emirates",Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Priority%20Relocations%20Dubai&query_place_id=ChIJbeQVo5xDXz4RwZNKSJceCJE
7,uae-pilot-0379,Salma Children's Long-Term Care and Rehabilitation Hospital,67,high_priority_verification,Abu Dhabi,Healthcare,https://salmahospital.com/,salmahospital.com,Salama Bint Butti St - Hadbat Al Za`Faranah - Zone 1 - Abu Dhabi - United Arab Emirates,Hospital,https://www.google.com/maps/search/?api=1&query=Salma%20Children's%20Long-Term%20Care%20and%20Rehabilitation%20Hospital&query_place_id=ChIJzUCMC_1pXj4RrWo3yKL-1pY
8,uae-pilot-0042,Al Hendawy Medical Centre - Abu Dhabi,66,high_priority_verification,Abu Dhabi,Healthcare,http://www.alhendawymc.ae/,alhendawymc.ae,منطقة الدانة أ -شارع المرور، مدينة - 425 الطابق الرابع - مقابل مدينة زايد للذهب بناية صيدلية الهنداوى - Abu Dhabi - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Al%20Hendawy%20Medical%20Centre%20-%20Abu%20Dhabi&query_place_id=ChIJ6T0V8mlmXj4R6FOUJwpOsJI
9,uae-pilot-0097,ASAS Engineering &Projects Management Consultancy,66,high_priority_verification,Abu Dhabi,Engineering,https://www.asasengg.ae/,asasengg.ae,شرق 9 - خلف السفير مول - Mohamed Bin Zayed City - Mussafah Community - Abu Dhabi - United Arab Emirates,Building consultant,https://www.google.com/maps/search/?api=1&query=ASAS%20Engineering%20%26Projects%20Management%20Consultancy&query_place_id=ChIJlfu_XkRHXj4RDOBd8afQ310
10,uae-pilot-0098,Asian Cargo,66,high_priority_verification,Abu Dhabi,Logistics (secondary),https://www.asiancargo.ae/,asiancargo.ae,30 Qal'at 'Arad Street - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Freight forwarding service,https://www.google.com/maps/search/?api=1&query=Asian%20Cargo&query_place_id=ChIJ9WNOEnRpXj4Rcn_2rmAs-a4
11,uae-pilot-0220,Global Aerospace Logistics (GAL),66,high_priority_verification,Abu Dhabi,Logistics (secondary),https://www.gal.ae/,gal.ae,"International Tower - 132, Floor - 16 Al Karamah St - Al Rawdah - Capital Centre - Abu Dhabi - United Arab Emirates",Logistics service,https://www.google.com/maps/search/?api=1&query=Global%20Aerospace%20Logistics%20(GAL)&query_place_id=ChIJg17h9V5GXj4RMG7Z19fFwII
12,uae-pilot-0292,Marvel Contracting and General Maintenance L.L.C,66,high_priority_verification,Abu Dhabi,Construction,https://marvelcontracting.ae/,marvelcontracting.ae,Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Marvel%20Contracting%20and%20General%20Maintenance%20L.L.C&query_place_id=ChIJuXH8yMBnXj4Rrm2dkLwmKZw
13,uae-pilot-0318,National Construction Development,66,high_priority_verification,Abu Dhabi,Construction,http://www.ncd.ae/,ncd.ae,Bani Yas Tower - 104 - Corniche Rd W - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=National%20Construction%20Development&query_place_id=ChIJOVpNSnJmXj4RSWKTNHKHWNE
14,uae-pilot-0342,ORASCOM CONSTRUCTION,66,high_priority_verification,Abu Dhabi,Construction,http://www.orascom.com/,orascom.com,"15th Floor, Tamouh Tower, Bldg. 12 (A2 Marina Square, Reem Island - Abu Dhabi - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=ORASCOM%20CONSTRUCTION&query_place_id=ChIJPW-TzrVnXj4R9jk1zbkp-1o
15,uae-pilot-0361,Protexive Engineering Consultants,66,high_priority_verification,Abu Dhabi,Engineering,http://www.protexiveconsultant.ae/,protexiveconsultant.ae,"503 , 5th floor , Mazyad office Tower 1 - Abu Dhabi - United Arab Emirates",Engineering consultant,https://www.google.com/maps/search/?api=1&query=Protexive%20Engineering%20Consultants&query_place_id=ChIJ9Wp_ezyuCisRdpE6W0cPyHw
16,uae-pilot-0371,Riviera Engineering Consultant,66,high_priority_verification,Abu Dhabi,Engineering,http://www.rivieraeng.ae/,rivieraeng.ae,مزيد، مول TOWER - OFFICE 26 - 2 5TH FLOOR - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Riviera%20Engineering%20Consultant&query_place_id=ChIJndn5XgBHXj4R9DG-OzCCDEs
17,uae-pilot-0444,Wellness One Day Surgery Center,66,high_priority_verification,Abu Dhabi,Healthcare,https://www.wellnesssurgerycenter.com/?utm_source=GMB&utm_medium=Google&utm_campaign=Google+my+business+Wellness&utm_content=GBM,wellnesssurgerycenter.com,Villa 111 - Villa 111 Dihan St - Hadbat Al Za`Faranah - E21 - Abu Dhabi - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Wellness%20One%20Day%20Surgery%20Center&query_place_id=ChIJX71Yq11oXj4RoCV-t0t_EUg
18,uae-pilot-0014,Abu Dhabi International Contracting &General Maintenance Company,65,high_priority_verification,Abu Dhabi,Construction,http://adicc-uae.com/,adicc-uae.com,Muroor Rd - Al Nahyan - E19 02 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Abu%20Dhabi%20International%20Contracting%20%26General%20Maintenance%20Company&query_place_id=ChIJR9fsiXBmXj4REQt9Woyt07g
19,uae-pilot-0032,Al Ahd General Contracting Co AGCM,65,high_priority_verification,Abu Dhabi,Construction,http://agcmco.com/,agcmco.com,Sheikh Khalifa Bin Zayed St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Al%20Ahd%20General%20Contracting%20Co%20AGCM&query_place_id=ChIJxZii5F9mXj4RZjeqIsVTdnM
20,uae-pilot-0037,Al Dhafra International Projects Group,65,high_priority_verification,Abu Dhabi,Construction,http://dhafra.org/,dhafra.org,At Tufayl Bin Abdullah St - Al Zahiyah - E12 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Al%20Dhafra%20International%20Projects%20Group&query_place_id=ChIJkyX7sJVmXj4ROcXLbqPWoAI
